iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
6204,Cystophora cristata,Hooded Seal,2016,VU,A3c,VU,0.4,2017-3
6229,Dalatias licha,Kitefin Shark,2009,NT,NA,NT,0.2,2017-3
6335,Delphinapterus leucas,Beluga Whale,2017,LC,NA,LC,0,2017-3
6336,Delphinus delphis,Short-beaked Common Dolphin,2008,LC,NA,LC,0,2017-3
6337,Delphinus capensis,Long-beaked Common Dolphin,2008,DD,NA,DD,NA,2017-3
6494,Dermochelys coriacea,Leatherback,2013,VU,A2bd,VU,0.4,2017-3
6814,Dunckerocampus dactyliophorus,Banded Pipefish,2016,DD,NA,DD,NA,2017-3
6909,Dugong dugon,Dugong,2015,VU,A2bcd+4bcd,VU,0.4,2017-3
6930,Dussartius baeticus,NA,1996,VU,D2,VU,0.4,2017-3
7121,Elaphurus davidianus,Père David's Deer,2016,EW,NA,EX,1,2017-3
7134,Eleotris sandwicensis,Hawaii Spinecheek Gudgeon,2013,DD,NA,DD,NA,2017-3
7135,Eleotris melanosoma,Broadhead Sleeper,2017,LC,NA,LC,0,2017-3
7750,Enhydra lutris,Sea Otter,2015,EN,A2abe,EN,0.6,2017-3
7778,Entomacrodus cadenati,West African Rockhopper,2014,LC,NA,LC,0,2017-3
7854,Epinephelus drummondhayi,Speckled Hind,2006,CR,A2d+3d,CR,0.8,2017-3
7855,Hyporthodus exsul,Tenspine Grouper,2017,DD,NA,DD,NA,2017-3
7858,Epinephelus lanceolatus,Giant Grouper,2006,VU,A2d,VU,0.4,2017-3
7859,Epinephelus marginatus,Dusky Grouper,2004,EN,A2d,EN,0.6,2017-3
7860,Hyporthodus nigritus,Warsaw Grouper,2006,CR,A2d+3d,CR,0.8,2017-3
7861,Hyporthodus niveatus,Snowy Grouper,2008,VU,A2d+3d,VU,0.4,2017-3
7862,Epinephelus striatus,Nassau Grouper,2003,EN,A2ad,EN,0.6,2017-3
8005,Eretmochelys imbricata,Hawksbill Turtle,2008,CR,A2bd,CR,0.8,2017-3
8010,Erignathus barbatus,Bearded Seal,2016,LC,NA,LC,0,2017-3
8012,Erignathus barbatus ssp. barbatus,Atlantic Bearded Seal,2016,LC,NA,LC,0,2017-3
8013,Erignathus barbatus ssp. nauticus,Pacific Bearded Seal,2015,LC,NA,LC,0,2017-3
8097,Eschrichtius robustus,Gray Whale,2008,LC,NA,LC,0,2017-3
8099,Eschrichtius robustus western subpopulation,Grey Whale,2008,CR,C2a(ii); E,CR,0.8,2017-3
8153,Eubalaena australis,Southern Right Whale,2013,LC,NA,LC,0,2017-3
8165,Eucyclogobius newberryi,Tidewater Goby,2014,NT,NA,NT,0.2,2017-3
8239,Eumetopias jubatus,Steller Sea Lion,2016,NT,NA,NT,0.2,2017-3
8407,Eurypegasus draconis,Short Dragonfish,2017,LC,NA,LC,0,2017-3
8408,Eurypegasus papilio,Hawaiian Sea-moth Fish,2016,LC,NA,LC,0,2017-3
8551,Feresa attenuata,Pygmy Killer Whale,2008,DD,NA,DD,NA,2017-3
8817,Galaxias argenteus,Giant Kokopu,2014,VU,A4ac,VU,0.4,2017-3
8951,Gasterosteus aculeatus,Threespined Stickleback,2015,LC,NA,LC,0,2017-3
9249,Globicephala macrorhynchus,Short-finned Pilot Whale,2011,DD,NA,DD,NA,2017-3
9250,Globicephala melas,Long-finned Pilot Whale,2008,DD,NA,DD,NA,2017-3
9266,Psammogobius biocellatus,Sleepy Goby,2017,LC,NA,LC,0,2017-3
9281,Glyphis gangeticus,Ganges Shark,2007,CR,A2cde; C2b,CR,0.8,2017-3
9461,Grampus griseus,Risso's Dolphin,2012,LC,NA,LC,0,2017-3
9660,Halichoerus grypus,Grey Seal,2016,LC,NA,LC,0,2017-3
10030,Hexanchus griseus,Bluntnose Sixgill Shark,2005,NT,NA,NT,0.2,2017-3
10056,Hippocampus capensis,Knysna Seahorse,2017,EN,"B1ab(iii,v)+2ab(iii,v)",EN,0.6,2017-3
10057,Hippocampus abdominalis,Pot-bellied Seahorse,2017,LC,NA,LC,0,2017-3
10063,Hippocampus breviceps,Short-snouted Seahorse,2017,LC,NA,LC,0,2017-3
10064,Hippocampus camelopardalis,Giraffe Seahorse,2017,DD,NA,DD,NA,2017-3
10065,Hippocampus coronatus,High-crowned Seahorse,2016,DD,NA,DD,NA,2017-3
10066,Hippocampus erectus,Lined Seahorse,2017,VU,A2cd,VU,0.4,2017-3
10069,Hippocampus hippocampus,Short-snouted Seahorse,2017,DD,NA,DD,NA,2017-3
10070,Hippocampus histrix,Thorny Seahorse,2017,VU,A2cd+4cd,VU,0.4,2017-3
10072,Hippocampus ingens,Giant Seahorse,2017,VU,A2cd,VU,0.4,2017-3
10074,Hippocampus jayakari,Jayakar's Seahorse,2017,LC,NA,LC,0,2017-3
10075,Hippocampus kuda,Spotted Seahorse,2014,VU,A2cd+3cd+4cd,VU,0.4,2017-3
10077,Hippocampus minotaur,Bullneck Seahorse,2017,DD,NA,DD,NA,2017-3
10082,Hippocampus reidi,Long-snout Seahorse,2017,NT,NA,NT,0.2,2017-3
10083,Hippocampus sindonis,Sindo's Seahorse,2017,LC,NA,LC,0,2017-3
10087,Hippocampus trimaculatus,Three-spot Seahorse,2015,VU,A2bcd+4bcd,VU,0.4,2017-3
10088,Hippocampus whitei,White's Seahorse,2017,EN,A2bc,EN,0.6,2017-3
10089,Hippocampus zosterae,Dwarf Seahorse,2017,LC,NA,LC,0,2017-3
10103,Hippopotamus amphibius,Hippopotamus,2017,VU,A4acd,VU,0.4,2017-3
10268,Huso dauricus,Kaluga,2010,CR,A2bd,CR,0.8,2017-3
10269,Huso huso,Beluga,2010,CR,A2bcd,CR,0.8,2017-3
10276,Parahyaena brunnea,Brown Hyaena,2015,NT,NA,NT,0.2,2017-3
10303,Hydrodamalis gigas,Steller's Sea Cow,2016,EX,NA,EX,1,2017-3
10310,Hydromys chrysogaster,Common Water Rat,2016,LC,NA,LC,0,2017-3
10329,Hydropotes inermis,Water Deer,2015,VU,A2cd,VU,0.4,2017-3
10340,Hydrurga leptonyx,Leopard Seal,2015,LC,NA,LC,0,2017-3
10707,Hyperoodon ampullatus,North Atlantic Bottlenose Whale,2008,DD,NA,DD,NA,2017-3
10708,Hyperoodon planifrons,Southern Bottlenose Whale,2008,LC,NA,LC,0,2017-3
10722,Hypomesus transpacificus,Delta Smelt,2014,CR,A2bce,CR,0.8,2017-3
10939,Jenkinsia parvula,Venezuelan Herring,2017,DD,NA,DD,NA,2017-3
10960,Katechonemertes nightingaleensis,Nightingale ribbon worm,2014,VU,D2,VU,0.4,2017-3
11030,Knipowitschia caucasica,NA,2008,LC,NA,LC,0,2017-3
11047,Kogia breviceps,Pygmy Sperm Whale,2012,DD,NA,DD,NA,2017-3
11048,Kogia sima,Dwarf Sperm Whale,2012,DD,NA,DD,NA,2017-3
11060,Kuhlia marginata,Silver Flagtail,2012,LC,NA,LC,0,2017-3
11130,Lachnolaimus maximus,Hogfish,2010,VU,A2bd,VU,0.4,2017-3
11140,Lagenodelphis hosei,Fraser's Dolphin,2012,LC,NA,LC,0,2017-3
11141,Lagenorhynchus acutus,Atlantic White-sided Dolphin,2008,LC,NA,LC,0,2017-3
11142,Lagenorhynchus albirostris,White-beaked Dolphin,2012,LC,NA,LC,0,2017-3
11143,Lagenorhynchus australis,Peale's Dolphin,2008,DD,NA,DD,NA,2017-3
11144,Lagenorhynchus cruciger,Hourglass Dolphin,2008,LC,NA,LC,0,2017-3
11145,Lagenorhynchus obliquidens,Pacific White-sided Dolphin,2012,LC,NA,LC,0,2017-3
11146,Lagenorhynchus obscurus,Dusky Dolphin,2008,DD,NA,DD,NA,2017-3
11150,Lagocephalus gloveri,Brown-backed Toadfish,2014,DD,NA,DD,NA,2017-3
11200,Lamna nasus,Porbeagle,2006,VU,A2bd+3d+4bd,VU,0.4,2017-3
11206,Lampetra fluviatilis,River Lamprey,2011,LC,NA,LC,0,2017-3
11375,Latimeria chalumnae,Coelacanth,2000,CR,A2bcd,CR,0.8,2017-3
11534,Lepidochelys olivacea,Olive Ridley,2008,VU,A2bd,VU,0.4,2017-3
11696,Leptonychotes weddellii,Weddell Seal,2015,LC,NA,LC,0,2017-3
11987,Limulus polyphemus,American Horseshoe Crab,2016,VU,A3bd,VU,0.4,2017-3
12006,Liolaemus lutzae,NA,2000,VU,A1c+2c,VU,0.4,2017-3
12125,Lissodelphis borealis,Northern Right Whale Dolphin,2012,LC,NA,LC,0,2017-3
12126,Lissodelphis peronii,Southern Right Whale Dolphin,2012,DD,NA,DD,NA,2017-3
12137,Lithognathus lithognathus,White Steenbras,2014,EN,"A2bcd; B2ab(ii,v)",EN,0.6,2017-3
12143,Litoria aurea,Green and Golden Swamp Frog,2004,VU,A2ace,VU,0.4,2017-3
12246,Lobodon carcinophaga,Crabeater Seal,2015,LC,NA,LC,0,2017-3
12302,Lontra canadensis,North American River Otter,2015,LC,NA,LC,0,2017-3
12303,Lontra felina,Marine Otter,2015,EN,A3cde,EN,0.6,2017-3
12304,Lontra longicaudis,Neotropical Otter,2015,NT,NA,NT,0.2,2017-3
12305,Lontra provocax,Southern River Otter,2015,EN,A3cde,EN,0.6,2017-3
12416,Lutjanus analis,Mutton Snapper,2016,NT,NA,NT,0.2,2017-3
12417,Lutjanus cyanopterus,Cubera Snapper,2016,VU,A2bd,VU,0.4,2017-3
12419,Lutra lutra,Eurasian Otter,2015,NT,NA,NT,0.2,2017-3
12420,Hydrictis maculicollis,Spotted-necked Otter,2015,NT,NA,NT,0.2,2017-3
12421,Lutra sumatrana,Hairy-nosed Otter,2015,EN,A2cde,EN,0.6,2017-3
12427,Lutrogale perspicillata,Smooth-coated Otter,2015,VU,A2cde,VU,0.4,2017-3
13006,Megaptera novaeangliae,Humpback Whale,2008,LC,NA,LC,0,2017-3
13145,Menidia conchorum,Key Silverside,2015,EN,B1ab(iii)+2ab(iii),EN,0.6,2017-3
13232,Mesogobius batrachocephalus,Toad Goby,2008,LC,NA,LC,0,2017-3
13241,Mesoplodon bidens,Sowerby's Beaked Whale,2008,DD,NA,DD,NA,2017-3
13242,Mesoplodon bowdoini,Andrew's Beaked Whale,2008,DD,NA,DD,NA,2017-3
13243,Mesoplodon carlhubbsi,Hubbs' Beaked Whale,2008,DD,NA,DD,NA,2017-3
13244,Mesoplodon densirostris,Blainville's Beaked Whale,2008,DD,NA,DD,NA,2017-3
13245,Mesoplodon europaeus,Gervais' Beaked Whale,2008,DD,NA,DD,NA,2017-3
13246,Mesoplodon ginkgodens,Ginkgo-toothed Beaked Whale,2008,DD,NA,DD,NA,2017-3
13247,Mesoplodon grayi,Gray's Beaked Whale,2008,DD,NA,DD,NA,2017-3
13248,Mesoplodon hectori,Hector's Beaked Whale,2008,DD,NA,DD,NA,2017-3
13249,Mesoplodon layardii,Strap-toothed Whale,2008,DD,NA,DD,NA,2017-3
13250,Mesoplodon mirus,True's Beaked Whale,2008,DD,NA,DD,NA,2017-3
13251,Mesoplodon peruvianus,Pygmy Beaked Whale,2008,DD,NA,DD,NA,2017-3
13427,Microtus californicus,Amargosa Vole,2016,LC,NA,LC,0,2017-3
13581,Mirounga angustirostris,Northern Elephant Seal,2015,LC,NA,LC,0,2017-3
13583,Mirounga leonina,Southern Elephant Seal,2015,LC,NA,LC,0,2017-3
13653,Monachus monachus,Mediterranean Monk Seal,2015,EN,C2a(i),EN,0.6,2017-3
13654,Neomonachus schauinslandi,Hawaiian Monk Seal,2015,EN,C1,EN,0.6,2017-3
13655,Neomonachus tropicalis,Caribbean Monk Seal,2015,EX,NA,EX,1,2017-3
13704,Monodon monoceros,Narwhal,2017,LC,NA,LC,0,2017-3
13891,Mortonagrion hirosei,Four-spot Midget,2011,NT,NA,NT,0.2,2017-3
14048,Mycteroperca cidi,Venezuelan Grouper,2008,DD,NA,DD,NA,2017-3
14049,Mycteroperca jordani,Gulf Grouper,2008,EN,A2d+3d,EN,0.6,2017-3
14050,Mycteroperca microlepis,Gag,2008,LC,NA,LC,0,2017-3
14051,Mycteroperca olfax,Colorado Grouper,2015,VU,D2,VU,0.4,2017-3
14052,Mycteroperca prionura,Sawtail Grouper,2008,NT,NA,NT,0.2,2017-3
14053,Mycteroperca rosacea,Leopard Grouper,2008,VU,A2ad+4ad,VU,0.4,2017-3
14054,Mycteroperca rubra,Mottled Grouper,2008,LC,NA,LC,0,2017-3
14128,Myotis daubentonii,Daubenton's Myotis,2008,LC,NA,LC,0,2017-3
14214,Triglopsis quadricornis,Fourhorn Sculpin,2013,LC,NA,LC,0,2017-3
14264,Myxus capensis,Freshwater Mullet,2007,LC,NA,LC,0,2017-3
14521,Neogobius fluviatilis,NA,2008,LC,NA,LC,0,2017-3
14524,Neogobius melanostomus,NA,2008,LC,NA,LC,0,2017-3
14549,Neophoca cinerea,Australian Sea Lion,2015,EN,A2bd,EN,0.6,2017-3
14629,Neritina tiassalensis,NA,2010,CR,"B1ab(ii,iii)",CR,0.8,2017-3
15106,Odobenus rosmarus,Walrus,2016,VU,A3c,VU,0.4,2017-3
15108,Odobenus rosmarus ssp. rosmarus,Atlantic Walrus,2016,NT,NA,NT,0.2,2017-3
15184,Ogilbia galapagosensis,Galapagos Cuskeel,2010,VU,D2,VU,0.4,2017-3
15239,Oxyurichthys keiensis,Kei Goby,2010,LC,NA,LC,0,2017-3
15269,Ommatophoca rossii,Ross Seal,2015,LC,NA,LC,0,2017-3
15419,Orcaella brevirostris,Irrawaddy Dolphin,2017,EN,A2cd+3cd+4cd,EN,0.6,2017-3
15421,Orcinus orca,Killer Whale,2017,DD,NA,DD,NA,2017-3
15549,Orthogeomys hispidus,Hispid Pocket Gopher,2016,LC,NA,LC,0,2017-3
15631,Osmerus eperlanus,Smelt,2011,LC,NA,LC,0,2017-3
15873,Pagrus pagrus,Red Porgy,2014,LC,NA,LC,0,2017-3
15939,Pandaka pygmaea,Dwarf Pygmy Goby,1996,CR,A1ace,CR,0.8,2017-3
