iucn_sid,year,rgn_cat_ts,rgn_cat_ts_score,iucn_rgn,iucn_version
13340388,2015,LC,0,europe,2017-3
13340397,2013,LC,0,europe,2017-3
13340397,2015,LC,0,europe,2017-3
13340410,2013,VU,0.4,europe,2017-3
13340410,2015,VU,0.4,europe,2017-3
13340413,2013,LC,0,europe,2017-3
13340413,2015,LC,0,europe,2017-3
13340493,2013,LC,0,europe,2017-3
13340493,2015,LC,0,europe,2017-3
13340497,2013,LC,0,europe,2017-3
13340497,2015,LC,0,europe,2017-3
13340621,2013,LC,0,europe,2017-3
13340621,2015,LC,0,europe,2017-3
13342099,2013,NT,0.2,europe,2017-3
13342099,2015,NT,0.2,europe,2017-3
13342102,2013,LC,0,europe,2017-3
13342102,2015,LC,0,europe,2017-3
13342506,2013,LC,0,europe,2017-3
13342506,2015,LC,0,europe,2017-3
13342522,2013,NT,0.2,europe,2017-3
13342522,2015,NT,0.2,europe,2017-3
13342541,2013,VU,0.4,europe,2017-3
13342541,2015,VU,0.4,europe,2017-3
13342548,2013,LC,0,europe,2017-3
13342548,2015,LC,0,europe,2017-3
13342561,2013,LC,0,europe,2017-3
13342561,2015,LC,0,europe,2017-3
13342584,2013,LC,0,europe,2017-3
13342584,2015,LC,0,europe,2017-3
13356500,2013,VU,0.4,europe,2017-3
13356500,2015,VU,0.4,europe,2017-3
13356516,2013,LC,0,europe,2017-3
13356516,2015,LC,0,europe,2017-3
13356532,2013,LC,0,europe,2017-3
13356532,2015,LC,0,europe,2017-3
13356547,2013,LC,0,europe,2017-3
13356547,2015,LC,0,europe,2017-3
13356564,2013,LC,0,europe,2017-3
13356564,2015,LC,0,europe,2017-3
13356567,2013,LC,0,europe,2017-3
13356567,2015,LC,0,europe,2017-3
13356631,2013,LC,0,europe,2017-3
13356631,2015,LC,0,europe,2017-3
13356649,2013,LC,0,europe,2017-3
13356649,2015,LC,0,europe,2017-3
13356652,2013,LC,0,europe,2017-3
13356652,2015,LC,0,europe,2017-3
13356661,2013,LC,0,europe,2017-3
13356661,2015,LC,0,europe,2017-3
13356674,2013,LC,0,europe,2017-3
13356674,2015,LC,0,europe,2017-3
13356677,2013,LC,0,europe,2017-3
13356677,2015,LC,0,europe,2017-3
13356686,2013,LC,0,europe,2017-3
13356686,2015,LC,0,europe,2017-3
13356695,2013,LC,0,europe,2017-3
13356695,2015,LC,0,europe,2017-3
13356704,2013,LC,0,europe,2017-3
13356704,2015,LC,0,europe,2017-3
13356708,2013,LC,0,europe,2017-3
13356708,2015,LC,0,europe,2017-3
13356723,2013,LC,0,europe,2017-3
13356723,2015,LC,0,europe,2017-3
13356730,2013,LC,0,europe,2017-3
13356730,2015,LC,0,europe,2017-3
13356751,2013,EN,0.6,europe,2017-3
13356751,2015,EN,0.6,europe,2017-3
13357764,2013,EN,0.6,europe,2017-3
13357764,2015,EN,0.6,europe,2017-3
13357776,2013,LC,0,europe,2017-3
13357776,2015,LC,0,europe,2017-3
13490,2008,LC,0,mediterranean,2017-3
13490,2016,LC,0,mediterranean,2017-3
135574,2010,LC,0,europe,2017-3
135574,2015,LC,0,europe,2017-3
135606,2010,LC,0,europe,2017-3
135606,2015,LC,0,europe,2017-3
135690,2008,LC,0,europe,2017-3
135690,2015,LC,0,europe,2017-3
13579,1994,EN,0.6,europe,2017-3
13579,2016,LC,0,europe,2017-3
136535,2008,LC,0,mediterranean,2017-3
136535,2017,LC,0,mediterranean,2017-3
136641,2007,LC,0,mediterranean,2017-3
136641,2008,LC,0,mediterranean,2017-3
136641,2017,LC,0,mediterranean,2017-3
14018,2007,EN,0.6,europe,2017-3
14018,2012,CR,0.8,europe,2017-3
14870997,2012,CR,0.8,europe,2017-3
14870997,2016,CR,0.8,europe,2017-3
15038931,2012,LC,0,europe,2017-3
15038931,2016,LC,0,europe,2017-3
15038941,2012,LC,0,europe,2017-3
15038941,2016,LC,0,europe,2017-3
15039158,2012,LC,0,europe,2017-3
15039158,2016,LC,0,europe,2017-3
15039272,2014,LC,0,europe,2017-3
15039272,2016,LC,0,europe,2017-3
155333,2009,LC,0,europe,2017-3
155333,2015,LC,0,europe,2017-3
155862,2011,NT,0.2,mediterranean,2017-3
155862,2014,LC,0,mediterranean,2017-3
156646,2011,LC,0,europe,2017-3
156646,2017,LC,0,europe,2017-3
156922,2011,LC,0,europe,2017-3
156922,2017,LC,0,europe,2017-3
157181,2011,LC,0,europe,2017-3
157181,2017,LC,0,europe,2017-3
157274,2009,LC,0,europe,2017-3
157274,2017,LC,0,europe,2017-3
157580,2010,VU,0.4,europe,2017-3
157580,2017,EN,0.6,europe,2017-3
157924,2010,LC,0,mediterranean,2017-3
157924,2017,VU,0.4,mediterranean,2017-3
158555,2009,LC,0,western_africa,2017-3
158555,2010,LC,0,western_africa,2017-3
158566,2009,LC,0,central_africa,2017-3
158566,2010,LC,0,central_africa,2017-3
158589,2009,LC,0,pan-africa,2017-3
158589,2010,LC,0,pan-africa,2017-3
158590,2010,LC,0,pan-africa,2017-3
158590,2017,LC,0,pan-africa,2017-3
15993,2010,LC,0,europe,2017-3
15993,2015,LC,0,europe,2017-3
16084556,2012,LC,0,europe,2017-3
16084556,2016,LC,0,europe,2017-3
161828,2011,NT,0.2,mediterranean,2017-3
161828,2017,LC,0,mediterranean,2017-3
161864,2011,NT,0.2,europe,2017-3
161864,2017,VU,0.4,europe,2017-3
161906,2011,NT,0.2,europe,2017-3
161906,2017,EN,0.6,europe,2017-3
161984,2011,NT,0.2,europe,2017-3
161984,2017,LC,0,europe,2017-3
162023,2011,VU,0.4,europe,2017-3
162023,2017,VU,0.4,europe,2017-3
162068,2011,CR,0.8,europe,2017-3
162068,2017,EN,0.6,europe,2017-3
162081,2011,LC,0,europe,2017-3
162081,2016,VU,0.4,europe,2017-3
162293,2011,NT,0.2,europe,2017-3
162293,2017,NT,0.2,europe,2017-3
162318,2011,LC,0,europe,2017-3
162318,2017,LC,0,europe,2017-3
162347,2011,LC,0,europe,2017-3
162347,2017,NT,0.2,europe,2017-3
162393,2011,NT,0.2,europe,2017-3
162393,2017,VU,0.4,europe,2017-3
162422,2011,CR,0.8,europe,2017-3
162422,2017,CR,0.8,europe,2017-3
16247,1994,VU,0.4,europe,2017-3
16247,1996,EN,0.6,europe,2017-3
16247,2017,EN,0.6,europe,2017-3
163983,2010,CR,0.8,pan-africa,2017-3
163983,2011,NT,0.2,europe,2017-3
163983,2016,NT,0.2,europe,2017-3
163983,2016,CR,0.8,pan-africa,2017-3
163983,2017,NT,0.2,europe,2017-3
163996,2011,LC,0,europe,2017-3
163996,2017,NT,0.2,europe,2017-3
164082,2012,LC,0,europe,2017-3
164082,2017,LC,0,europe,2017-3
164187,2011,EN,0.6,europe,2017-3
164187,2017,EN,0.6,europe,2017-3
164197,2010,LC,0,pan-africa,2017-3
164197,2011,LC,0,europe,2017-3
164197,2016,LC,0,europe,2017-3
164197,2016,LC,0,pan-africa,2017-3
164197,2017,NT,0.2,europe,2017-3
164368,2012,LC,0,europe,2017-3
164368,2017,LC,0,europe,2017-3
164500,2011,LC,0,europe,2017-3
164500,2014,LC,0,europe,2017-3
165195,2011,NT,0.2,europe,2017-3
165195,2017,NT,0.2,europe,2017-3
165243,2011,LC,0,europe,2017-3
165243,2017,LC,0,europe,2017-3
