iucn_sid,habs,deep_ok
39380,"10.1, 12.7, 9.1, 9.4",TRUE
39381,"10.1, 10.2, 9.1",TRUE
39382,"12.2, 9.1, 9.4, 9.5, 9.6",FALSE
39384,"10.1, 10.2, 9.1",TRUE
39385,"10.1, 10.2, 9.1",TRUE
39386,"9.8.4, 10.1, 9.1",TRUE
39387,"9.1, 9.4, 9.5, 9.6, 9.9",FALSE
39388,9.1,FALSE
39389,"9.8.4, 9.8.5, 12.2, 12.4, 12.7, 9.1, 9.1, 9.4, 9.5, 9.6, 9.9",FALSE
39390,"9.8.5, 12.4, 12.7, 9.4, 9.5, 9.6, 9.9",FALSE
39393,"9.8.5, 12.2, 12.4, 12.7, 9.2, 9.3, 9.4, 9.5, 9.6, 9.9",FALSE
39394,"9.1, 9.1",FALSE
39396,"10.1, 10.2",TRUE
39397,10.1,TRUE
39399,"9.4, 9.5, 9.6",FALSE
39400,"9.4, 9.5",FALSE
39412,"9.1, 9.4",FALSE
39413,"9.4, 9.5",FALSE
39415,"10.1, 9.1",TRUE
39416,"12.5, 9.1, 9.1, 9.7",FALSE
39418,"10.1, 10.2, 9.1",TRUE
39427,"10.1, 9.1",TRUE
39464,"10.1, 9.1",TRUE
39465,"10.1, 9.1",TRUE
39541,"10.1, 9.1",TRUE
39543,"10.1, 9.1",TRUE
39544,"10.1, 9.1",TRUE
39545,"10.1, 9.1",TRUE
39771,"10.1, 9.1",TRUE
39773,"9.2, 9.3",FALSE
39774,"9.8.1, 9.8.3, 9.8.4, 12.6",FALSE
39908,12.2,FALSE
40635,"10.1, 10.2, 10.3",TRUE
40708,9.1,FALSE
40710,9.6,FALSE
40711,"12.6, 9.2",FALSE
40715,"9.8.4, 12.5, 9.1, 9.2, 9.7",FALSE
40773,"15.11, 9.1, 9.2, 9.6, 9.7, 9.9",FALSE
40784,"12.1, 12.2, 12.3, 9.2",FALSE
40797,9.1,FALSE
40802,9.9,FALSE
41005,"10.1, 12.4, 12.5, 12.7, 9.1, 9.10, 9.2, 9.9",TRUE
41006,"12.1, 15.11, 9.3, 9.4, 9.5, 9.6, 9.7, 9.9",FALSE
41007,"9.10, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7, 9.9",FALSE
41008,"12.7, 9.9",FALSE
41010,"9.6, 9.8.3, 9.8.5",FALSE
41030,9.10,FALSE
41064,"9.4, 9.5, 9.6",FALSE
41065,12.5,FALSE
41303,"12.5, 12.7",FALSE
41366,12.1,FALSE
41590,9.10,FALSE
41664,"10.1, 10.2, 12.1, 9.1",TRUE
41665,"10.1, 10.2, 12.1, 12.2, 12.3, 12.6, 9.1",TRUE
41666,"10.1, 10.2, 12.1, 9.1",TRUE
41667,"10.1, 12.1, 12.2, 9.1",TRUE
41668,"10.1, 10.2, 12.1, 9.1",TRUE
41670,"10.1, 10.2, 9.1",TRUE
41671,"10.1, 10.2, 12.1, 9.1",TRUE
41672,"10.1, 10.2, 9.1",TRUE
41673,"10.1, 9.1, 9.2",TRUE
41677,"10.1, 12.2, 9.1",TRUE
41711,"10.1, 9.1",TRUE
41712,"10.1, 9.1",TRUE
41713,10.1,TRUE
41714,"10.1, 9.1",TRUE
41715,"10.1, 9.1",TRUE
41718,"11.1.1, 11.1.2, 11.5",TRUE
41719,10.1,TRUE
41720,"9.4, 9.5, 9.6",FALSE
41721,9.6,FALSE
41722,"11.1.1, 11.1.2, 9.6",TRUE
41723,"11.1.1, 11.1.2",TRUE
41724,"11.1.1, 11.1.2",TRUE
41725,"11.1.1, 11.1.2, 9.4, 9.5",TRUE
41726,"10.1, 9.1",TRUE
41727,"11.1.1, 11.1.2, 9.4, 9.5, 9.6, 9.9",TRUE
41728,9.4,FALSE
41729,"9.2, 9.4",FALSE
41731,9.2,FALSE
41732,"9.2, 9.9",FALSE
41733,9.1,FALSE
41734,"10.1, 9.1",TRUE
41735,9.1,FALSE
41736,"10.1, 9.1",TRUE
41737,"10.1, 9.1",TRUE
41738,"10.1, 9.1",TRUE
41739,"10.1, 9.1",TRUE
41740,"11.1.1, 11.1.2, 11.5",TRUE
41741,"10.1, 9.1, 9.10",TRUE
41742,"10.1, 9.1, 9.10",TRUE
41743,"9.10, 9.4, 9.6",FALSE
41745,10.1,TRUE
41746,"10.1, 9.1",TRUE
41747,10.1,TRUE
41749,10.1,TRUE
41752,10.1,TRUE
41753,"9.2, 9.3, 9.4, 9.5, 9.6, 9.7",FALSE
41754,"10.1, 12.1, 12.2, 12.3, 12.4, 12.5, 12.7, 9.1, 9.10, 9.2, 9.3, 9.4, 9.5, 9.6, 9.8.1, 9.8.3, 9.8.5, 9.9",TRUE
41755,"10.1, 10.2, 9.1",TRUE
41756,9.10,FALSE
41758,9.10,FALSE
41759,"10.1, 10.2, 10.3",TRUE
41760,"10.1, 10.2, 10.3",TRUE
41761,"10.1, 9.1",TRUE
41762,"10.1, 9.1",TRUE
41772,"12.2, 9.1",FALSE
41791,9.1,FALSE
41792,9.1,FALSE
41793,10.1,TRUE
41794,"10.1, 10.2, 11.1.1, 11.1.2",TRUE
41795,10.1,TRUE
41796,"10.1, 11.1.2, 9.10, 9.2, 9.4",TRUE
41797,"12.4, 9.1, 9.10, 9.9",FALSE
41798,10.1,TRUE
41799,10.1,TRUE
41800,10.1,TRUE
41801,10.1,TRUE
41802,10.1,TRUE
41804,10.1,TRUE
41805,"11.1.1, 11.1.2",TRUE
41806,"11.1.1, 11.1.2",TRUE
41807,"11.1.1, 11.1.2",TRUE
41808,"11.1.1, 11.1.2",TRUE
41809,10.1,TRUE
41810,"9.10, 9.4, 9.5, 9.6",FALSE
41811,11.1.2,TRUE
41812,"11.1.1, 11.1.2",TRUE
41813,"10.1, 9.1",TRUE
41814,10.1,TRUE
41818,9.4,FALSE
41820,9.4,FALSE
41821,"11.1.1, 11.1.2",TRUE
41822,"9.4, 9.5",FALSE
41823,10.1,TRUE
41824,"9.2, 9.4, 9.7, 9.9",FALSE
41825,"10.1, 9.1",TRUE
41826,10.1,TRUE
41827,10.1,TRUE
41828,"9.4, 9.5, 9.6",FALSE
41829,"11.1.1, 11.1.2",TRUE
41830,10.1,TRUE
41831,10.1,TRUE
41832,10.1,TRUE
41833,"10.1, 9.1",TRUE
41835,"10.1, 9.1, 9.9",TRUE
41836,"9.1, 9.10, 9.9",FALSE
41837,"12.1, 12.2, 12.3, 12.6, 15.11, 9.10, 9.2, 9.3, 9.4, 9.5, 9.7, 9.9",FALSE
41838,"15.11, 9.2, 9.4, 9.7",FALSE
41839,9.2,FALSE
41840,10.1,TRUE
41841,"9.2, 9.3, 9.4",FALSE
41842,"9.2, 9.3, 9.4, 9.5, 9.7, 9.9",FALSE
41843,"11.1.1, 11.1.2",TRUE
41844,"9.2, 9.4, 9.7, 9.9",FALSE
41845,10.1,TRUE
41846,"9.10, 9.4, 9.5, 9.6",FALSE
41848,"9.4, 9.5",FALSE
41849,"10.1, 9.1, 9.10",TRUE
41850,"10.1, 9.1",TRUE
41851,"10.1, 9.1",TRUE
41852,"10.1, 9.1",TRUE
41853,"10.1, 9.1",TRUE
41854,"9.10, 9.2, 9.4, 9.5, 9.6",FALSE
41855,10.1,TRUE
41856,10.1,TRUE
41857,10.1,TRUE
41858,"10.1, 10.2, 10.3",TRUE
41859,"10.1, 9.1",TRUE
41860,10.1,TRUE
41861,10.1,TRUE
41862,"9.2, 9.4, 9.5, 9.6, 9.9",FALSE
41863,"11.1.1, 11.1.2",TRUE
41864,"9.2, 9.7",FALSE
41866,"9.10, 9.4, 9.9",FALSE
41867,10.1,TRUE
41871,10.1,TRUE
41872,"9.2, 9.4, 9.5, 9.6, 9.9",FALSE
41873,9.4,FALSE
41874,"9.10, 9.4, 9.5, 9.6, 9.9",FALSE
41875,"9.2, 9.4, 9.9",FALSE
41876,"11.5, 9.1",TRUE
41877,"9.3, 9.4, 9.5",FALSE
41878,"10.1, 9.2, 9.4, 9.5, 9.6, 9.9",TRUE
41880,12.1,FALSE
42178,12.4,FALSE
42248,12.2,FALSE
42393,12.5,FALSE
42394,"12.5, 9.10",FALSE
42653,12.2,FALSE
42654,12.2,FALSE
42675,12.5,FALSE
42701,"11.1.1, 11.1.2",TRUE
42703,"11.1.1, 11.1.2",TRUE
42704,"11.1.1, 11.1.2",TRUE
42711,"11.1.1, 11.1.2",TRUE
42712,9.10,FALSE
42713,9.4,FALSE
42716,"9.4, 9.5",FALSE
42717,"9.2, 9.4",FALSE
42720,"11.1.1, 11.1.2",TRUE
42721,"9.4, 9.5",FALSE
42722,10.1,TRUE
42723,10.1,TRUE
42725,10.1,TRUE
42726,10.1,TRUE
42727,10.1,TRUE
42728,11.1.2,TRUE
42729,"11.1.1, 11.1.2, 9.4, 9.5, 9.6",TRUE
42730,10.1,TRUE
42833,9.1,FALSE
42834,"9.1, 9.10, 9.9",FALSE
42838,"11.1.1, 11.1.2",TRUE
