iucn_sid,iucn_rgn,years,cat_ts,scores,pop_trend_desc,calc_trend
22697776,global,"1994, 1996, 2000, 2004, 2005, 2008, 2010, 2012, 2016, 2018","VU, VU, VU, VU, VU, VU, VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",decreasing,0
22697782,global,"1994, 1996, 2000, 2004, 2005, 2008, 2010, 2012, 2016, 2018","VU, VU, VU, VU, VU, VU, VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",stable,0
22697789,global,"1994, 1996, 2000, 2004, 2005, 2007, 2008, 2010, 2012, 2016","VU, VU, EN, EN, EN, EN, EN, EN, EN, EN","0.4, 0.4, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6",decreasing,0.00937
22697793,global,"1994, 2000, 2004, 2005, 2008, 2010, 2012, 2013, 2016, 2017, 2018","LC, VU, VU, VU, VU, VU, VU, VU, VU, VU, VU","0, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",decreasing,0.01044
22697797,global,"1994, 2000, 2004, 2005, 2007, 2008, 2010, 2012, 2015, 2016, 2018","LC, VU, VU, VU, VU, VU, VU, VU, NT, NT, NT","0, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.2, 0.2, 0.2",stable,0.00133
22697800,global,"1994, 1996, 2000, 2004, 2005, 2007, 2008, 2010, 2012, 2016, 2018","VU, VU, EN, EN, EN, EN, EN, EN, EN, EN, EN","0.4, 0.4, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6",decreasing,0.00778
22697805,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",stable,0
22697810,global,"1994, 2000, 2004, 2005, 2008, 2010, 2012, 2013, 2015, 2016, 2018","NT, VU, VU, VU, VU, EN, EN, EN, EN, EN, EN","0.2, 0.4, 0.4, 0.4, 0.4, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6",decreasing,0.01739
22697817,global,"1994, 2000, 2004, 2005, 2008, 2010, 2012, 2013, 2016, 2018","NT, VU, VU, VU, VU, VU, VU, VU, VU, VU","0.2, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",decreasing,0.00567
22697822,global,"1994, 2000, 2004, 2008, 2010, 2012, 2016, 2018","LC, NT, NT, NT, NT, NT, NT, NT","0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,0.00598
