iucn_sid,pop_trend,iucn_version,iucn_rgn
23141,decreasing,2018-1,global
23148,decreasing,2018-1,global
23211,unknown,2018-1,global
23259,stable,2018-1,global
31382,decreasing,2018-1,global
32042,unknown,2018-1,global
33705,decreasing,2018-1,global
34364,decreasing,2018-1,global
37930,NA,2018-1,global
38559,decreasing,2018-1,global
39070,stable,2018-1,global
39084,stable,2018-1,global
39086,stable,2018-1,global
39087,NA,2018-1,global
39098,stable,2018-1,global
39105,stable,2018-1,global
39106,stable,2018-1,global
39107,stable,2018-1,global
39109,stable,2018-1,global
39303,decreasing,2018-1,global
39324,unknown,2018-1,global
39327,stable,2018-1,global
39328,decreasing,2018-1,global
39329,decreasing,2018-1,global
39330,decreasing,2018-1,global
39331,decreasing,2018-1,global
39332,decreasing,2018-1,global
39333,unknown,2018-1,global
39334,stable,2018-1,global
39335,decreasing,2018-1,global
39336,unknown,2018-1,global
39337,unknown,2018-1,global
39338,unknown,2018-1,global
39339,decreasing,2018-1,global
39340,decreasing,2018-1,global
39341,decreasing,2018-1,global
39342,stable,2018-1,global
39343,decreasing,2018-1,global
39344,decreasing,2018-1,global
39345,unknown,2018-1,global
39347,unknown,2018-1,global
39349,unknown,2018-1,global
39350,unknown,2018-1,global
39351,increasing,2018-1,global
39352,decreasing,2018-1,global
39354,stable,2018-1,global
39355,stable,2018-1,global
39356,increasing,2018-1,global
39357,unknown,2018-1,global
39358,decreasing,2018-1,global
39359,unknown,2018-1,global
39361,decreasing,2018-1,global
39362,unknown,2018-1,global
39363,unknown,2018-1,global
39366,unknown,2018-1,global
39368,unknown,2018-1,global
39369,unknown,2018-1,global
39370,decreasing,2018-1,global
39371,decreasing,2018-1,global
39372,unknown,2018-1,global
39373,unknown,2018-1,global
39374,decreasing,2018-1,global
39376,decreasing,2018-1,global
39378,unknown,2018-1,global
39379,decreasing,2018-1,global
39380,unknown,2018-1,global
39381,unknown,2018-1,global
39382,unknown,2018-1,global
39384,unknown,2018-1,global
39385,unknown,2018-1,global
39386,decreasing,2018-1,global
39387,stable,2018-1,global
39388,decreasing,2018-1,global
39389,decreasing,2018-1,global
39390,decreasing,2018-1,global
39393,decreasing,2018-1,global
39394,decreasing,2018-1,global
39396,unknown,2018-1,global
39397,decreasing,2018-1,global
39399,decreasing,2018-1,global
39400,decreasing,2018-1,global
39412,unknown,2018-1,global
39413,decreasing,2018-1,global
39415,decreasing,2018-1,global
39416,unknown,2018-1,global
39418,decreasing,2018-1,global
39427,decreasing,2018-1,global
39465,decreasing,2018-1,global
39541,unknown,2018-1,global
39543,unknown,2018-1,global
39544,unknown,2018-1,global
39545,decreasing,2018-1,global
39771,stable,2018-1,global
39773,unknown,2018-1,global
39774,decreasing,2018-1,global
39908,decreasing,2018-1,global
40635,unknown,2018-1,global
40708,unknown,2018-1,global
40710,unknown,2018-1,global
40711,stable,2018-1,global
40715,unknown,2018-1,global
40773,unknown,2018-1,global
40784,NA,2018-1,global
40797,unknown,2018-1,global
40802,decreasing,2018-1,global
41005,decreasing,2018-1,global
41006,unknown,2018-1,global
41007,decreasing,2018-1,global
41008,decreasing,2018-1,global
41010,decreasing,2018-1,global
41030,decreasing,2018-1,global
41064,decreasing,2018-1,global
41065,increasing,2018-1,global
41303,unknown,2018-1,global
41366,unknown,2018-1,global
41590,decreasing,2018-1,global
41664,increasing,2018-1,global
41665,stable,2018-1,global
41666,increasing,2018-1,global
41667,NA,2018-1,global
41668,decreasing,2018-1,global
41670,unknown,2018-1,global
41671,increasing,2018-1,global
41672,unknown,2018-1,global
41673,increasing,2018-1,global
41677,unknown,2018-1,global
41711,unknown,2018-1,global
41712,decreasing,2018-1,global
41713,increasing,2018-1,global
41714,unknown,2018-1,global
41715,unknown,2018-1,global
41718,unknown,2018-1,global
41719,unknown,2018-1,global
41720,stable,2018-1,global
41721,unknown,2018-1,global
41722,unknown,2018-1,global
41723,unknown,2018-1,global
41724,unknown,2018-1,global
41725,unknown,2018-1,global
41726,unknown,2018-1,global
41727,unknown,2018-1,global
41728,unknown,2018-1,global
41729,unknown,2018-1,global
41731,unknown,2018-1,global
41732,unknown,2018-1,global
41733,unknown,2018-1,global
41734,decreasing,2018-1,global
41735,stable,2018-1,global
41736,unknown,2018-1,global
41737,unknown,2018-1,global
41738,unknown,2018-1,global
41739,stable,2018-1,global
41740,decreasing,2018-1,global
41741,unknown,2018-1,global
41742,decreasing,2018-1,global
41743,stable,2018-1,global
41745,unknown,2018-1,global
41746,unknown,2018-1,global
41747,unknown,2018-1,global
41749,unknown,2018-1,global
41752,stable,2018-1,global
41753,stable,2018-1,global
41754,decreasing,2018-1,global
41755,unknown,2018-1,global
41756,decreasing,2018-1,global
41758,unknown,2018-1,global
41759,unknown,2018-1,global
41760,unknown,2018-1,global
41761,decreasing,2018-1,global
41762,decreasing,2018-1,global
41772,decreasing,2018-1,global
41791,unknown,2018-1,global
41792,unknown,2018-1,global
41793,unknown,2018-1,global
41794,unknown,2018-1,global
41795,unknown,2018-1,global
41796,stable,2018-1,global
41797,decreasing,2018-1,global
41798,unknown,2018-1,global
41799,stable,2018-1,global
41800,stable,2018-1,global
41801,unknown,2018-1,global
41802,unknown,2018-1,global
41804,unknown,2018-1,global
41805,unknown,2018-1,global
41806,unknown,2018-1,global
41807,unknown,2018-1,global
41808,unknown,2018-1,global
41809,unknown,2018-1,global
41810,decreasing,2018-1,global
41811,unknown,2018-1,global
41812,unknown,2018-1,global
41813,unknown,2018-1,global
41814,unknown,2018-1,global
41818,stable,2018-1,global
41820,unknown,2018-1,global
41821,unknown,2018-1,global
41822,unknown,2018-1,global
41823,unknown,2018-1,global
41824,unknown,2018-1,global
41825,unknown,2018-1,global
41826,stable,2018-1,global
41827,stable,2018-1,global
41828,unknown,2018-1,global
41829,unknown,2018-1,global
41830,unknown,2018-1,global
41831,unknown,2018-1,global
41832,unknown,2018-1,global
41833,unknown,2018-1,global
41835,decreasing,2018-1,global
41836,decreasing,2018-1,global
41837,unknown,2018-1,global
41838,unknown,2018-1,global
41839,unknown,2018-1,global
41840,unknown,2018-1,global
41841,unknown,2018-1,global
41842,unknown,2018-1,global
41843,unknown,2018-1,global
41844,unknown,2018-1,global
41845,unknown,2018-1,global
41846,stable,2018-1,global
41848,decreasing,2018-1,global
41849,decreasing,2018-1,global
41850,unknown,2018-1,global
41851,unknown,2018-1,global
41852,unknown,2018-1,global
41853,decreasing,2018-1,global
41854,decreasing,2018-1,global
41855,unknown,2018-1,global
41856,unknown,2018-1,global
41857,unknown,2018-1,global
41858,unknown,2018-1,global
41859,unknown,2018-1,global
41860,unknown,2018-1,global
41861,unknown,2018-1,global
41862,stable,2018-1,global
41863,stable,2018-1,global
41864,unknown,2018-1,global
41866,unknown,2018-1,global
41871,decreasing,2018-1,global
41872,decreasing,2018-1,global
41873,unknown,2018-1,global
41874,decreasing,2018-1,global
41875,unknown,2018-1,global
41876,decreasing,2018-1,global
41877,unknown,2018-1,global
41878,decreasing,2018-1,global
41880,decreasing,2018-1,global
42178,stable,2018-1,global
42248,increasing,2018-1,global
42393,stable,2018-1,global
42394,stable,2018-1,global
42653,stable,2018-1,global
42654,unknown,2018-1,global
42675,stable,2018-1,global
42701,unknown,2018-1,global
42703,unknown,2018-1,global
42704,unknown,2018-1,global
42711,unknown,2018-1,global
42712,decreasing,2018-1,global
42713,unknown,2018-1,global
42716,unknown,2018-1,global
42717,unknown,2018-1,global
42720,unknown,2018-1,global
42721,unknown,2018-1,global
42722,unknown,2018-1,global
42723,unknown,2018-1,global
42725,unknown,2018-1,global
42726,unknown,2018-1,global
42727,unknown,2018-1,global
42728,unknown,2018-1,global
42729,decreasing,2018-1,global
42730,unknown,2018-1,global
42833,unknown,2018-1,global
42834,decreasing,2018-1,global
42838,unknown,2018-1,global
43972,unknown,2018-1,global
43973,decreasing,2018-1,global
43974,decreasing,2018-1,global
43993,NA,2018-1,global
44070,decreasing,2018-1,global
44071,stable,2018-1,global
44166,decreasing,2018-1,global
44168,decreasing,2018-1,global
44169,decreasing,2018-1,global
44170,unknown,2018-1,global
44171,unknown,2018-1,global
44173,unknown,2018-1,global
44174,stable,2018-1,global
44175,stable,2018-1,global
44176,unknown,2018-1,global
44177,decreasing,2018-1,global
44178,unknown,2018-1,global
44179,stable,2018-1,global
44181,decreasing,2018-1,global
44183,stable,2018-1,global
44186,unknown,2018-1,global
44187,decreasing,2018-1,global
44189,decreasing,2018-1,global
44191,decreasing,2018-1,global
44205,unknown,2018-1,global
44206,unknown,2018-1,global
44207,unknown,2018-1,global
44209,unknown,2018-1,global
44210,unknown,2018-1,global
44211,unknown,2018-1,global
44212,unknown,2018-1,global
44213,unknown,2018-1,global
44214,unknown,2018-1,global
44215,unknown,2018-1,global
44216,unknown,2018-1,global
44217,unknown,2018-1,global
44218,unknown,2018-1,global
44219,unknown,2018-1,global
44220,unknown,2018-1,global
44221,unknown,2018-1,global
44222,unknown,2018-1,global
44223,unknown,2018-1,global
44224,unknown,2018-1,global
44225,unknown,2018-1,global
44226,unknown,2018-1,global
44227,unknown,2018-1,global
44228,unknown,2018-1,global
44229,unknown,2018-1,global
44275,increasing,2018-1,global
44478,unknown,2018-1,global
44479,unknown,2018-1,global
44496,unknown,2018-1,global
44502,unknown,2018-1,global
44514,unknown,2018-1,global
44515,unknown,2018-1,global
44563,unknown,2018-1,global
44564,unknown,2018-1,global
44565,stable,2018-1,global
44566,unknown,2018-1,global
44567,unknown,2018-1,global
44568,unknown,2018-1,global
44569,unknown,2018-1,global
44570,unknown,2018-1,global
44571,unknown,2018-1,global
44572,unknown,2018-1,global
44573,unknown,2018-1,global
44574,unknown,2018-1,global
44575,decreasing,2018-1,global
44576,unknown,2018-1,global
44577,unknown,2018-1,global
44578,decreasing,2018-1,global
44579,unknown,2018-1,global
44580,unknown,2018-1,global
44581,decreasing,2018-1,global
44582,unknown,2018-1,global
44583,unknown,2018-1,global
44584,unknown,2018-1,global
44585,unknown,2018-1,global
44586,unknown,2018-1,global
44587,unknown,2018-1,global
44588,unknown,2018-1,global
44589,unknown,2018-1,global
44590,unknown,2018-1,global
44591,unknown,2018-1,global
44592,unknown,2018-1,global
44595,decreasing,2018-1,global
44596,unknown,2018-1,global
44597,unknown,2018-1,global
44598,unknown,2018-1,global
44599,unknown,2018-1,global
44600,unknown,2018-1,global
44601,unknown,2018-1,global
44602,unknown,2018-1,global
44603,unknown,2018-1,global
44604,unknown,2018-1,global
44605,unknown,2018-1,global
44606,stable,2018-1,global
44607,unknown,2018-1,global
44608,unknown,2018-1,global
44609,stable,2018-1,global
44610,unknown,2018-1,global
44611,unknown,2018-1,global
44612,unknown,2018-1,global
44613,unknown,2018-1,global
44614,unknown,2018-1,global
44615,unknown,2018-1,global
44618,unknown,2018-1,global
44619,unknown,2018-1,global
44620,unknown,2018-1,global
44621,unknown,2018-1,global
44640,unknown,2018-1,global
44641,unknown,2018-1,global
44642,decreasing,2018-1,global
44643,unknown,2018-1,global
44644,unknown,2018-1,global
44645,unknown,2018-1,global
44646,unknown,2018-1,global
44647,unknown,2018-1,global
44649,stable,2018-1,global
44650,stable,2018-1,global
44651,unknown,2018-1,global
44652,unknown,2018-1,global
44653,unknown,2018-1,global
44654,unknown,2018-1,global
44655,unknown,2018-1,global
44656,decreasing,2018-1,global
44657,unknown,2018-1,global
44666,unknown,2018-1,global
44668,unknown,2018-1,global
44669,unknown,2018-1,global
44670,unknown,2018-1,global
44671,unknown,2018-1,global
44672,unknown,2018-1,global
44673,unknown,2018-1,global
44674,decreasing,2018-1,global
44675,unknown,2018-1,global
44676,stable,2018-1,global
44678,unknown,2018-1,global
44680,decreasing,2018-1,global
44681,decreasing,2018-1,global
44682,unknown,2018-1,global
44683,decreasing,2018-1,global
44684,decreasing,2018-1,global
44685,unknown,2018-1,global
44686,unknown,2018-1,global
44993,decreasing,2018-1,global
44994,decreasing,2018-1,global
44995,unknown,2018-1,global
44996,unknown,2018-1,global
46864,unknown,2018-1,global
46865,unknown,2018-1,global
54734,stable,2018-1,global
58269,increasing,2018-1,global
58360,stable,2018-1,global
58542,stable,2018-1,global
58705,increasing,2018-1,global
58742,stable,2018-1,global
60080,unknown,2018-1,global
60081,unknown,2018-1,global
60082,stable,2018-1,global
60083,stable,2018-1,global
60084,stable,2018-1,global
60085,stable,2018-1,global
60088,decreasing,2018-1,global
60089,stable,2018-1,global
60090,unknown,2018-1,global
60091,unknown,2018-1,global
60092,stable,2018-1,global
60093,unknown,2018-1,global
60094,unknown,2018-1,global
60097,stable,2018-1,global
60098,unknown,2018-1,global
60099,unknown,2018-1,global
60100,unknown,2018-1,global
60101,unknown,2018-1,global
60102,stable,2018-1,global
60103,unknown,2018-1,global
60104,decreasing,2018-1,global
60105,decreasing,2018-1,global
60106,unknown,2018-1,global
60107,unknown,2018-1,global
60108,stable,2018-1,global
60109,unknown,2018-1,global
60110,unknown,2018-1,global
60111,unknown,2018-1,global
60112,unknown,2018-1,global
60113,decreasing,2018-1,global
60115,unknown,2018-1,global
60116,unknown,2018-1,global
60117,decreasing,2018-1,global
60118,unknown,2018-1,global
60119,decreasing,2018-1,global
60120,decreasing,2018-1,global
60121,decreasing,2018-1,global
60123,unknown,2018-1,global
60124,decreasing,2018-1,global
60125,unknown,2018-1,global
60127,unknown,2018-1,global
60128,unknown,2018-1,global
60129,unknown,2018-1,global
60130,unknown,2018-1,global
60131,decreasing,2018-1,global
60132,unknown,2018-1,global
60133,unknown,2018-1,global
60134,unknown,2018-1,global
60135,unknown,2018-1,global
60136,unknown,2018-1,global
60137,unknown,2018-1,global
60138,stable,2018-1,global
60139,unknown,2018-1,global
60140,stable,2018-1,global
60141,unknown,2018-1,global
60142,unknown,2018-1,global
60143,unknown,2018-1,global
60144,unknown,2018-1,global
60145,unknown,2018-1,global
60146,unknown,2018-1,global
60147,unknown,2018-1,global
60148,unknown,2018-1,global
60149,unknown,2018-1,global
60150,unknown,2018-1,global
60151,unknown,2018-1,global
60152,unknown,2018-1,global
60153,unknown,2018-1,global
60154,unknown,2018-1,global
60155,unknown,2018-1,global
60156,unknown,2018-1,global
60157,unknown,2018-1,global
60158,unknown,2018-1,global
60159,unknown,2018-1,global
60160,unknown,2018-1,global
60161,unknown,2018-1,global
60162,decreasing,2018-1,global
60163,unknown,2018-1,global
60164,unknown,2018-1,global
60166,decreasing,2018-1,global
60167,unknown,2018-1,global
60168,unknown,2018-1,global
60169,unknown,2018-1,global
60170,decreasing,2018-1,global
60171,decreasing,2018-1,global
60172,decreasing,2018-1,global
60175,unknown,2018-1,global
60176,unknown,2018-1,global
60177,unknown,2018-1,global
60179,unknown,2018-1,global
60180,decreasing,2018-1,global
60181,decreasing,2018-1,global
60182,decreasing,2018-1,global
60183,unknown,2018-1,global
60184,unknown,2018-1,global
60185,unknown,2018-1,global
60186,unknown,2018-1,global
60187,unknown,2018-1,global
60188,unknown,2018-1,global
60189,unknown,2018-1,global
60190,unknown,2018-1,global
60191,increasing,2018-1,global
60192,stable,2018-1,global
60193,unknown,2018-1,global
60194,unknown,2018-1,global
60195,stable,2018-1,global
60196,unknown,2018-1,global
60197,unknown,2018-1,global
60198,unknown,2018-1,global
60199,decreasing,2018-1,global
60200,decreasing,2018-1,global
60201,unknown,2018-1,global
60202,decreasing,2018-1,global
60203,decreasing,2018-1,global
60204,unknown,2018-1,global
60205,unknown,2018-1,global
60206,unknown,2018-1,global
60208,unknown,2018-1,global
60209,unknown,2018-1,global
60210,unknown,2018-1,global
60211,unknown,2018-1,global
60212,unknown,2018-1,global
60213,unknown,2018-1,global
60214,unknown,2018-1,global
60215,unknown,2018-1,global
60216,unknown,2018-1,global
60217,decreasing,2018-1,global
60218,decreasing,2018-1,global
60219,decreasing,2018-1,global
60220,unknown,2018-1,global
60221,unknown,2018-1,global
60223,unknown,2018-1,global
60224,decreasing,2018-1,global
60225,decreasing,2018-1,global
60226,unknown,2018-1,global
60227,unknown,2018-1,global
60228,unknown,2018-1,global
60229,unknown,2018-1,global
60230,unknown,2018-1,global
60231,unknown,2018-1,global
60232,unknown,2018-1,global
60233,increasing,2018-1,global
60234,unknown,2018-1,global
60235,unknown,2018-1,global
60236,unknown,2018-1,global
60237,unknown,2018-1,global
60238,unknown,2018-1,global
60239,unknown,2018-1,global
60240,unknown,2018-1,global
60241,unknown,2018-1,global
60242,unknown,2018-1,global
60243,unknown,2018-1,global
60244,unknown,2018-1,global
60245,unknown,2018-1,global
60246,unknown,2018-1,global
60247,unknown,2018-1,global
60248,unknown,2018-1,global
60302,decreasing,2018-1,global
60324,unknown,2018-1,global
60344,decreasing,2018-1,global
60708,unknown,2018-1,global
61207,unknown,2018-1,global
61213,unknown,2018-1,global
61235,decreasing,2018-1,global
61250,unknown,2018-1,global
61314,unknown,2018-1,global
61333,decreasing,2018-1,global
61334,decreasing,2018-1,global
61335,unknown,2018-1,global
61336,unknown,2018-1,global
61337,unknown,2018-1,global
61338,decreasing,2018-1,global
61339,decreasing,2018-1,global
