iucn_sid,iucn_rgn,pop_trend
129511300,global,unknown
129511525,global,unknown
129511528,global,unknown
129511555,global,unknown
129511606,global,unknown
129511614,global,unknown
129511745,global,unknown
129511856,global,unknown
129511949,global,unknown
129512036,global,unknown
13006,global,increasing
130263584,global,unknown
130263812,global,unknown
130275086,global,unknown
130275173,global,unknown
130275223,global,unknown
130275248,global,unknown
130275254,global,unknown
130275315,global,unknown
130281858,global,unknown
130281888,global,unknown
130282156,global,unknown
130282200,global,unknown
130282230,global,unknown
130282441,global,unknown
130282725,global,unknown
130282824,global,unknown
130283033,global,unknown
130283639,global,unknown
130284409,global,unknown
130284614,global,unknown
130284836,global,unknown
130285078,global,unknown
130285307,global,unknown
130285744,global,unknown
130285977,global,unknown
130286039,global,unknown
130286297,global,unknown
130286757,global,unknown
130286778,global,unknown
130286787,global,unknown
130286796,global,unknown
130286816,global,unknown
130286847,global,unknown
130286862,global,unknown
130338284,global,unknown
130344486,global,unknown
130344504,global,unknown
130344655,global,unknown
130345331,global,unknown
130345678,global,unknown
130346023,global,unknown
130346041,global,unknown
130346273,global,unknown
130346280,global,unknown
130346283,global,unknown
130346410,global,unknown
130346424,global,unknown
130346459,global,unknown
130350139,global,unknown
130350168,global,unknown
130350177,global,unknown
130350214,global,unknown
130350264,global,unknown
130350272,global,unknown
130350289,global,unknown
130350312,global,unknown
130350372,global,unknown
130350451,global,unknown
130350484,global,unknown
130350490,global,unknown
130350493,global,unknown
130350496,global,unknown
130350503,global,unknown
130350508,global,unknown
130350511,global,unknown
130350523,global,unknown
130350534,global,unknown
130350547,global,unknown
130350552,global,unknown
130350565,global,unknown
130350771,global,unknown
130350825,global,unknown
130351028,global,unknown
130352266,global,unknown
130352497,global,unknown
130352723,global,unknown
130353171,global,unknown
130353324,global,unknown
130353354,global,unknown
130353401,global,unknown
130353406,global,unknown
130389813,global,stable
130391495,global,decreasing
130393378,global,decreasing
13045,global,NA
1308,global,unknown
13145,global,decreasing
13145780,global,unknown
13168143,global,unknown
13232,global,unknown
132341128,global,decreasing
13238,global,NA
13241,global,unknown
13242,global,unknown
13243,global,unknown
132434704,global,decreasing
132438298,global,decreasing
13244,global,unknown
132441735,global,stable
13245,global,unknown
132450926,global,decreasing
13246,global,unknown
132467692,global,decreasing
132468585,global,decreasing
13247,global,unknown
13248,global,unknown
13249,global,unknown
13250,global,unknown
13251,global,unknown
13252,global,unknown
132722,global,decreasing
132723,global,decreasing
132724,global,decreasing
132725,global,unknown
132726,global,unknown
132727,global,stable
132728,global,unknown
132729,global,stable
132730,global,decreasing
132731,global,unknown
132732,global,stable
132733,global,stable
132734,global,unknown
132735,global,unknown
132736,global,unknown
132737,global,unknown
132738,global,stable
132739,global,unknown
132740,global,decreasing
132741,global,unknown
132742,global,unknown
132743,global,stable
132744,global,stable
132745,global,stable
132746,global,unknown
132747,global,stable
132748,global,unknown
132749,global,unknown
132750,global,stable
132751,global,stable
132752,global,unknown
132753,global,decreasing
132754,global,unknown
132755,global,unknown
132756,global,unknown
132757,global,stable
132758,global,unknown
132759,global,decreasing
132760,global,unknown
132761,global,stable
132762,global,unknown
132763,global,unknown
132764,global,stable
132765,global,decreasing
132766,global,stable
132767,global,unknown
132768,global,unknown
132769,global,unknown
132770,global,unknown
132771,global,unknown
132772,global,unknown
