iucn_sid,poly_range_km2
46863,1320798.464
46864,3891684.54
46865,962601.917
60080,122343.31
60081,145991.738
60082,116166.367
60083,76547.774
60084,43986.173
60085,49876.044
60086,26892.099
60087,189443.412
60088,142871.476
60089,45632.249
60090,111123.254
60091,37221.31
60092,200636.88
60093,229215.813
60094,149347.843
60095,9779.264
60096,12327.219
60097,18163.548
60098,2811.961
60099,82249.606
60100,38371.217
60101,41329.156
60102,436999.362
60103,31884.403
60104,35583.218
60105,394258.97
60106,49274.576
60107,127382.45
60108,968785.502
60109,2941000.774
60110,95609.807
60111,1189114.533
60112,385342.246
60113,724713.262
60115,2929129.13
60116,111360.677
60117,2017754.643
60118,4050.439
60119,477164.449
60120,1193199.087
60121,5655165.351
60123,166212.454
60124,411746.097
60125,295978.802
60126,127712.468
60127,3406425.825
60128,1545914.532
60129,2606314.588
60130,451824.731
60131,10600.2
60132,15758.286
60133,36884.508
60134,1161512.644
60135,221808.171
60136,1426359.639
60137,486446.482
60138,338798.925
60139,2351086.356
60140,5102388.954
60141,407484.125
60142,1413135.625
60143,373851.477
60144,1330603.269
60145,1495604.244
60146,4068476.554
60147,95919.309
60148,856575.089
60149,3931130.445
60150,522244.446
60151,5832.269
60152,421758.459
60153,412027.226
60154,321424.033
60155,5089.37
60156,187946.865
60157,310614.044
60158,734335.112
60159,2295964.099
60160,1211407.271
60161,2154942.002
60162,12682649.32
60163,161381.722
60164,46765.841
60166,1409833.968
60167,131388.04
60168,434382.146
60169,11311.33
60170,355334.411
60171,432101.565
60172,259496.724
60175,917462.715
60176,5864.244
60177,419952.62
60178,177175.704
60179,3306.455
60180,132449.028
60181,18993.55
60182,1482226.299
60183,447236.549
60184,246221.111
60185,872043.293
60186,243999.304
60187,3867475.131
60188,704124.651
60189,1692000.361
60190,1184947.048
60191,905441.035
60192,1128413.32
60193,388839.549
60194,1203772.293
60195,283988.381
60196,1243825.554
60197,1269202.323
60198,1095609.972
60199,3800848.112
60200,8399189.505
60201,2629329.56
60202,1524704.857
60203,606599.21
60204,2925441.035
60205,86144.331
60206,159614.711
60208,595327.016
60209,2133293.174
60210,230221092.587
60211,285745.578
60212,576738.596
60213,7108821.234
60214,1045945.711
60215,8770793.622
60217,3710044.164
60218,616495.091
60219,3016005.39
60220,3446689.004
60222,5258776.915
60223,5067049.621
60225,185338575.156
60226,29379.962
60227,880739.802
60228,119286.381
60229,417256.366
60230,29683.267
60231,771459.579
60232,924225.98
60233,1532522.986
60234,1129112.414
60235,963597.264
60236,2113172.094
60237,1106333.96
60238,17878.707
60239,899965.223
60240,16640.36
60241,1071990.504
60242,3527030.364
60243,216953.757
60244,622984.563
60245,1898365.49
60246,589903.298
60247,565215.384
60248,1591706.077
61207,11952008.789
61213,6316397.504
61250,17209030.262
61334,238536.405
61336,1620296.845
61337,740666.033
61338,14584105.23
61339,15869249.375
61398,349945.488
61399,13636.515
61400,359128.438
61401,25161.364
61402,125451.225
61403,370250.912
61404,136422.133
61405,306690.112
61406,77091.109
61407,3403536.858
61408,3271674.106
61416,1786012.839
61417,2643441.31
61418,3627747.079
61419,154719.88
62256,2373393.855
63100,1778598.464
63101,263770.717
63102,749387.949
63103,979114.988
63104,779844.269
63106,5391.213
63107,2000704.494
63108,1046438.415
63109,210797.687
63110,501846.443
63111,828156.157
63112,936165.989
63113,614708.364
63114,3381154.646
63115,41552.839
63116,417991.622
63117,941212.419
63119,10367989.239
63120,1518792.145
63121,193171.963
63122,1372566.501
63123,1919330.432
63124,12026.533
63125,201210.482
63126,64268.886
63127,2871695.24
63128,1524675.972
63129,689530.266
63130,537232.736
63131,1138442.805
63132,1207949.903
63133,5575.878
63134,1426.961
63135,11814.182
63136,2798.061
63137,14879.883
63140,164602.944
63141,4577932.124
63142,614181.026
63143,749048.663
63144,1134228.71
63145,520191.12
63146,2468597.719
63147,801333.679
63148,45002.564
63149,35031.056
63150,313731.301
63151,207009.395
63152,4541321.41
63153,3914243.535
63154,12007.31
63155,137043.076
63156,31081.452
63157,236180.069
63158,140200.863
63159,46824.565
63160,154801.209
63161,229344.099
63162,170306.773
63164,14119.435
63165,252374.554
63166,37123.947
63167,12922.154
