iucn_sid,sciname,dbf,shp,max_depth,kingdom,phylum,class,order,family,taxon
183969,Argentina sialis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.shp,200 m +,ANIMALIA,chordata,actinopterygii,osmeriformes,argentinidae,osmeriformes
198627,Glossanodon leioglossus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.shp,200 m +,ANIMALIA,chordata,actinopterygii,osmeriformes,argentinidae,osmeriformes
15601916,Glossanodon polli,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.shp,200 m +,ANIMALIA,chordata,actinopterygii,osmeriformes,argentinidae,osmeriformes
16407217,Argentina striata,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.shp,200 m +,ANIMALIA,chordata,actinopterygii,osmeriformes,argentinidae,osmeriformes
155296,Glossanodon pygmaeus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.shp,200 m +,ANIMALIA,chordata,actinopterygii,osmeriformes,argentinidae,osmeriformes
18140358,Bathylagichthys greyae,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.shp,deep oceanic,ANIMALIA,chordata,actinopterygii,osmeriformes,bathylagidae,osmeriformes
15601920,Bathylagichthys problematicus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.shp,200 m +,ANIMALIA,chordata,actinopterygii,osmeriformes,bathylagidae,osmeriformes
190286,Bathylagoides argyrogaster,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.shp,200 m +,ANIMALIA,chordata,actinopterygii,osmeriformes,bathylagidae,osmeriformes
18140736,Dolicholagus longirostris,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.shp,200 m +,ANIMALIA,chordata,actinopterygii,osmeriformes,bathylagidae,osmeriformes
190485,Melanolagus bericoides,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.shp,200 m +,ANIMALIA,chordata,actinopterygii,osmeriformes,bathylagidae,osmeriformes
