iucn_sid,poly_range_km2
194306,775.7300924930614
194307,16535626.776990745
194308,4184654.4144634
194309,2758086.375583496
191823,5006952.833895244
199659,4639.977547298621
155220,3903104.86452054
165646,2513459.7258970393
165631,23426724.13477211
165635,1327647.920390415
165636,1059310.1095039088
165634,754032.7799518562
165637,3961367.340526062
165653,6647960.418952706
165658,96819.03861553967
165660,1276459.943731271
165639,314491.2741723323
165640,13785313.356877962
165643,4561579.170530685
165633,1019669.1757463864
165665,13118145.375741186
165666,1036581.7028488404
165667,16031999.912805852
165668,17445982.38748895
165670,714716.6439715299
165672,13411291.807546942
165628,17305623.52136579
165705,637086.3908625784
165708,277885.26135631657
165709,1092350.2957858376
165710,377811.4498758949
165723,4014169.713812817
165626,21669701.65641609
165627,2578754.8528124588
165630,20373044.220483854
165632,8659510.088049654
165638,13456200.133966014
165641,16857329.703298558
165642,2698973.9777795402
165644,401134.9852481812
165645,506190.8358830402
165647,507170.98853133916
165648,3914287.9461932406
165649,1043156.8567218183
165650,15362338.950513754
165651,20738597.715055093
165652,12266796.1209741
165654,1327153.2559223645
165655,443163.15351671446
165656,5056985.096027379
165657,5275069.335691491
165659,9364908.677358288
165661,9038170.901791383
165662,411073.2037960723
165663,1090057.3961778046
165669,20126990.36596068
165704,17126340.316392682
165664,6447796.086130375
165671,2607913.1497069933
165673,4163126.5194458854
165674,836662.4796332249
165706,580435.5940248257
165707,1344385.9609516526
165711,5748197.326952491
165713,9914279.328018676
165714,17627182.454601213
165715,118409.54161256846
165716,20450696.87257667
165717,494624.47914096346
165718,5105357.611595283
165719,3347918.1598060755
165720,125257.05462826006
165721,443163.15351671446
165724,1073390.5419565027
165725,12154271.670287447
165726,238107.44697662
154788,2525002.320297602
155193,3824059.301049441
165625,587738.7405440557
165689,17392921.004172195
165702,10114393.436508758
165703,1779350.913058793
165607,3148408.16376314
165608,1620635.9556873285
165609,688222.8309172696
165610,1069386.9739177309
165611,4175517.270654139
165612,1889812.5806208306
165613,393433.16419573064
165614,1350653.3548250431
165615,8500007.035779513
165616,1302624.631221235
165617,89033.27365804218
165618,642309.1274764879
165619,3766447.719337918
165620,4101272.6764846942
165621,824596.1108763729
165622,12401265.396954333
165623,8699915.400477698
165624,2076411.4531911344
165675,125528.93821025857
165676,5684259.809729888
165677,1838654.01965283
165678,6032805.820095633
165679,1206453.9188721091
165680,12260803.919959098
165681,14860372.033757912
165682,307956.66148536245
165683,7444760.398542843
165684,2923684.8114644275
165685,2992566.451845183
165686,15183120.87135338
165687,142447.09380734226
165688,3788484.433336819
165690,69410.69898709799
165691,611502.6892019971
165692,9732803.94282384
165693,1445058.8497617652
165694,12140084.288640218
165695,3149092.3487731013
