am_sid,iucn_sid,sciname,main_common_name,cat,cat_score
Fis-23043,161378,Carcharhinus acronotus,Blacknose Shark,NT,0.2
Fis-23044,161526,Carcharhinus albimarginatus,Silvertip Shark,VU,0.4
Fis-23046,40797,Carcharhinus amblyrhynchoides,Graceful Shark,NT,0.2
Fis-23047,39365,Carcharhinus amblyrhynchos,Grey Reef Shark,NT,0.2
Fis-23050,41741,Carcharhinus brachyurus,Copper Shark,NT,0.2
Fis-23051,39368,Carcharhinus brevipinna,Spinner Shark,NT,0.2
Fis-23053,41734,Carcharhinus dussumieri,Widemouth Blackspot Shark,NT,0.2
Fis-23054,39370,Carcharhinus falciformis,Silky Shark,VU,0.4
Fis-23055,41735,Carcharhinus fitzroyensis,Creek Whaler,LC,0
Fis-23056,41736,Carcharhinus galapagensis,Galapagos Shark,NT,0.2
Fis-23057,39369,Carcharhinus hemiodon,Pondicherry Shark,CR,0.8
Fis-23058,161524,Carcharhinus isodon,Finetooth Shark,LC,0
Fis-23059,39372,Carcharhinus leucas,Bull Shark,NT,0.2
Fis-23060,3851,Carcharhinus limbatus,Blacktip Shark,NT,0.2
Fis-23061,39374,Carcharhinus longimanus,Oceanic Whitetip Shark,VU,0.4
Fis-23062,41737,Carcharhinus macloti,Hardnose Shark,NT,0.2
Fis-23063,39375,Carcharhinus melanopterus,Blacktip Reef Shark,NT,0.2
Fis-23064,3852,Carcharhinus obscurus,Dusky Shark,VU,0.4
Fis-49770,60217,Carcharhinus perezi,Caribbean Reef Shark,NT,0.2
Fis-23066,3853,Carcharhinus plumbeus,Sandbar Shark,VU,0.4
Fis-23068,41738,Carcharhinus sealei,Blackspot Shark,NT,0.2
Fis-23069,60219,Carcharhinus signatus,Night Shark,VU,0.4
Fis-23070,161376,Carcharhinus sorrah,Spottail Shark,NT,0.2
Fis-23129,39378,Galeocerdo cuvier,Tiger Shark,NT,0.2
Fis-23138,9281,Glyphis gangeticus,Ganges Shark,CR,0.8
Fis-23162,60218,Isogomphodon oxyrhynchus,Daggernose Shark,CR,0.8
Fis-29436,41831,Loxodon macrorhinus,Sliteye Shark,LC,0
Fis-23193,41836,Negaprion acutidens,Sharptooth Lemon Shark,VU,0.4
Fis-23194,39380,Negaprion brevirostris,Lemon Shark,NT,0.2
Fis-23222,39381,Prionace glauca,Blue Shark,NT,0.2
Fis-23239,41850,Rhizoprionodon acutus,Milk Shark,LC,0
Fis-29500,41851,Rhizoprionodon oligolinx,Grey Sharpnose Shark,LC,0
Fis-23242,61407,Rhizoprionodon porosus,Caribbean Sharpnose Shark,LC,0
Fis-23243,41852,Rhizoprionodon taylori,Australian Sharpnose Shark,LC,0
Fis-29505,39383,Scoliodon laticaudus,Spadenose Shark,NT,0.2
Fis-23311,39384,Triaenodon obesus,Whitetip Reef Shark,NT,0.2
Fis-23128,41810,Eusphyra blochii,Winghead Shark,EN,0.6
Fis-29528,44591,Sphyrna corona,Scalloped Bonnethead,NT,0.2
Fis-23273,39385,Sphyrna lewini,Scalloped Hammerhead,EN,0.6
Fis-23274,39386,Sphyrna mokarran,Great Hammerhead,EN,0.6
Fis-23275,39387,Sphyrna tiburo,Bonnethead Shark,LC,0
Fis-23277,39388,Sphyrna zygaena,Smooth Hammerhead,VU,0.4
Fis-29305,155097,Caesio caerulaurea,Blue and Gold Fusilier,LC,0
Fis-22982,183464,Anchoa lucida,Bright Anchovy,LC,0
Fis-23102,60148,Hemitrygon akajei,Red Stingray,NT,0.2
Fis-29260,177985,Acanthurus bahianus,Ocean Surgeon,LC,0
Fis-22976,177982,Acanthurus chirurgus,Doctorfish,LC,0
Fis-29261,177953,Acanthurus coeruleus,Blue Tang,LC,0
Fis-165019,155018,Sciades parkeri,Gillbacker Sea Catfish,VU,0.4
Fis-22978,155024,Amphichthys cryptocentrus,Bocon Toadfish,LC,0
Fis-23038,154930,Batrachoides surinamensis,Pacuma Toadfish,LC,0
Fis-29563,44463,Thalassophryne uranoscopus,NA,VU,0.4
Fis-23218,154844,Platybelone argalus,Keeltail Needlefish,LC,0
Fis-23290,155259,Strongylura marina,Atlantic Needlefish,LC,0
Fis-29471,202632,Paralichthys lethostigma,Southern Flounder,NT,0.2
Fis-22177,155128,Caulolatilus cyanops,Blackline Tilefish,LC,0
Fis-22977,155014,Alectis ciliaris,African Pompano,LC,0
Fis-23673,184050,Oligoplites saurus ssp. inornatus,Leather jacket,LC,0
Fis-22213,154970,Trachinotus goodei,Palometa,LC,0
Fis-23550,183776,Hirundichthys rondeletii,Atlantic Black Wing Flyingfish,LC,0
Fis-23396,187570,Bodianus pulchellus,Spotfin Hogfish,LC,0
Fis-23397,187672,Bodianus rufus,Spanish Hogfish,LC,0
Fis-23532,187736,Halichoeres radiatus,Puddingwife Wrasse,LC,0
Fis-23577,11130,Lachnolaimus maximus,Hogfish,VU,0.4
Fis-30247,154649,Lophius gastrophysus,Blackfin Goosefish,LC,0
Fis-2518,191823,Megalops atlanticus,Tarpon,VU,0.4
Fis-23323,192943,Agonostomus monticola,Mountain Mullet,LC,0
Fis-30318,183929,Mugil hospes,Hospe Mullet,LC,0
Fis-22190,155291,Mugil incilis,Parassi Mullet,LC,0
Fis-23732,165887,Pomacanthus arcuatus,Grey Angelfish,LC,0
Fis-23733,165898,Pomacanthus paru,French Angelfish,LC,0
Fis-23350,183245,Anchoa ischana,Sharpnose Anchovy,LC,0
Fis-23347,183470,Anchoa exigua,Slender Anchovy,LC,0
Fis-23530,183317,Haemulon steindachneri,Latin Grunt,LC,0
Fis-23531,155163,Haemulon striatum,Striped Grunt,LC,0
Fis-159655,190709,Scarus coeruleus,Blue Parrotfish,LC,0
Fis-145135,190732,Scarus iseri,Striped Parrotfish,LC,0
Fis-30607,19950,Scarus guacamaia,Rainbow Parrotfish,NT,0.2
Fis-30608,190750,Scarus taeniopterus,Princess Parrotfish,LC,0
Fis-30609,190698,Scarus vetula,Queen Parrotfish,LC,0
Fis-30665,190729,Sparisoma aurofrenatum,Redband Parrotfish,LC,0
Fis-23814,190738,Sparisoma chrysopterum,Redtail Parrotfish,LC,0
Fis-23815,190721,Sparisoma rubripinne,Redfin Parrotfish,LC,0
Fis-23816,190734,Sparisoma viride,Stoplight Parrotfish,LC,0
Fis-23352,183657,Anchoa nasus,Longnose Anchovy,LC,0
Fis-23456,154875,Cynoscion acoupa,Acoupa Weakfish,LC,0
Fis-23878,154828,Umbrina broussonnetii,Striped Drum,LC,0
Fis-29953,7854,Epinephelus drummondhayi,Speckled Hind,CR,0.8
Fis-163777,64400,Hyporthodus flavolimbatus,Yellowedge Grouper,VU,0.4
Fis-163778,132827,Hyporthodus mystacinus,Misty Grouper,LC,0
Fis-163779,7860,Hyporthodus nigritus,Warsaw Grouper,CR,0.8
Fis-163781,7861,Hyporthodus niveatus,Snowy Grouper,VU,0.4
Fis-23648,64410,Mycteroperca interstitialis,Yellowmouth Grouper,VU,0.4
Fis-23649,14050,Mycteroperca microlepis,Gag,LC,0
Fis-30327,132729,Mycteroperca phenax,Scamp,LC,0
Fis-23650,14054,Mycteroperca rubra,Mottled Grouper,LC,0
Fis-23651,44682,Mycteroperca tigris,Tiger Grouper,LC,0
Fis-23652,44683,Mycteroperca venenosa,Yellowfin Grouper,NT,0.2
Fis-23713,132727,Paranthias furcifer,Creole-fish,LC,0
Fis-6933,39304,Serranus dewegeri,Meo Viejo,NT,0.2
Fis-23322,39415,Aetobatus narinari,Spotted Eagle Ray,NT,0.2
Fis-30564,161658,Raja eglanteria,Clearnose Skate,LC,0
Fis-131899,161419,Leucoraja garmani,Rosette Skate,LC,0
Fis-29578,177967,Acanthurus mata,Elongate Surgeonfish,LC,0
Fis-29579,177981,Acanthurus dussumieri,Eyestripe Surgeonfish,LC,0
Fis-29580,178000,Acanthurus leucosternon,Powder Blue Surgeonfish,LC,0
Fis-23320,177993,Acanthurus lineatus,Lined Surgeonfish,LC,0
Fis-4576,177997,Acanthurus tennentii,Doubleband Surgeonfish,LC,0
Fis-23321,177965,Acanthurus triostegus,Convict Surgeonfish,LC,0
