iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
162629,Sepia braggi,Slender Cuttlefish,2012,LC,NA,LC,0,2019-2
162630,Euprymna morsei,Mimka Bobtail Squid,2012,DD,NA,DD,NA,2019-2
162631,Sepiola atlantica,Atlantic Bobtail Squid,2012,DD,NA,DD,NA,2019-2
162632,Pareledone charcoti,NA,2018,LC,NA,LC,0,2019-2
162633,Sepia rhoda,NA,2012,LC,NA,LC,0,2019-2
162634,Sepia hedleyi,Hedley's Cuttlefish,2012,LC,NA,LC,0,2019-2
162635,Sepia recurvirostra,Curvespine Cuttlefish,2012,DD,NA,DD,NA,2019-2
162637,Sepia bathyalis,NA,2012,DD,NA,DD,NA,2019-2
162638,Sepia acuminata,NA,2012,DD,NA,DD,NA,2019-2
162639,Sepia elliptica,Ovalbone Cuttlefish,2012,DD,NA,DD,NA,2019-2
162640,Sepia subtenuipes,NA,2012,DD,NA,DD,NA,2019-2
162641,Sepia plathyconchalis,NA,2012,DD,NA,DD,NA,2019-2
162642,Sepia mestus,NA,2012,LC,NA,LC,0,2019-2
162643,Sepiola ligulata,Tongue Bobtail Squid,2012,DD,NA,DD,NA,2019-2
162644,Heteroteuthis dispar,Odd Bobtail Squid,2012,DD,NA,DD,NA,2019-2
162645,Sepia savignyi,Broadback Cuttlefish,2012,DD,NA,DD,NA,2019-2
162646,Sepiola pfefferi,NA,2012,DD,NA,DD,NA,2019-2
162647,Sepia typica,NA,2012,LC,NA,LC,0,2019-2
162648,Sepiella cyanea,NA,2012,DD,NA,DD,NA,2019-2
162649,Sepia carinata,NA,2012,DD,NA,DD,NA,2019-2
162650,Sepia joubini,NA,2012,DD,NA,DD,NA,2019-2
162651,Sepia elobyana,Guinean Cuttlefish,2012,DD,NA,DD,NA,2019-2
162652,Sepia bidhaia,NA,2012,LC,NA,LC,0,2019-2
162653,Sepia appellofi,NA,2012,DD,NA,DD,NA,2019-2
162654,Sepiola trirostrata,Knobby Bobtail Squid,2012,DD,NA,DD,NA,2019-2
162655,Sepia burnupi,NA,2012,DD,NA,DD,NA,2019-2
162656,Stoloteuthis maoria,NA,2012,DD,NA,DD,NA,2019-2
162657,Idiosepius paradoxus,Northern Pygmy Squid,2012,DD,NA,DD,NA,2019-2
162658,Sepia incerta,NA,2012,DD,NA,DD,NA,2019-2
162659,Sepiola intermedia,Intermediate Bobtail Squid,2012,DD,NA,DD,NA,2019-2
162660,Sepia andreana,Andrea Cuttlefish,2012,DD,NA,DD,NA,2019-2
162662,Sepia aculeata,Needle Cuttlefish,2012,DD,NA,DD,NA,2019-2
162663,Neorossia caroli,Carol Bobtail Squid,2012,LC,NA,LC,0,2019-2
162664,Sepia officinalis,Common Cuttlefish,2012,LC,NA,LC,0,2019-2
162665,Sepiola knudseni,NA,2012,DD,NA,DD,NA,2019-2
162666,Sepia esculenta,Golden Cuttlefish,2012,DD,NA,DD,NA,2019-2
162667,Sepia arabica,Arabian Cuttlefish,2012,DD,NA,DD,NA,2019-2
162668,Sepia sokotriensis,NA,2012,DD,NA,DD,NA,2019-2
162669,Euprymna stenodactyla,NA,2012,DD,NA,DD,NA,2019-2
162670,Sepia mirabilis,NA,2012,DD,NA,DD,NA,2019-2
162672,Inioteuthis maculosa,NA,2012,LC,NA,LC,0,2019-2
162673,Sepia rozella,Rosecone Cuttlefish,2012,DD,NA,DD,NA,2019-2
162674,Euprymna hoylei,NA,2012,DD,NA,DD,NA,2019-2
162676,Sepia whitleyana,Whitley's Cuttlefish,2012,DD,NA,DD,NA,2019-2
162677,Sepia angulata,NA,2012,DD,NA,DD,NA,2019-2
162678,Sepia sewelli,NA,2012,DD,NA,DD,NA,2019-2
162679,Sepia australis,Southern Cuttlefish,2012,LC,NA,LC,0,2019-2
162680,Sepia opipara,Magnificent Cuttlefish,2012,LC,NA,LC,0,2019-2
162681,Metasepia pfefferi,Flamboyant Cuttlefish,2012,DD,NA,DD,NA,2019-2
162682,Rondeletiola minor,Lentil Bobtail Squid,2012,DD,NA,DD,NA,2019-2
162683,Austrorossia australis,Big Bottom Bobtail Squid,2012,LC,NA,LC,0,2019-2
162684,Sepiella ocellata,NA,2012,DD,NA,DD,NA,2019-2
162685,Sepiadarium gracilis,NA,2012,DD,NA,DD,NA,2019-2
162686,Idiosepius picteti,NA,2012,DD,NA,DD,NA,2019-2
