iucn_sid,sciname
133369,Echinopora robusta
133447,Echinopora taylorae
133336,Echinopora tiranensis
132912,Enigmopora darveliensis
133631,Erythrastrea flabellata
133173,Euphyllia ancora
133588,Euphyllia cristata
133225,Euphyllia divisa
133256,Euphyllia glabrescens
133289,Euphyllia paraancora
133057,Euphyllia paradivisa
133228,Euphyllia paraglabrescens
132967,Euphyllia yaeyamaensis
133400,Eusmilia fastigiata
133009,Favia albidus
133426,Favia danae
133569,Favia favus
133594,Favia fragum
133601,Favia helianthoides
133151,Favia lacuna
133392,Favia laxa
133477,Favia leptophylla
133510,Favia lizardensis
133638,Favia maritima
133136,Favia marshae
133616,Favia matthaii
132878,Favia maxima
132936,Favia pallida
132899,Favia rosaria
133029,Favia rotumana
133307,Favia rotundata
133210,Favia speciosa
133593,Favia stelligera
133516,Favia truncatus
132894,Favia veroni
132872,Favia vietnamensis
133290,Favites abdita
133078,Favites acuticollis
133578,Favites bestae
133654,Favites chinensis
132979,Favites complanata
133244,Favites flexuosa
133055,Favites halicora
133630,Favites micropentagona
133650,Favites paraflexuosa
133209,Favites pentagona
133343,Favites russelli
133577,Favites spinosa
133629,Favites stylifera
132994,Favites vasta
133418,Fungia concinna
132864,Fungia costulata
133036,Fungia curvata
132954,Fungia cyclolites
133371,Fungia distorta
133034,Fungia fragilis
132877,Fungia fralinae
133503,Fungia fungites
133183,Fungia granulosa
132925,Fungia hexagonalis
133423,Fungia horrida
133437,Fungia moluccensis
133673,Fungia paumotensis
132902,Fungia puishani
132986,Fungia repanda
133179,Fungia scabra
133308,Fungia scruposa
133201,Fungia scutaria
132996,Fungia seychellensis
133299,Fungia sinensis
133397,Fungia somervillei
133008,Fungia spinifer
132964,Fungia taiwanensis
133215,Fungia tenuis
133230,Fungia vaughani
133109,Galaxea acrhelia
133354,Galaxea astreata
133019,Galaxea cryptoramosa
133662,Galaxea fascicularis
133495,Galaxea horrescens
133180,Galaxea longisepta
133236,Galaxea paucisepta
132917,Gardineroseris planulata
133452,Goniastrea aspera
132883,Goniastrea australensis
132868,Goniastrea columella
133074,Goniastrea deformis
133365,Goniastrea edwardsi
133060,Goniastrea favulus
133101,Goniastrea minuta
133560,Goniastrea palauensis
133414,Goniastrea pectinata
133627,Goniastrea peresi
133515,Goniastrea ramosa
133634,Goniastrea retiformis
133665,Goniastrea thecata
133368,Goniopora albiconus
133391,Goniopora burgosi
132898,Goniopora cellulosa
133149,Goniopora ciliatus
133448,Goniopora columna
133641,Goniopora djiboutiensis
133357,Goniopora eclipsensis
133198,Goniopora fruticosa
133459,Goniopora lobata
133607,Goniopora minor
133051,Goniopora norfolkensis
133232,Goniopora palmensis
133001,Goniopora pandoraensis
132955,Goniopora pearsoni
132949,Goniopora pendulus
132995,Goniopora planulata
133014,Goniopora polyformis
133297,Goniopora savignyi
133378,Goniopora somaliensis
133668,Goniopora stokesi
133615,Goniopora stutchburyi
133643,Goniopora sultani
132879,Goniopora tenella
133054,Goniopora tenuidens
133412,Gyrosmilia interrupta
132968,Halomitra clavator
133166,Halomitra pileus
133269,Heliofungia actiniformis
133193,Heliopora coerulea
133522,Helioseris cucullata
133538,Herpolitha limax
133431,Heterocyathus aequicostatus
133537,Heterocyathus alternatus
132939,Heterocyathus sulcatus
133679,Heteropsammia cochlea
133671,Heteropsammia eupsammides
133529,Horastrea indica
133108,Hydnophora bonsai
133478,Hydnophora exesa
132960,Hydnophora grandis
133458,Hydnophora microconos
132895,Hydnophora pilosa
132881,Hydnophora rigida
132941,Indophyllia macassarensis
133564,Isophyllastrea rigida
133591,Isophyllia sinuosa
133182,Isopora brueggemanni
133472,Isopora crateriformis
133660,Isopora cuneata
133653,Isopora cylindrica
133541,Isopora elizabethensis
133139,Isopora palifera
133602,Isopora togianensis
133542,Leptastrea aequalis
133003,Leptastrea bewickensis
132983,Leptastrea bottae
133424,Leptastrea inaequalis
133278,Leptastrea pruinosa
133090,Leptastrea purpurea
133652,Leptastrea transversa
133310,Leptoria irregularis
132980,Leptoria phrygia
132901,Leptoseris amitoriensis
133686,Leptoseris cailleti
132887,Leptoseris explanata
133330,Leptoseris foliosa
133636,Leptoseris gardineri
132885,Leptoseris hawaiiensis
133539,Leptoseris incrustans
133351,Leptoseris mycetoseroides
133098,Leptoseris papyracea
133091,Leptoseris scabra
132903,Leptoseris solida
132927,Leptoseris striata
132876,Leptoseris tubulifera
133147,Leptoseris yabei
133317,Lithophyllon mokai
133517,Lithophyllon ranjithi
133213,Lithophyllon undulatum
133551,Lobophyllia corymbosa
133565,Lobophyllia dentatus
133619,Lobophyllia diminuta
133032,Lobophyllia flabelliformis
133304,Lobophyllia hataii
133419,Lobophyllia hemprichii
133152,Lobophyllia pachysepta
133076,Lobophyllia robusta
133226,Lobophyllia serratus
132926,Madracis asanoi
133476,Madracis asperula
133618,Madracis auretenra
133544,Madracis carmabi
133663,Madracis decactis
133281,Madracis formosa
133380,Madracis kirbyi
133135,Madracis pharensis
133611,Madracis senaria
132963,Manicina areolata
133461,Meandrina braziliensis
133217,Meandrina danae
133224,Meandrina meandrites
133337,Merulina ampliata
133024,Merulina scabricula
132953,Merulina scheeri
133470,Micromussa amakusensis
133268,Micromussa diminuta
133670,Micromussa minuta
133144,Millepora alcicornis
133300,Millepora boschmai
133362,Millepora braziliensis
133042,Millepora complanata
133553,Millepora dichotoma
133140,Millepora exaesa
133612,Millepora foveolata
133536,Millepora intricata
133276,Millepora latifolia
133603,Millepora murrayi
132999,Millepora nitida
133595,Millepora platyphylla
133143,Millepora squarrosa
133466,Millepora striata
132975,Millepora tenera
133331,Millepora tuberosa
133134,Montastraea annularis
133237,Montastraea cavernosa
133373,Montastraea faveolata
133012,Montastraea franksi
133178,Montastrea annuligera
