iucn_sid,iucn_rgn,pop_trend,trend_score,trend_source
118354464,global,unknown,NA,NA
118354490,global,unknown,NA,NA
118354515,global,unknown,NA,NA
118354540,global,unknown,NA,NA
118354604,global,unknown,NA,NA
118354732,global,unknown,NA,NA
118354744,global,unknown,NA,NA
118354800,global,unknown,NA,NA
118354866,global,unknown,NA,NA
118354917,global,unknown,NA,NA
118355114,global,unknown,NA,NA
118355154,global,unknown,NA,NA
118355257,global,unknown,NA,NA
118355300,global,unknown,NA,NA
118355328,global,unknown,NA,NA
118355413,global,unknown,NA,NA
118355457,global,unknown,NA,NA
118355537,global,unknown,NA,NA
118355587,global,unknown,NA,NA
118355604,global,unknown,NA,NA
118355622,global,unknown,NA,NA
118355645,global,unknown,NA,NA
118356183,global,unknown,NA,NA
118356821,global,unknown,NA,NA
118356838,global,unknown,NA,NA
118356850,global,unknown,NA,NA
118356869,global,unknown,NA,NA
118356908,global,unknown,NA,NA
118356930,global,unknown,NA,NA
118357019,global,unknown,NA,NA
118358386,global,stable,0,regr
118358912,global,stable,0,regr
118359431,global,decreasing,0.00394,regr
118360372,global,decreasing,0.00394,regr
118360435,global,unknown,NA,NA
118360643,global,unknown,NA,NA
11987,global,decreasing,0.01,lm
120868935,global,unknown,NA,NA
12103,global,NA,NA,NA
12125,global,unknown,0,lm
12126,global,unknown,NA,NA
12137,global,decreasing,0.01111,lm
122055033,global,decreasing,0.00394,regr
122055267,global,decreasing,0.00394,regr
122055294,global,decreasing,0.00394,regr
122055381,global,decreasing,0.00394,regr
122055529,global,decreasing,0.00394,regr
122055686,global,decreasing,0.00394,regr
12242,global,NA,NA,NA
12244,global,NA,NA,NA
12246,global,unknown,0,lm
12302,global,stable,0,lm
12303,global,decreasing,0.00572,lm
12305,global,decreasing,0.01015,lm
123095978,global,decreasing,0.00394,regr
123320518,global,unknown,NA,NA
123320543,global,unknown,NA,NA
123320646,global,unknown,NA,NA
123320674,global,unknown,NA,NA
123320677,global,unknown,NA,NA
123320865,global,unknown,NA,NA
123320960,global,unknown,NA,NA
123321065,global,unknown,NA,NA
123321962,global,unknown,NA,NA
123321965,global,unknown,NA,NA
123323283,global,unknown,NA,NA
123323295,global,unknown,NA,NA
123323380,global,unknown,NA,NA
123323392,global,unknown,NA,NA
123323452,global,unknown,NA,NA
123323471,global,unknown,NA,NA
123323873,global,unknown,NA,NA
123323914,global,unknown,NA,NA
123323927,global,unknown,NA,NA
123323933,global,unknown,NA,NA
123324008,global,unknown,NA,NA
123324256,global,unknown,NA,NA
123325240,global,unknown,NA,NA
123325265,global,unknown,NA,NA
123325302,global,unknown,NA,NA
123325715,global,unknown,NA,NA
123325779,global,unknown,NA,NA
123325782,global,unknown,NA,NA
123326101,global,unknown,NA,NA
123335326,global,unknown,NA,NA
123335481,global,unknown,NA,NA
123335673,global,unknown,NA,NA
123335677,global,unknown,NA,NA
123335680,global,unknown,NA,NA
123350079,global,unknown,NA,NA
123350109,global,unknown,NA,NA
123350119,global,unknown,NA,NA
123350125,global,unknown,NA,NA
123354515,global,unknown,NA,NA
123354731,global,unknown,NA,NA
123354734,global,unknown,NA,NA
123354780,global,unknown,NA,NA
123355145,global,unknown,NA,NA
123355193,global,unknown,NA,NA
123355281,global,unknown,NA,NA
123355378,global,unknown,NA,NA
123355386,global,unknown,NA,NA
123355425,global,unknown,NA,NA
123356234,global,unknown,NA,NA
123356887,global,unknown,NA,NA
123360429,global,unknown,NA,NA
123360476,global,unknown,NA,NA
123360481,global,unknown,NA,NA
123360553,global,unknown,NA,NA
123360771,global,unknown,NA,NA
123360857,global,unknown,NA,NA
123360888,global,unknown,NA,NA
123360939,global,unknown,NA,NA
123361228,global,unknown,NA,NA
123373847,global,unknown,NA,NA
123374956,global,unknown,NA,NA
123374976,global,unknown,NA,NA
123375793,global,unknown,NA,NA
123376283,global,unknown,NA,NA
123424090,global,unknown,NA,NA
123424581,global,unknown,NA,NA
123424845,global,unknown,NA,NA
123424889,global,unknown,NA,NA
123424951,global,unknown,NA,NA
123424986,global,unknown,NA,NA
123425392,global,unknown,NA,NA
123426284,global,unknown,NA,NA
123426960,global,unknown,NA,NA
123426979,global,unknown,NA,NA
123431369,global,unknown,NA,NA
123439530,global,unknown,NA,NA
123439535,global,unknown,NA,NA
123439665,global,unknown,NA,NA
123439691,global,unknown,NA,NA
123439694,global,unknown,NA,NA
123439722,global,unknown,NA,NA
123439745,global,unknown,NA,NA
123439804,global,unknown,NA,NA
123439834,global,unknown,NA,NA
123439842,global,unknown,NA,NA
123439853,global,unknown,NA,NA
123440719,global,unknown,NA,NA
123440780,global,unknown,NA,NA
123441448,global,unknown,NA,NA
123441501,global,unknown,NA,NA
123456077,global,unknown,NA,NA
123479789,global,unknown,NA,NA
123479792,global,unknown,NA,NA
123479810,global,unknown,NA,NA
123480251,global,unknown,NA,NA
123481305,global,unknown,NA,NA
123481338,global,unknown,NA,NA
123481349,global,unknown,NA,NA
123481390,global,unknown,NA,NA
123481988,global,unknown,NA,NA
123482008,global,unknown,NA,NA
123482119,global,unknown,NA,NA
123482149,global,unknown,NA,NA
123482176,global,unknown,NA,NA
123482213,global,unknown,NA,NA
123482239,global,stable,0,regr
123482256,global,unknown,NA,NA
123482273,global,unknown,NA,NA
123482304,global,unknown,NA,NA
123482315,global,unknown,NA,NA
123482318,global,unknown,NA,NA
123482322,global,unknown,NA,NA
123482346,global,unknown,NA,NA
123482355,global,unknown,NA,NA
123482384,global,unknown,NA,NA
123482461,global,unknown,NA,NA
123482474,global,unknown,NA,NA
123482501,global,unknown,NA,NA
123482511,global,unknown,NA,NA
123482517,global,unknown,NA,NA
123482609,global,unknown,NA,NA
123482627,global,unknown,NA,NA
123482676,global,unknown,NA,NA
123484382,global,unknown,NA,NA
123491396,global,unknown,NA,NA
123491533,global,unknown,NA,NA
12382,global,NA,NA,NA
12404,global,NA,NA,NA
12416,global,decreasing,-0.01,lm
12417,global,decreasing,0,lm
12419,global,decreasing,0.0037200000000000002,lm
12421,global,decreasing,0.01119,lm
12427,global,decreasing,0,lm
124357224,global,unknown,NA,NA
124357844,global,stable,0,regr
124357891,global,stable,0,regr
124696811,global,unknown,NA,NA
126707333,global,unknown,NA,NA
12695,global,decreasing,0.0087,lm
127826787,global,unknown,NA,NA
12807,global,NA,NA,NA
12808,global,NA,NA,NA
12809,global,NA,NA,NA
12810,global,NA,NA,NA
128706414,global,unknown,NA,NA
129295407,global,unknown,NA,NA
129295975,global,unknown,NA,NA
129296277,global,unknown,NA,NA
129296993,global,unknown,NA,NA
129297014,global,unknown,NA,NA
129297060,global,unknown,NA,NA
129297075,global,unknown,NA,NA
129297101,global,unknown,NA,NA
129297138,global,unknown,NA,NA
129297200,global,unknown,NA,NA
129297232,global,unknown,NA,NA
129298547,global,unknown,NA,NA
129299170,global,unknown,NA,NA
129299545,global,unknown,NA,NA
129299583,global,unknown,NA,NA
129299900,global,unknown,NA,NA
129300105,global,unknown,NA,NA
129300151,global,unknown,NA,NA
129300299,global,unknown,NA,NA
129300330,global,unknown,NA,NA
129302496,global,unknown,NA,NA
129388312,global,unknown,NA,NA
129388760,global,unknown,NA,NA
129389236,global,unknown,NA,NA
129389241,global,unknown,NA,NA
129389418,global,unknown,NA,NA
129389530,global,unknown,NA,NA
129389577,global,unknown,NA,NA
129390126,global,unknown,NA,NA
129390462,global,unknown,NA,NA
129390595,global,unknown,NA,NA
129391378,global,unknown,NA,NA
129391467,global,unknown,NA,NA
129391553,global,unknown,NA,NA
129394062,global,unknown,NA,NA
129394341,global,unknown,NA,NA
129394449,global,unknown,NA,NA
129394511,global,unknown,NA,NA
129394603,global,unknown,NA,NA
129394677,global,unknown,NA,NA
129511143,global,unknown,NA,NA
129511152,global,unknown,NA,NA
129511170,global,unknown,NA,NA
129511181,global,unknown,NA,NA
129511220,global,unknown,NA,NA
129511227,global,unknown,NA,NA
129511234,global,unknown,NA,NA
129511241,global,unknown,NA,NA
129511248,global,unknown,NA,NA
129511252,global,unknown,NA,NA
129511256,global,unknown,NA,NA
129511300,global,unknown,NA,NA
129511525,global,unknown,NA,NA
129511528,global,unknown,NA,NA
129511555,global,unknown,NA,NA
129511606,global,unknown,NA,NA
129511614,global,unknown,NA,NA
129511745,global,unknown,NA,NA
129511856,global,unknown,NA,NA
129511949,global,unknown,NA,NA
129512036,global,unknown,NA,NA
13006,global,increasing,-0.01915,lm
130263584,global,unknown,NA,NA
130263812,global,unknown,NA,NA
130275086,global,unknown,NA,NA
