iucn_sid,year,cat_ts,cat_ts_score,iucn_version
22698055,1988,LC,0,2019-2
22698055,1994,LC,0,2019-2
22698055,2000,LC,0,2019-2
22698055,2004,LC,0,2019-2
22698055,2008,LC,0,2019-2
22698055,2009,LC,0,2019-2
22698055,2012,LC,0,2019-2
22698055,2016,LC,0,2019-2
22698055,2018,LC,0,2019-2
22698062,1988,EN,0.6,2019-2
22698062,1994,CR,0.8,2019-2
22698062,1996,CR,0.8,2019-2
22698062,2000,CR,0.8,2019-2
22698062,2004,CR,0.8,2019-2
22698062,2005,EN,0.6,2019-2
22698062,2008,EN,0.6,2019-2
22698062,2010,EN,0.6,2019-2
22698062,2012,EN,0.6,2019-2
22698062,2016,EN,0.6,2019-2
22698062,2018,EN,0.6,2019-2
22698080,1988,LC,0,2019-2
22698080,1994,LC,0,2019-2
22698080,2000,LC,0,2019-2
22698080,2004,LC,0,2019-2
22698080,2008,LC,0,2019-2
22698080,2009,LC,0,2019-2
22698080,2012,LC,0,2019-2
22698080,2016,LC,0,2019-2
22698080,2018,LC,0,2019-2
22698084,1988,LC,0,2019-2
22698084,1994,VU,0.4,2019-2
22698084,1996,VU,0.4,2019-2
22698084,2000,VU,0.4,2019-2
22698084,2004,VU,0.4,2019-2
22698084,2006,VU,0.4,2019-2
22698084,2007,VU,0.4,2019-2
22698084,2008,EN,0.6,2019-2
22698084,2010,EN,0.6,2019-2
22698084,2012,EN,0.6,2019-2
22698084,2016,EN,0.6,2019-2
22698084,2018,EN,0.6,2019-2
22698088,1988,EN,0.6,2019-2
22698088,1994,EN,0.6,2019-2
22698088,1996,EN,0.6,2019-2
22698088,2000,EN,0.6,2019-2
22698088,2004,EN,0.6,2019-2
22698088,2006,EN,0.6,2019-2
22698088,2008,EN,0.6,2019-2
22698088,2010,EN,0.6,2019-2
22698088,2012,EN,0.6,2019-2
22698088,2016,EN,0.6,2019-2
22698088,2018,EN,0.6,2019-2
22698092,1994,EN,0.6,2019-2
22698092,1996,EN,0.6,2019-2
22698092,2000,EN,0.6,2019-2
22698092,2004,EN,0.6,2019-2
22698092,2007,EN,0.6,2019-2
22698092,2008,EN,0.6,2019-2
22698092,2010,EN,0.6,2019-2
22698092,2012,EN,0.6,2019-2
22698092,2016,EN,0.6,2019-2
22698092,2018,EN,0.6,2019-2
22698097,1994,CR,0.8,2019-2
22698097,1996,CR,0.8,2019-2
22698097,2000,CR,0.8,2019-2
22698097,2004,CR,0.8,2019-2
22698097,2008,CR,0.8,2019-2
22698097,2009,CR,0.8,2019-2
22698097,2010,CR,0.8,2019-2
22698097,2012,CR,0.8,2019-2
22698097,2013,CR,0.8,2019-2
22698097,2015,CR,0.8,2019-2
22698097,2016,CR,0.8,2019-2
22698097,2018,CR,0.8,2019-2
22698102,1988,LC,0,2019-2
22698102,1994,LC,0,2019-2
22698102,2000,LC,0,2019-2
22698102,2004,LC,0,2019-2
22698102,2008,LC,0,2019-2
22698102,2009,LC,0,2019-2
22698102,2012,LC,0,2019-2
22698102,2016,LC,0,2019-2
22698102,2018,LC,0,2019-2
22698106,1988,LC,0,2019-2
22698106,1994,LC,0,2019-2
22698106,2000,LC,0,2019-2
22698106,2004,LC,0,2019-2
22698106,2008,LC,0,2019-2
22698106,2009,LC,0,2019-2
22698106,2012,LC,0,2019-2
22698106,2016,LC,0,2019-2
22698106,2018,LC,0,2019-2
22698114,1988,LC,0,2019-2
22698114,1994,LC,0,2019-2
22698114,2000,LC,0,2019-2
22698114,2004,LC,0,2019-2
22698114,2008,LC,0,2019-2
22698114,2009,LC,0,2019-2
22698114,2012,LC,0,2019-2
22698114,2016,LC,0,2019-2
22698114,2018,LC,0,2019-2
22698119,1988,LC,0,2019-2
22698119,1994,LC,0,2019-2
22698119,2000,LC,0,2019-2
22698119,2004,LC,0,2019-2
22698119,2008,LC,0,2019-2
22698119,2009,LC,0,2019-2
22698119,2012,LC,0,2019-2
22698119,2016,LC,0,2019-2
22698119,2018,LC,0,2019-2
22698124,1988,LC,0,2019-2
22698124,1994,LC,0,2019-2
22698124,2000,LC,0,2019-2
22698124,2004,LC,0,2019-2
22698124,2008,LC,0,2019-2
22698124,2009,LC,0,2019-2
22698124,2012,LC,0,2019-2
22698124,2016,LC,0,2019-2
22698124,2018,LC,0,2019-2
22698128,1988,LC,0,2019-2
22698128,1994,LC,0,2019-2
22698128,2000,LC,0,2019-2
22698128,2004,LC,0,2019-2
22698128,2008,LC,0,2019-2
22698128,2009,LC,0,2019-2
22698128,2012,LC,0,2019-2
22698128,2016,LC,0,2019-2
22698128,2018,LC,0,2019-2
22698132,1988,LC,0,2019-2
22698132,1994,LC,0,2019-2
22698132,2000,LC,0,2019-2
22698132,2004,LC,0,2019-2
22698132,2008,LC,0,2019-2
22698132,2009,LC,0,2019-2
22698132,2012,LC,0,2019-2
22698132,2016,LC,0,2019-2
22698132,2018,LC,0,2019-2
22698136,1988,NT,0.2,2019-2
22698136,1994,LC,0,2019-2
22698136,2000,NT,0.2,2019-2
22698136,2004,NT,0.2,2019-2
22698136,2008,NT,0.2,2019-2
22698136,2010,NT,0.2,2019-2
22698136,2012,NT,0.2,2019-2
22698136,2015,NT,0.2,2019-2
22698136,2016,NT,0.2,2019-2
22698136,2018,NT,0.2,2019-2
22698140,2000,VU,0.4,2019-2
22698140,2004,VU,0.4,2019-2
22698140,2005,VU,0.4,2019-2
22698140,2008,VU,0.4,2019-2
22698140,2010,VU,0.4,2019-2
22698140,2012,VU,0.4,2019-2
22698140,2015,VU,0.4,2019-2
