cell_id,mean_risk,var_risk,n_spp_threatened,n_spp_risk,mean_trend,n_spp_trend
1632604,0,NA,0,1,-0.00406,1
1632605,0,NA,0,1,-0.00406,1
1632607,0,NA,0,1,-0.00406,1
1632608,0,NA,0,1,-0.00406,1
1632609,0,NA,0,1,-0.00406,1
1635443,0,NA,0,1,-0.00406,1
1635444,0,NA,0,1,-0.00406,1
1635445,0,NA,0,1,-0.00406,1
1635446,0,NA,0,1,-0.00406,1
1635447,0,NA,0,1,-0.00406,1
1635448,0,NA,0,1,-0.00406,1
1635449,0,NA,0,1,-0.00406,1
1638282,0,NA,0,1,-0.00406,1
1638283,0,NA,0,1,-0.00406,1
1638284,0,NA,0,1,-0.00406,1
1638285,0,NA,0,1,-0.00406,1
1638286,0,NA,0,1,-0.00406,1
1638287,0,NA,0,1,-0.00406,1
1638288,0,NA,0,1,-0.00406,1
1641123,0,NA,0,1,-0.00406,1
1641124,0,NA,0,1,-0.00406,1
1641125,0,NA,0,1,-0.00406,1
1641126,0,NA,0,1,-0.00406,1
1641128,0,NA,0,1,-0.00406,1
1641129,0,NA,0,1,-0.00406,1
1641130,0,NA,0,1,-0.00406,1
1643962,0,NA,0,1,-0.00406,1
1643963,0,NA,0,1,-0.00406,1
1643964,0,NA,0,1,-0.00406,1
1643965,0,NA,0,1,-0.00406,1
1643967,0,NA,0,1,-0.00406,1
1643969,0,NA,0,1,-0.00406,1
1643970,0,NA,0,1,-0.00406,1
1646801,0,NA,0,1,-0.00406,1
1646802,0,NA,0,1,-0.00406,1
1646803,0,NA,0,1,-0.00406,1
1646804,0,NA,0,1,-0.00406,1
1646805,0,NA,0,1,-0.00406,1
1646806,0,NA,0,1,-0.00406,1
1646809,0,NA,0,1,-0.00406,1
1649641,0,NA,0,1,-0.00406,1
1649642,0,NA,0,1,-0.00406,1
1649643,0,NA,0,1,-0.00406,1
1649644,0,NA,0,1,-0.00406,1
1649645,0,NA,0,1,-0.00406,1
1649649,0,NA,0,1,-0.00406,1
1652483,0,NA,0,1,-0.00406,1
1652484,0,NA,0,1,-0.00406,1
1652487,0,NA,0,1,-0.00406,1
1652488,0,NA,0,1,-0.00406,1
1655321,0,NA,0,1,-0.00406,1
1655322,0,NA,0,1,-0.00406,1
1655323,0,NA,0,1,-0.00406,1
1655324,0,NA,0,1,-0.00406,1
1655325,0,NA,0,1,-0.00406,1
1658160,0,NA,0,1,-0.00406,1
1658161,0,NA,0,1,-0.00406,1
1658162,0,NA,0,1,-0.00406,1
1658163,0,NA,0,1,-0.00406,1
1658164,0,NA,0,1,-0.00406,1
1669522,0,NA,0,1,-0.00406,1
1669523,0,NA,0,1,-0.00406,1
1669524,0,NA,0,1,-0.00406,1
1672361,0,NA,0,1,-0.00406,1
1672362,0,NA,0,1,-0.00406,1
1672363,0,NA,0,1,-0.00406,1
1672364,0,NA,0,1,-0.00406,1
1672365,0,NA,0,1,-0.00406,1
1675200,0,NA,0,1,-0.00406,1
1675201,0,NA,0,1,-0.00406,1
1675203,0,NA,0,1,-0.00406,1
1675204,0,NA,0,1,-0.00406,1
1678040,0,NA,0,1,-0.00406,1
1678043,0,NA,0,1,-0.00406,1
1678044,0,NA,0,1,-0.00406,1
1680878,0,NA,0,1,-0.00406,1
1680879,0,NA,0,1,-0.00406,1
1680883,0,NA,0,1,-0.00406,1
1680884,0,NA,0,1,-0.00406,1
1683717,0,NA,0,1,-0.00406,1
1683718,0,NA,0,1,-0.00406,1
1683723,0,NA,0,1,-0.00406,1
1686555,0,NA,0,1,-0.00406,1
1686556,0,NA,0,1,-0.00406,1
1686563,0,NA,0,1,-0.00406,1
1689394,0,NA,0,1,-0.00406,1
1689395,0,NA,0,1,-0.00406,1
1689402,0,NA,0,1,-0.00406,1
1689403,0,NA,0,1,-0.00406,1
1692233,0,NA,0,1,-0.00406,1
1692241,0,NA,0,1,-0.00406,1
1692242,0,NA,0,1,-0.00406,1
1695072,0,NA,0,1,-0.00406,1
1695073,0,NA,0,1,-0.00406,1
1695081,0,NA,0,1,-0.00406,1
1697912,0,NA,0,1,-0.00406,1
1697920,0,NA,0,1,-0.00406,1
1697921,0,NA,0,1,-0.00406,1
1700751,0,NA,0,1,-0.00406,1
1700760,0,NA,0,1,-0.00406,1
1703590,0,NA,0,1,-0.00406,1
1703599,0,NA,0,1,-0.00406,1
1706429,0,NA,0,1,-0.00406,1
1706430,0,NA,0,1,-0.00406,1
1706437,0,NA,0,1,-0.00406,1
1706438,0,NA,0,1,-0.00406,1
1709268,0,NA,0,1,-0.00406,1
1709269,0,NA,0,1,-0.00406,1
1709275,0,NA,0,1,-0.00406,1
1709276,0,NA,0,1,-0.00406,1
1709277,0,NA,0,1,-0.00406,1
1712108,0,NA,0,1,-0.00406,1
1712112,0,NA,0,1,-0.00406,1
1712113,0,NA,0,1,-0.00406,1
1712114,0,NA,0,1,-0.00406,1
1714946,0,NA,0,1,-0.00406,1
1714950,0,NA,0,1,-0.00406,1
1714951,0,NA,0,1,-0.00406,1
1717785,0,NA,0,1,-0.00406,1
1717788,0,NA,0,1,-0.00406,1
1717789,0,NA,0,1,-0.00406,1
1717790,0,NA,0,1,-0.00406,1
1720624,0,NA,0,1,-0.00406,1
1720625,0,NA,0,1,-0.00406,1
1720627,0,NA,0,1,-0.00406,1
1723465,0,NA,0,1,-0.00406,1
1723466,0,NA,0,1,-0.00406,1
