kingdom,phylum,class,order,family,spp_gp,species,subpops
Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Passeriformes,Parulidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Passeriformes,Passerellidae,bli_marine_v2017,3,0
Animalia,Chordata,Aves,Passeriformes,Passeridae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Passeriformes,Ploceidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Passeriformes,Sturnidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Passeriformes,Sylviidae,bli_marine_v2017,3,0
Animalia,Chordata,Aves,Passeriformes,Troglodytidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Passeriformes,Tyrannidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,bli_marine_v2017,32,0
Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,bli_marine_v2017,7,0
Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,bli_marine_v2017,7,0
Animalia,Chordata,Aves,Phaethontiformes,Phaethontidae,bli_marine_v2017,3,0
Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,bli_marine_v2017,3,0
Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,bli_marine_v2017,8,0
Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,bli_marine_v2017,22,0
Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,bli_marine_v2017,15,0
Animalia,Chordata,Aves,Procellariiformes,Oceanitidae,bli_marine_v2017,9,0
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,bli_marine_v2017,96,0
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,bli_marine_v2017,18,0
Animalia,Chordata,Aves,Strigiformes,Strigidae,bli_marine_v2017,2,0
Animalia,Chordata,Aves,Suliformes,Anhingidae,bli_marine_v2017,3,0
Animalia,Chordata,Aves,Suliformes,Fregatidae,bli_marine_v2017,5,0
Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,bli_marine_v2017,33,0
Animalia,Chordata,Aves,Suliformes,Sulidae,bli_marine_v2017,10,0
Animalia,Chordata,Mammalia,Carnivora,Mustelidae,terrestrial_mammals,9,0
Animalia,Chordata,Mammalia,Carnivora,Odobenidae,marine_mammals,1,0
Animalia,Chordata,Mammalia,Carnivora,Otariidae,marine_mammals,15,1
Animalia,Chordata,Mammalia,Carnivora,Phocidae,marine_mammals,16,1
Animalia,Chordata,Mammalia,Carnivora,Ursidae,terrestrial_mammals,1,0
Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenidae,marine_mammals,4,3
Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,marine_mammals,8,1
Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,marine_mammals,37,5
Animalia,Chordata,Mammalia,Cetartiodactyla,Eschrichtiidae,marine_mammals,1,2
Animalia,Chordata,Mammalia,Cetartiodactyla,Monodontidae,marine_mammals,2,1
Animalia,Chordata,Mammalia,Cetartiodactyla,Neobalaenidae,marine_mammals,1,0
Animalia,Chordata,Mammalia,Cetartiodactyla,Phocoenidae,marine_mammals,7,1
Animalia,Chordata,Mammalia,Cetartiodactyla,Physeteridae,marine_mammals,3,0
Animalia,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,marine_mammals,21,0
Animalia,Chordata,Mammalia,Sirenia,Dugongidae,marine_mammals,1,0
Animalia,Chordata,Mammalia,Sirenia,Trichechidae,marine_mammals,2,0
Animalia,Chordata,Myxini,Myxiniformes,Myxinidae,hagfish,75,0
Animalia,Chordata,Reptilia,Crocodylia,Crocodylidae,crocodiles,2,0
Animalia,Chordata,Reptilia,Squamata,Acrochordidae,reptiles,2,0
Animalia,Chordata,Reptilia,Squamata,Elapidae,reptiles,5,0
Animalia,Chordata,Reptilia,Squamata,Elapidae,seasnakes,57,0
Animalia,Chordata,Reptilia,Squamata,Homalopsidae,reptiles,9,0
Animalia,Chordata,Reptilia,Testudines,Cheloniidae,reptiles,5,11
Animalia,Chordata,Reptilia,Testudines,Dermochelyidae,reptiles,1,7
Animalia,Cnidaria,Anthozoa,Helioporacea,Helioporidae,corals,1,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,corals,270,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Agariciidae,corals,45,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Astrocoeniidae,corals,15,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,corals,4,0
