iucn_sid,iucn_rgn,years,cat_ts,scores,pop_trend_desc,calc_trend
11130,global,"1996, 2010","VU, VU","0.4, 0.4",decreasing,0
11140,global,"2008, 2012","LC, LC","0, 0",unknown,0
11141,global,"1996, 2008","LC, LC","0, 0",unknown,0
11142,global,"1996, 2008, 2012","LC, LC, LC","0, 0, 0",unknown,0
11144,global,"1996, 2008","LC, LC","0, 0",unknown,0
11145,global,"1996, 2008, 2012","LC, LC, LC","0, 0, 0",unknown,0
11200,global,"1996, 2000, 2006","VU, NT, VU","0.4, 0.2, 0.4",decreasing,0.00263
11206,global,"1996, 2008","NT, LC","0.2, 0",unknown,-0.01667
11375,global,"1994, 1996, 2000","VU, EN, CR","0.4, 0.6, 0.8",unknown,0.06429
11534,global,"1994, 1996, 2008","EN, EN, VU","0.6, 0.6, 0.4",decreasing,-0.01512
11696,global,"1996, 2008, 2015","LC, LC, LC","0, 0, 0",unknown,0
11987,global,"1996, 2016","NT, VU","0.2, 0.4",decreasing,0.01
12125,global,"1996, 2008, 2012","LC, LC, LC","0, 0, 0",unknown,0
12137,global,"1996, 2014","VU, EN","0.4, 0.6",decreasing,0.01111
12246,global,"1996, 2008, 2015","LC, LC, LC","0, 0, 0",unknown,0
12416,global,"1996, 2016","VU, NT","0.4, 0.2",decreasing,-0.01
12417,global,"1996, 2016","VU, VU","0.4, 0.4",decreasing,0
12419,global,"1996, 2000, 2004, 2008, 2015","LC, VU, NT, NT, NT","0, 0.4, 0.2, 0.2, 0.2",decreasing,0.0037200000000000002
13006,global,"1994, 1996, 2008","VU, VU, LC","0.4, 0.4, 0",increasing,-0.03023
13232,mediterranean,"2008, 2011","LC, LC","0, 0",unknown,0
13581,global,"1996, 2008, 2015","LC, LC, LC","0, 0, 0",increasing,0
13583,global,"1996, 2008, 2015","LC, LC, LC","0, 0, 0",stable,0
13653,global,"1994, 1996, 2008, 2013, 2015","EN, CR, CR, CR, EN","0.6, 0.8, 0.8, 0.8, 0.6",increasing,7.5e-4
13654,global,"1994, 1996, 2008, 2015","EN, EN, CR, EN","0.6, 0.6, 0.8, 0.6",decreasing,0.00318
13704,global,"2008, 2012, 2017","NT, NT, LC","0.2, 0.2, 0",unknown,-0.02295
14049,global,"1996, 2007, 2008","VU, EN, EN","0.4, 0.6, 0.6",decreasing,0.01729
14050,global,"1996, 2008","VU, LC","0.4, 0",decreasing,-0.03333
14051,global,"1996, 2007, 2008, 2015","VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4",unknown,0
14052,global,"1996, 2008","VU, NT","0.4, 0.2",decreasing,-0.01667
14053,global,"1996, 2007, 2008","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
14214,global,"1994, 1996, 2008, 2013","VU, LC, LC, LC","0.4, 0, 0, 0",stable,-0.01374
14264,global,"1994, 1996","EN, LC","0.6, 0",decreasing,-0.3
14549,global,"1994, 1996, 2008, 2015","EN, LC, EN, EN","0.6, 0, 0.6, 0.6",decreasing,0.01456
15106,global,"1996, 2016","LC, VU","0, 0.4",unknown,0.02
15239,global,"1996, 2010","NT, LC","0.2, 0",unknown,-0.01429
15269,global,"1996, 2008, 2015","LC, LC, LC","0, 0, 0",unknown,0
15419,global,"2008, 2017","VU, EN","0.4, 0.6",decreasing,0.02222
15873,global,"1996, 2014","EN, LC","0.6, 0",unknown,-0.03333
16012,global,"1996, 2017","NT, LC","0.2, 0",unknown,-0.00952
16564,global,"1996, 2008","LC, LC","0, 0",unknown,0
16781,global,"1996, 2008, 2013","LC, LC, LC","0, 0, 0",stable,0
17013,global,"1996, 2008, 2016","LC, LC, LC","0, 0, 0",unknown,0
17023,global,"1996, 2016","LC, LC","0, 0",unknown,0
17026,global,"1994, 1996, 2008, 2015","VU, VU, VU, EN","0.4, 0.4, 0.4, 0.6",decreasing,0.00787
