shp_iucn_sid,iucn_sid,sciname,presence,subpop,dbf_file,max_depth,comp_assessed
165861,165861,Holacanthus clarionensis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165862,165862,Pomacanthus imperator,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165863,165863,Chaetodontoplus dimidiatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165864,165864,Genicanthus bellus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165865,165865,Centropyge aurantonotus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165823,165823,Centropyge nahackyi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165824,165824,Centropyge boylei,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165825,165825,Holacanthus africanus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165826,165826,Chaetodontoplus chrysocephalus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165869,165869,Apolemichthys guezei,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165870,165870,Chaetodontoplus conspicillatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165871,165871,Centropyge bispinosa,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165872,165872,Genicanthus watanabei,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165873,165873,Pomacanthus annularis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165874,165874,Genicanthus personatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165875,165875,Centropyge shepardi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165876,165876,Centropyge multispinis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165827,165827,Genicanthus takeuchii,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165828,165828,Centropyge fisheri,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165829,165829,Pomacanthus xanthometopon,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
