iucn_sid,habs,max_depth
13581,"10.1, 10.2, 10.3, 12.1, 13.1, 9.1",200 m +
13583,"10.1, 10.2, 10.3, 12.1, 12.2, 12.3, 13.1, 9.1",200 m +
13653,"10.1, 12.1, 12.2, 13.1, 9.1",200 m +
13654,"10.1, 10.2, 12.1, 12.2, 13.1, 9.1",200 m +
13655,"10.1, 12.1, 12.2, 12.3, 13.1, 9.1",200 m +
13704,"10.1, 10.2, 10.3, 9.1",200 m +
13852,"NA",unknown
13932,"NA",unknown
13933,"NA",unknown
13934,"NA",unknown
14048,"9.4, 9.9",< 200 m
14049,"9.2, 9.7",< 200 m
14050,"12.7, 9.1, 9.2, 9.3, 9.4, 9.5, 9.9",< 200 m
14051,"12.7, 9.2, 9.9",< 200 m
14052,9.2,< 200 m
14053,"9.2, 9.3",< 200 m
14054,"9.2, 9.4",< 200 m
14214,9.1,< 200 m
14264,9.1,< 200 m
14363,"NA",unknown
14500,"NA",unknown
14549,"10.1, 10.2, 12.1, 13.1, 9.1",200 m +
14561,"NA",unknown
14562,"NA",unknown
14831,"NA",unknown
15106,"10.1, 10.2, 12.1, 12.2, 13.1, 17, 9.1, 9.4, 9.5, 9.6",200 m +
15108,"10.1, 10.2, 12.2, 13.1, 17, 9.4, 9.5, 9.6",200 m +
15184,9.2,< 200 m
15239,9.1,< 200 m
15269,"10.1, 10.2, 13.1, 17, 9.1",200 m +
15270,"NA",unknown
15271,"NA",unknown
15273,"NA",unknown
15274,"NA",unknown
15275,"NA",unknown
15276,"NA",unknown
15278,"NA",unknown
15279,"NA",unknown
15280,"NA",unknown
15281,"NA",unknown
15283,"NA",unknown
15284,"NA",unknown
15285,"NA",unknown
15286,"NA",unknown
15287,"NA",unknown
15288,"NA",unknown
15289,"NA",unknown
15290,"NA",unknown
15291,"NA",unknown
15292,"NA",unknown
15293,"NA",unknown
15295,"NA",unknown
15296,"NA",unknown
15297,"NA",unknown
15298,"NA",unknown
15419,"9.1, 9.1",< 200 m
15421,"10.1, 10.2, 9.1, 9.1",200 m +
15873,"9.2, 9.3, 9.4, 9.9",< 200 m
15939,9.1,< 200 m
16011,"NA",unknown
16012,9.1,< 200 m
16083,"NA",unknown
16084,"NA",unknown
16185,"NA",unknown
16238,9.10,< 200 m
16474,"10.1, 9.1, 9.4, 9.9",200 m +
16475,"10.1, 9.1, 9.3, 9.4, 9.5, 9.6, 9.9",200 m +
16476,"9.4, 9.5, 9.9",< 200 m
16477,"NA",unknown
16478,"NA",unknown
16564,"10.1, 10.2, 10.3",200 m +
16781,"9.1, 9.10",< 200 m
16869,17,unknown
17013,"10.1, 10.2, 12.1, 12.2, 12.3, 12.4, 12.5, 13.1, 17, 9.1, 9.10",200 m +
17014,"10.1, 10.2, 12.1, 12.2, 12.3, 12.4, 13.1, 9.1",200 m +
17020,"10.1, 12.1, 12.2, 12.3, 13.1, 9.1",200 m +
17021,"10.1, 12.1, 12.2, 12.3, 13.1, 9.1, 9.10",200 m +
17022,"10.1, 10.2, 12.1, 12.2, 12.3, 12.4, 13.1, 9.1, 9.10",200 m +
17023,"10.1, 12.1, 13.1, 9.1",200 m +
17026,"10.1, 10.2, 12.1, 12.2, 12.3, 13.1, 9.1",200 m +
