loiczid,n_spp,mean_risk,var_risk,log_mean_risk
11983,1,0,NA,NA
11984,3,0,0,NA
11985,1,0,NA,NA
11986,2,0,0,NA
11987,4,0,0,NA
11988,3,0,0,NA
11989,2,0,0,NA
11990,5,0,0,NA
11991,4,0,0,NA
11992,3,0,0,NA
11993,1,0,NA,NA
11994,3,0,0,NA
11995,4,0,0,NA
11996,1,0,NA,NA
11997,1,0,NA,NA
11998,2,0,0,NA
11999,1,0,NA,NA
12000,3,0,0,NA
12001,3,0,0,NA
12002,1,0,NA,NA
12003,1,0,NA,NA
12004,1,0,NA,NA
12005,1,0,NA,NA
12006,1,0,NA,NA
12007,1,0,NA,NA
12008,1,0,NA,NA
12009,1,0,NA,NA
12010,1,0,NA,NA
12032,1,0,NA,NA
12033,1,0,NA,NA
12034,1,0,NA,NA
12035,1,0,NA,NA
12036,1,0,NA,NA
12037,1,0,NA,NA
12038,1,0,NA,NA
12039,1,0,NA,NA
12040,1,0,NA,NA
12057,1,0,NA,NA
12058,1,0,NA,NA
12059,1,0,NA,NA
12060,1,0,NA,NA
12061,1,0,NA,NA
12062,1,0,NA,NA
12063,1,0,NA,NA
12064,1,0,NA,NA
12065,1,0,NA,NA
12066,1,0,NA,NA
12067,1,0,NA,NA
12068,1,0,NA,NA
12069,1,0,NA,NA
12070,1,0,NA,NA
12406,1,0,NA,NA
12407,1,0,NA,NA
12408,1,0,NA,NA
12409,1,0,NA,NA
12410,1,0,NA,NA
12411,1,0,NA,NA
12412,1,0,NA,NA
12413,1,0,NA,NA
12414,1,0,NA,NA
12415,1,0,NA,NA
12416,1,0,NA,NA
12417,1,0,NA,NA
12418,1,0,NA,NA
12419,1,0,NA,NA
12420,1,0,NA,NA
12421,1,0,NA,NA
12422,1,0,NA,NA
12423,1,0,NA,NA
12424,1,0,NA,NA
12425,1,0,NA,NA
12426,1,0,NA,NA
12427,1,0,NA,NA
12428,1,0,NA,NA
12429,1,0,NA,NA
12430,1,0,NA,NA
12431,1,0,NA,NA
12432,1,0,NA,NA
12442,1,0,NA,NA
12443,1,0,NA,NA
12444,1,0,NA,NA
12462,2,0,0,NA
12463,2,0,0,NA
12464,2,0,0,NA
12465,2,0,0,NA
12466,2,0,0,NA
12467,2,0,0,NA
12468,2,0,0,NA
12469,2,0,0,NA
12470,2,0,0,NA
12471,1,0,NA,NA
12472,2,0,0,NA
12473,2,0,0,NA
12474,2,0,0,NA
12475,2,0,0,NA
12476,1,0,NA,NA
12477,1,0,NA,NA
12478,1,0,NA,NA
12555,1,0,NA,NA
12556,1,0,NA,NA
12557,1,0,NA,NA
12558,1,0,NA,NA
12559,1,0,NA,NA
12574,6,0,0,NA
12575,8,0,0,NA
12576,6,0,0,NA
12577,4,0,0,NA
12578,3,0,0,NA
12579,5,0,0,NA
12580,6,0,0,NA
12581,4,0,0,NA
12582,6,0,0,NA
12583,2,0,0,NA
12584,3,0,0,NA
12585,1,0,NA,NA
12586,1,0,NA,NA
12587,1,0,NA,NA
12588,1,0,NA,NA
12589,1,0,NA,NA
12600,1,0,NA,NA
12601,1,0,NA,NA
12602,1,0,NA,NA
12603,1,0,NA,NA
12604,1,0,NA,NA
12605,1,0,NA,NA
12606,1,0,NA,NA
12607,1,0,NA,NA
12608,1,0,NA,NA
12609,1,0,NA,NA
12610,1,0,NA,NA
12611,1,0,NA,NA
12612,1,0,NA,NA
12613,1,0,NA,NA
12614,1,0,NA,NA
12615,1,0,NA,NA
12616,1,0,NA,NA
12617,3,0,0,NA
12618,1,0,NA,NA
12619,3,0,0,NA
12620,1,0,NA,NA
12621,3,0,0,NA
12622,2,0,0,NA
12623,1,0,NA,NA
12624,2,0,0,NA
12625,2,0,0,NA
12626,1,0,NA,NA
12634,2,0,0,NA
12635,2,0,0,NA
12636,3,0,0,NA
12637,4,0,0,NA
12638,4,0,0,NA
12639,5,0,0,NA
12640,3,0,0,NA
12641,3,0,0,NA
12642,3,0,0,NA
12643,3,0,0,NA
12644,3,0,0,NA
12645,3,0,0,NA
12646,3,0,0,NA
12647,4,0,0,NA
12648,3,0,0,NA
12649,3,0,0,NA
12650,3,0,0,NA
12651,3,0,0,NA
12652,2,0,0,NA
12653,2,0,0,NA
12654,1,0,NA,NA
12655,2,0,0,NA
12656,2,0,0,NA
12657,2,0,0,NA
12658,2,0,0,NA
12659,1,0,NA,NA
12660,1,0,NA,NA
12661,1,0,NA,NA
12662,2,0,0,NA
12663,3,0,0,NA
12664,2,0,0,NA
12665,2,0,0,NA
12666,3,0,0,NA
12667,1,0,NA,NA
12668,2,0,0,NA
12669,2,0,0,NA
12671,2,0,0,NA
12672,2,0,0,NA
12673,1,0,NA,NA
12674,1,0,NA,NA
12675,1,0,NA,NA
12676,1,0,NA,NA
12677,1,0,NA,NA
12678,1,0,NA,NA
12679,1,0,NA,NA
12680,1,0,NA,NA
12681,1,0,NA,NA
12682,1,0,NA,NA
12683,1,0,NA,NA
12684,1,0,NA,NA
12685,1,0,NA,NA
12686,1,0,NA,NA
12687,3,0,0,NA
12688,1,0,NA,NA
12690,4,0,0,NA
12691,5,0,0,NA
12692,2,0,0,NA
12693,2,0,0,NA
12694,4,0,0,NA
12695,4,0,0,NA
12696,5,0,0,NA
12697,5,0,0,NA
12698,4,0,0,NA
12699,4,0,0,NA
12700,4,0,0,NA
12701,5,0,0,NA
12702,3,0,0,NA
12703,3,0,0,NA
12704,2,0,0,NA
12705,4,0,0,NA
12706,5,0,0,NA
12707,5,0,0,NA
12708,4,0,0,NA
12709,5,0,0,NA
12710,5,0,0,NA
12711,4,0,0,NA
12712,3,0,0,NA
12713,3,0,0,NA
12714,3,0,0,NA
12715,4,0,0,NA
12716,4,0,0,NA
12717,4,0,0,NA
12718,4,0,0,NA
12719,3,0,0,NA
12720,3,0,0,NA
12721,3,0,0,NA
12722,1,0,NA,NA
12723,1,0,NA,NA
12724,1,0,NA,NA
12725,1,0,NA,NA
12726,1,0,NA,NA
12727,1,0,NA,NA
12728,1,0,NA,NA
12729,1,0,NA,NA
12730,1,0,NA,NA
12731,1,0,NA,NA
12732,1,0,NA,NA
12749,2,0,0,NA
12750,1,0,NA,NA
12751,2,0,0,NA
12752,2,0,0,NA
12753,2,0,0,NA
12754,1,0,NA,NA
12755,2,0,0,NA
12756,1,0,NA,NA
12757,1,0,NA,NA
12758,1,0,NA,NA
12759,1,0,NA,NA
12760,1,0,NA,NA
12761,1,0,NA,NA
12762,1,0,NA,NA
12763,1,0,NA,NA
12777,1,0,NA,NA
12778,1,0,NA,NA
12779,2,0,0,NA
12780,1,0,NA,NA
12781,1,0,NA,NA
