loiczid,lat
178582,-34.25
178581,-34.25
179302,-34.75
178585,-34.25
179306,-34.75
179305,-34.75
178584,-34.25
178583,-34.25
179301,-34.75
129241,0.25
129242,0.25
128521,0.75
128522,0.75
129243,0.25
219610,-62.75
219609,-62.75
218888,-62.25
218887,-62.25
258027,-89.25
258748,-89.75
258747,-89.75
258026,-89.25
258025,-89.25
126367,2.25
126368,2.25
128523,0.75
128524,0.75
129245,0.25
125641,2.75
125642,2.75
126363,2.25
126364,2.25
125643,2.75
125644,2.75
177866,-33.75
177865,-33.75
177144,-33.25
177143,-33.25
177864,-33.75
177863,-33.75
177142,-33.25
177141,-33.25
177862,-33.75
177861,-33.75
178590,-34.25
178589,-34.25
179310,-34.75
189658,-41.75
189657,-41.75
188936,-41.25
188935,-41.25
179309,-34.75
178588,-34.25
178587,-34.25
179308,-34.75
179307,-34.75
178586,-34.25
179304,-34.75
219608,-62.75
219607,-62.75
255146,-87.25
255145,-87.25
255866,-87.75
255865,-87.75
255144,-87.25
255143,-87.25
255864,-87.75
255863,-87.75
255142,-87.25
255141,-87.25
255862,-87.75
255861,-87.75
129244,0.25
126365,2.25
126366,2.25
125645,2.75
125646,2.75
129246,0.25
128525,0.75
128526,0.75
129247,0.25
129248,0.25
128527,0.75
128528,0.75
129249,0.25
129250,0.25
128529,0.75
128530,0.75
127801,1.25
127802,1.25
127081,1.75
127082,1.75
127803,1.25
127804,1.25
127083,1.75
127084,1.75
127805,1.25
127806,1.25
127085,1.75
127086,1.75
127807,1.25
127808,1.25
127087,1.75
127088,1.75
127809,1.25
127810,1.25
127089,1.75
127090,1.75
126361,2.25
126362,2.25
125647,2.75
125648,2.75
126369,2.25
126370,2.25
125649,2.75
125650,2.75
124921,3.25
124922,3.25
124201,3.75
124202,3.75
124923,3.25
124924,3.25
124203,3.75
124204,3.75
124925,3.25
124926,3.25
124205,3.75
124206,3.75
124927,3.25
124928,3.25
124207,3.75
124208,3.75
124929,3.25
124930,3.25
124209,3.75
124210,3.75
123481,4.25
123482,4.25
122761,4.75
122762,4.75
123483,4.25
123484,4.25
122763,4.75
122764,4.75
123485,4.25
123486,4.25
122765,4.75
122766,4.75
123487,4.25
123488,4.25
122767,4.75
122768,4.75
123489,4.25
123490,4.25
122769,4.75
122770,4.75
129251,0.25
129252,0.25
128531,0.75
128532,0.75
129253,0.25
129254,0.25
128533,0.75
128534,0.75
129255,0.25
129256,0.25
128535,0.75
128536,0.75
129257,0.25
129258,0.25
128537,0.75
128538,0.75
129259,0.25
129260,0.25
128539,0.75
128540,0.75
127811,1.25
127812,1.25
127091,1.75
127092,1.75
127813,1.25
127814,1.25
127093,1.75
127094,1.75
127815,1.25
127816,1.25
127095,1.75
127096,1.75
127817,1.25
127818,1.25
127097,1.75
127098,1.75
127819,1.25
127820,1.25
127099,1.75
127100,1.75
126371,2.25
126372,2.25
125651,2.75
125652,2.75
126373,2.25
126374,2.25
125653,2.75
125654,2.75
126375,2.25
126376,2.25
125655,2.75
125656,2.75
126377,2.25
126378,2.25
125657,2.75
125658,2.75
126379,2.25
126380,2.25
125659,2.75
125660,2.75
124931,3.25
124932,3.25
124211,3.75
124212,3.75
124933,3.25
124934,3.25
124213,3.75
124214,3.75
124935,3.25
124936,3.25
124215,3.75
124216,3.75
124937,3.25
124938,3.25
124217,3.75
124218,3.75
124939,3.25
124940,3.25
124219,3.75
124220,3.75
123491,4.25
123492,4.25
122771,4.75
122772,4.75
123493,4.25
123494,4.25
122773,4.75
122774,4.75
123495,4.25
123496,4.25
122775,4.75
122776,4.75
123497,4.25
123498,4.25
122777,4.75
122778,4.75
123499,4.25
123500,4.25
122779,4.75
122780,4.75
122041,5.25
122042,5.25
121321,5.75
121322,5.75
122043,5.25
122044,5.25
121323,5.75
121324,5.75
122045,5.25
122046,5.25
121325,5.75
121326,5.75
122047,5.25
122048,5.25
121327,5.75
121328,5.75
122049,5.25
122050,5.25
121329,5.75
121330,5.75
120601,6.25
120602,6.25
119881,6.75
119882,6.75
120603,6.25
120604,6.25
119883,6.75
119884,6.75
120605,6.25
120606,6.25
119885,6.75
119886,6.75
120607,6.25
120608,6.25
119887,6.75
119888,6.75
120609,6.25
117722,8.25
117001,8.75
117002,8.75
117723,8.25
117724,8.25
117003,8.75
117004,8.75
117725,8.25
117726,8.25
117005,8.75
117006,8.75
117727,8.25
117728,8.25
117007,8.75
117008,8.75
117729,8.25
117730,8.25
117009,8.75
117010,8.75
116281,9.25
116282,9.25
115561,9.75
115562,9.75
116283,9.25
116284,9.25
115563,9.75
115564,9.75
116285,9.25
120610,6.25
119889,6.75
119890,6.75
119161,7.25
119162,7.25
118441,7.75
118442,7.75
119163,7.25
119164,7.25
118443,7.75
118444,7.75
119165,7.25
119166,7.25
118445,7.75
118446,7.75
119167,7.25
119168,7.25
118447,7.75
118448,7.75
119169,7.25
119170,7.25
118449,7.75
118450,7.75
117721,8.25
116286,9.25
115565,9.75
115566,9.75
116287,9.25
116288,9.25
115567,9.75
115568,9.75
116289,9.25
116290,9.25
115569,9.75
115570,9.75
122051,5.25
122052,5.25
121331,5.75
121332,5.75
122053,5.25
122054,5.25
121333,5.75
121334,5.75
122055,5.25
122056,5.25
121335,5.75
121336,5.75
122057,5.25
122058,5.25
121337,5.75
121338,5.75
122059,5.25
122060,5.25
121339,5.75
121340,5.75
120611,6.25
120612,6.25
119891,6.75
119892,6.75
120613,6.25
120614,6.25
119893,6.75
119894,6.75
120615,6.25
120616,6.25
119895,6.75
119896,6.75
120617,6.25
120618,6.25
119897,6.75
119898,6.75
120619,6.25
120620,6.25
119899,6.75
119900,6.75
119171,7.25
119172,7.25
118451,7.75
118452,7.75
119173,7.25
119174,7.25
118453,7.75
118454,7.75
119175,7.25
119176,7.25
118455,7.75
118456,7.75
119177,7.25
119178,7.25
118457,7.75
118458,7.75
119179,7.25
119180,7.25
118459,7.75
118460,7.75
117731,8.25
117732,8.25
117011,8.75
117012,8.75
117733,8.25
117734,8.25
117013,8.75
117014,8.75
117735,8.25
117736,8.25
117015,8.75
117016,8.75
117737,8.25
117738,8.25
117017,8.75
117018,8.75
117739,8.25
117740,8.25
117019,8.75
117020,8.75
116291,9.25
116292,9.25
115571,9.75
115572,9.75
116293,9.25
116294,9.25
115573,9.75
115574,9.75
116295,9.25
116296,9.25
115575,9.75
115576,9.75
116297,9.25
116298,9.25
115577,9.75
115578,9.75
116299,9.25
116300,9.25
115579,9.75
115580,9.75
129261,0.25
129262,0.25
128541,0.75
128542,0.75
129263,0.25
129264,0.25
128543,0.75
128544,0.75
129265,0.25
129266,0.25
128545,0.75
128546,0.75
129267,0.25
129268,0.25
128547,0.75
128548,0.75
129269,0.25
129270,0.25
128549,0.75
128550,0.75
127821,1.25
127822,1.25
127101,1.75
127102,1.75
127823,1.25
127824,1.25
127103,1.75
127104,1.75
127825,1.25
127826,1.25
127105,1.75
127106,1.75
127827,1.25
127828,1.25
127107,1.75
127108,1.75
127829,1.25
127830,1.25
127109,1.75
127110,1.75
126381,2.25
126382,2.25
125661,2.75
125662,2.75
126383,2.25
126384,2.25
125663,2.75
125664,2.75
126385,2.25
126386,2.25
125665,2.75
125666,2.75
126387,2.25
126388,2.25
125667,2.75
125668,2.75
126389,2.25
126390,2.25
125669,2.75
125670,2.75
124941,3.25
124942,3.25
124221,3.75
124222,3.75
124943,3.25
124944,3.25
124223,3.75
124224,3.75
124945,3.25
124946,3.25
124225,3.75
124226,3.75
124947,3.25
124948,3.25
124227,3.75
124228,3.75
124949,3.25
124950,3.25
124229,3.75
124230,3.75
123501,4.25
123502,4.25
122781,4.75
122782,4.75
123503,4.25
123504,4.25
122783,4.75
122784,4.75
123505,4.25
123506,4.25
122785,4.75
122786,4.75
123507,4.25
123508,4.25
122787,4.75
122788,4.75
123509,4.25
123510,4.25
122789,4.75
122790,4.75
129271,0.25
129272,0.25
128551,0.75
128552,0.75
129273,0.25
129274,0.25
128553,0.75
128554,0.75
129275,0.25
129276,0.25
128555,0.75
128556,0.75
129277,0.25
129278,0.25
128557,0.75
128558,0.75
129279,0.25
129280,0.25
128559,0.75
128560,0.75
127831,1.25
127832,1.25
127111,1.75
127112,1.75
127833,1.25
127834,1.25
127113,1.75
127114,1.75
127835,1.25
127836,1.25
127115,1.75
127116,1.75
127837,1.25
127838,1.25
127117,1.75
127118,1.75
127839,1.25
127840,1.25
127119,1.75
127120,1.75
126391,2.25
126392,2.25
125671,2.75
125672,2.75
126393,2.25
126394,2.25
125673,2.75
125674,2.75
126395,2.25
126396,2.25
125675,2.75
125676,2.75
126397,2.25
126398,2.25
125677,2.75
125678,2.75
126399,2.25
126400,2.25
125679,2.75
125680,2.75
124951,3.25
124952,3.25
124231,3.75
124232,3.75
124953,3.25
124954,3.25
124233,3.75
124234,3.75
124955,3.25
124956,3.25
124235,3.75
124236,3.75
124957,3.25
124958,3.25
124237,3.75
124238,3.75
124959,3.25
124960,3.25
124239,3.75
124240,3.75
123511,4.25
123512,4.25
122791,4.75
122792,4.75
123513,4.25
123514,4.25
122793,4.75
122794,4.75
123515,4.25
123516,4.25
122795,4.75
122796,4.75
123517,4.25
123518,4.25
122797,4.75
122798,4.75
123519,4.25
123520,4.25
122799,4.75
122800,4.75
122061,5.25
122062,5.25
121341,5.75
121342,5.75
122063,5.25
122064,5.25
121343,5.75
121344,5.75
122065,5.25
122066,5.25
121345,5.75
121346,5.75
122067,5.25
122068,5.25
121347,5.75
121348,5.75
122069,5.25
122070,5.25
121349,5.75
121350,5.75
120621,6.25
120622,6.25
119901,6.75
119902,6.75
120623,6.25
120624,6.25
119903,6.75
119904,6.75
120625,6.25
120626,6.25
119905,6.75
119906,6.75
120627,6.25
120628,6.25
119907,6.75
119908,6.75
120629,6.25
120630,6.25
119909,6.75
119910,6.75
119181,7.25
119182,7.25
