iucn_sid,sciname,lme_id,cat_score,cat_current,rgns,cat_score_global
21133050,Melanostomias tentaculatus,21,NA,"NA",europe,0
21133050,Melanostomias tentaculatus,22,NA,"NA",europe,0
21133050,Melanostomias tentaculatus,23,NA,"NA",europe,0
21133050,Melanostomias tentaculatus,24,NA,"NA",europe,0
21133050,Melanostomias tentaculatus,25,NA,"NA",europe,0
21133050,Melanostomias tentaculatus,26,NA,"NA",europe,0
21133050,Melanostomias tentaculatus,59,NA,"NA",europe,0
21133091,Photonectes braueri,20,NA,"NA",europe,0
21133091,Photonectes braueri,21,NA,"NA",europe,0
21133091,Photonectes braueri,22,NA,"NA",europe,0
21133091,Photonectes braueri,23,NA,"NA",europe,0
21133091,Photonectes braueri,24,NA,"NA",europe,0
21133091,Photonectes braueri,25,NA,"NA",europe,0
21133091,Photonectes braueri,26,NA,"NA",europe,0
21133091,Photonectes braueri,59,NA,"NA",europe,0
21133108,Photonectes margarita,20,NA,"NA",europe,0
21133108,Photonectes margarita,21,NA,"NA",europe,0
21133108,Photonectes margarita,22,NA,"NA",europe,0
21133108,Photonectes margarita,23,NA,"NA",europe,0
21133108,Photonectes margarita,24,NA,"NA",europe,0
21133108,Photonectes margarita,25,NA,"NA",europe,0
21133108,Photonectes margarita,26,NA,"NA",europe,0
21133108,Photonectes margarita,59,NA,"NA",europe,0
21133116,Photonectes mirabilis,20,NA,"NA",europe,0
21133116,Photonectes mirabilis,21,NA,"NA",europe,0
21133116,Photonectes mirabilis,22,NA,"NA",europe,0
21133116,Photonectes mirabilis,23,NA,"NA",europe,0
21133116,Photonectes mirabilis,24,NA,"NA",europe,0
21133116,Photonectes mirabilis,25,NA,"NA",europe,0
21133116,Photonectes mirabilis,26,NA,"NA",europe,0
21133116,Photonectes mirabilis,59,NA,"NA",europe,0
21133172,Aulostomus strigosus,20,0,LC,europe,0
21133172,Aulostomus strigosus,21,0,LC,europe,0
21133172,Aulostomus strigosus,22,0,LC,europe,0
21133172,Aulostomus strigosus,23,0,LC,europe,0
21133172,Aulostomus strigosus,24,0,LC,europe,0
21133172,Aulostomus strigosus,25,0,LC,europe,0
21133172,Aulostomus strigosus,26,0,LC,europe,0
21133172,Aulostomus strigosus,59,0,LC,europe,0
21133207,Zenion hololepis,20,NA,"NA",europe,0
21133207,Zenion hololepis,21,NA,"NA",europe,0
21133207,Zenion hololepis,22,NA,"NA",europe,0
21133207,Zenion hololepis,23,NA,"NA",europe,0
21133207,Zenion hololepis,24,NA,"NA",europe,0
21133207,Zenion hololepis,25,NA,"NA",europe,0
21133207,Zenion hololepis,26,NA,"NA",europe,0
21133207,Zenion hololepis,59,NA,"NA",europe,0
22679872,Anser brachyrhynchus,20,0,LC,europe,0
22679872,Anser brachyrhynchus,21,0,LC,europe,0
22679872,Anser brachyrhynchus,22,0,LC,europe,0
22679872,Anser brachyrhynchus,23,0,LC,europe,0
22679872,Anser brachyrhynchus,24,0,LC,europe,0
22679872,Anser brachyrhynchus,25,0,LC,europe,0
22679872,Anser brachyrhynchus,26,0,LC,europe,0
22679872,Anser brachyrhynchus,59,0,LC,europe,0
22679881,Anser albifrons,20,0,LC,europe,0
22679881,Anser albifrons,21,0,LC,europe,0
22679881,Anser albifrons,22,0,LC,europe,0
22679881,Anser albifrons,23,0,LC,europe,0
22679881,Anser albifrons,24,0,LC,europe,0
22679881,Anser albifrons,25,0,LC,europe,0
22679881,Anser albifrons,26,0,LC,europe,0
22679881,Anser albifrons,59,0,LC,europe,0
22679896,Anser caerulescens,20,0,LC,europe,0
22679896,Anser caerulescens,21,0,LC,europe,0
22679896,Anser caerulescens,22,0,LC,europe,0
22679896,Anser caerulescens,23,0,LC,europe,0
22679896,Anser caerulescens,24,0,LC,europe,0
22679896,Anser caerulescens,25,0,LC,europe,0
22679896,Anser caerulescens,26,0,LC,europe,0
22679896,Anser caerulescens,59,0,LC,europe,0
22679943,Branta leucopsis,20,0,LC,europe,0
22679943,Branta leucopsis,21,0,LC,europe,0
22679943,Branta leucopsis,22,0,LC,europe,0
22679943,Branta leucopsis,23,0,LC,europe,0
22679943,Branta leucopsis,24,0,LC,europe,0
22679943,Branta leucopsis,25,0,LC,europe,0
22679943,Branta leucopsis,26,0,LC,europe,0
22679943,Branta leucopsis,59,0,LC,europe,0
22679946,Branta bernicla,20,0,LC,europe,0
22679946,Branta bernicla,21,0,LC,europe,0
22679946,Branta bernicla,22,0,LC,europe,0
22679946,Branta bernicla,23,0,LC,europe,0
22679946,Branta bernicla,24,0,LC,europe,0
22679946,Branta bernicla,25,0,LC,europe,0
22679946,Branta bernicla,26,0,LC,europe,0
22679946,Branta bernicla,59,0,LC,europe,0
22680024,Tadorna tadorna,20,0,LC,europe,0
22680024,Tadorna tadorna,21,0,LC,europe,0
22680024,Tadorna tadorna,22,0,LC,europe,0
22680024,Tadorna tadorna,23,0,LC,europe,0
22680024,Tadorna tadorna,24,0,LC,europe,0
22680024,Tadorna tadorna,25,0,LC,europe,0
22680024,Tadorna tadorna,26,0,LC,europe,0
22680024,Tadorna tadorna,59,0,LC,europe,0
22680157,Mareca penelope,20,0,LC,europe,0
22680157,Mareca penelope,21,0,LC,europe,0
22680157,Mareca penelope,22,0,LC,europe,0
22680157,Mareca penelope,23,0,LC,europe,0
22680157,Mareca penelope,24,0,LC,europe,0
22680157,Mareca penelope,25,0,LC,europe,0
22680157,Mareca penelope,26,0,LC,europe,0
22680157,Mareca penelope,59,0,LC,europe,0
22680247,Spatula clypeata,20,0,LC,europe,0
22680247,Spatula clypeata,21,0,LC,europe,0
22680247,Spatula clypeata,22,0,LC,europe,0
22680247,Spatula clypeata,23,0,LC,europe,0
22680247,Spatula clypeata,24,0,LC,europe,0
22680247,Spatula clypeata,25,0,LC,europe,0
22680247,Spatula clypeata,26,0,LC,europe,0
22680247,Spatula clypeata,59,0,LC,europe,0
22680301,Anas acuta,20,0,LC,europe,0
22680301,Anas acuta,21,0,LC,europe,0
22680301,Anas acuta,22,0,LC,europe,0
22680301,Anas acuta,23,0,LC,europe,0
22680301,Anas acuta,24,0,LC,europe,0
22680301,Anas acuta,25,0,LC,europe,0
22680301,Anas acuta,26,0,LC,europe,0
22680301,Anas acuta,59,0,LC,europe,0
22680313,Spatula querquedula,20,0,LC,europe,0
22680313,Spatula querquedula,21,0,LC,europe,0
22680313,Spatula querquedula,22,0,LC,europe,0
22680313,Spatula querquedula,23,0,LC,europe,0
22680313,Spatula querquedula,24,0,LC,europe,0
22680313,Spatula querquedula,25,0,LC,europe,0
22680313,Spatula querquedula,26,0,LC,europe,0
22680313,Spatula querquedula,59,0,LC,europe,0
22680358,Aythya ferina,20,0.4,VU,europe,0.4
22680358,Aythya ferina,21,0.4,VU,europe,0.4
