iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
222,Acipenser brevirostrum,Shortnose Sturgeon,2004,VU,A2ce; B1ab(iii),VU,0.4,2018-1
224,Acipenser naccarii,Adriatic Sturgeon,2011,CR,"A2bcde; B2ab(i,ii,iii,iv,v)",CR,0.8,2018-1
225,Acipenser nudiventris,Ship Sturgeon,2010,CR,A2cde,CR,0.8,2018-1
229,Acipenser stellatus,Stellate Sturgeon,2010,CR,A2cde,CR,0.8,2018-1
230,Acipenser sturio,Atlantic Sturgeon,2010,CR,"A2cde; B2ab(ii,iii,v)",CR,0.8,2018-1
232,Acipenser gueldenstaedtii,Russian Sturgeon,2010,CR,A2bcde,CR,0.8,2018-1
233,Acipenser medirostris,Green Sturgeon,2006,NT,NA,NT,0.2,2018-1
234,Acipenser transmontanus,White Sturgeon,2004,LC,NA,LC,0,2018-1
235,Acipenser persicus,Persian Sturgeon,2010,CR,A2cde,CR,0.8,2018-1
236,Acipenser sinensis,Chinese Sturgeon,2010,CR,"A2bcd; B2ab(i,ii,iii,iv,v); C2a(ii)",CR,0.8,2018-1
241,Acipenser mikadoi,Sakhalin Sturgeon,2010,CR,A2cde,CR,0.8,2018-1
242,Acipenser oxyrinchus ssp. desotoi,Gulf Sturgeon,2006,VU,A2cde,VU,0.4,2018-1
243,Acipenser oxyrinchus ssp. oxyrinchus,Atlantic Sturgeon,2006,NT,NA,NT,0.2,2018-1
245,Acipenser oxyrinchus,Gulf Sturgeon,2006,NT,NA,NT,0.2,2018-1
678,Agathothoma finalis,NA,1996,DD,NA,DD,NA,2018-1
907,Alosa immaculata,NA,2008,VU,B2ab(v),VU,0.4,2018-1
908,Alosa alabamae,Alabama Shad,2010,DD,NA,DD,NA,2018-1
1086,Amblyrhynchus cristatus,Fernandina Marine Iguana,2004,VU,B2ac(iv),VU,0.4,2018-1
1308,Anisotremus moricandi,Brownstriped Grunt,2015,LC,NA,LC,0,2018-1
1615,Choranthias salmopunctatus,NA,2015,LC,NA,LC,0,2018-1
1793,Aonyx capensis,African Clawless Otter,2015,NT,NA,NT,0.2,2018-1
1866,Aplochiton marinus,NA,1996,DD,NA,DD,NA,2018-1
2055,Arctocephalus australis,South American Fur Seal,2016,LC,NA,LC,0,2018-1
2057,Arctocephalus galapagoensis,Galápagos Fur Seal,2015,EN,A2ab,EN,0.6,2018-1
2058,Arctocephalus gazella,Antarctic Fur Seal,2016,LC,NA,LC,0,2018-1
2059,Arctocephalus philippii,Juan Fernández Fur Seal,2015,LC,NA,LC,0,2018-1
2060,Arctocephalus pusillus,Afro-Australian Fur Seal,2015,LC,NA,LC,0,2018-1
2061,Arctocephalus townsendi,Guadalupe Fur Seal,2015,LC,NA,LC,0,2018-1
2062,Arctocephalus tropicalis,Subantarctic Fur Seal,2015,LC,NA,LC,0,2018-1
2064,Arctocephalus australis ssp. australis,South American Fur Seal,2016,LC,NA,LC,0,2018-1
2066,Arctocephalus pusillus ssp. pusillus,Cape Fur Seal,2015,LC,NA,LC,0,2018-1
2067,Arctocephalus pusillus ssp. doriferus,Australian Fur Seal,2015,LC,NA,LC,0,2018-1
2113,Arius madagascariensis,Madagascar Sea Catfish,2016,LC,NA,LC,0,2018-1
2179,Assiminea infirma,Badwater Snail,1996,VU,B1+2c,VU,0.4,2018-1
2181,Assiminea palauensis,NA,1996,DD,NA,DD,NA,2018-1
2182,Assiminea pecos,Pecos Assiminea,1996,EN,B1+2c,EN,0.6,2018-1
2218,Astraea heliotropium,NA,2000,LR/lc,NA,LC,0,2018-1
2352,Atherina boyeri,Black Sea Silverside,2008,LC,NA,LC,0,2018-1
2467,Balaena mysticetus,Bowhead Whale,2018,LC,NA,LC,0,2018-1
2469,Balaena mysticetus Okhotsk Sea subpopulation,Okhotsk Sea Bowhead Whale,2018,EN,D,EN,0.6,2018-1
2472,Balaena mysticetus East Greenland-Svalbard-Barents Sea subpopulation,Bowhead Whale,2018,EN,D,EN,0.6,2018-1
2474,Balaenoptera acutorostrata,(Common) Minke Whale,2008,LC,NA,LC,0,2018-1
2475,Balaenoptera borealis,Sei Whale,2008,EN,A1ad,EN,0.6,2018-1
2476,Balaenoptera edeni,Bryde's Whale,2018,LC,NA,LC,0,2018-1
2477,Balaenoptera musculus,Blue Whale,2008,EN,A1abd,EN,0.6,2018-1
2478,Balaenoptera physalus,Fin Whale,2013,EN,A1d,EN,0.6,2018-1
2479,Balaenoptera musculus ssp. brevicauda,Pygmy Blue Whale,1996,DD,NA,DD,NA,2018-1
2480,Balaenoptera bonaerensis,Antarctic Minke Whale,2018,NT,NA,NT,0.2,2018-1
2482,Balaenoptera musculus ssp. musculus North Pacific stock,Blue Whale,1996,LR/cd,NA,VU,0.4,2018-1
2483,Balaenoptera musculus ssp. musculus North Atlantic stock,North Atlantic Blue Whale,1996,VU,D1,VU,0.4,2018-1
2539,Balistes vetula,Queen Triggerfish,2015,NT,NA,NT,0.2,2018-1
2621,Bathygobius burtoni,NA,2015,EN,B2ab(iii),EN,0.6,2018-1
2636,Bathyraja abyssicola,Deepsea Skate,2015,DD,NA,DD,NA,2018-1
2637,Batillaria mutata,NA,1996,DD,NA,DD,NA,2018-1
2644,Batrachoides manglae,Cotuero Toadfish,2015,LC,NA,LC,0,2018-1
2762,Berardius arnuxii,Arnoux's Beaked Whale,2008,DD,NA,DD,NA,2018-1
2763,Berardius bairdii,Baird's Beaked Whale,2008,DD,NA,DD,NA,2018-1
2811,Birgus latro,Coconut Crab,1996,DD,NA,DD,NA,2018-1
2895,Bostrychus zonatus,Sunset Gudgeon,2012,DD,NA,DD,NA,2018-1
2958,Brachionichthys hirsutus,Spotted Handfish,1996,CR,A1cde,CR,0.8,2018-1
3381,Butis butis,Crimson-tipped Gudgeon,2017,LC,NA,LC,0,2018-1
3565,Callionymus sanctaehelenae,St Helena Dragonet,1996,CR,D,CR,0.8,2018-1
3590,Callorhinus ursinus,Northern Fur Seal,2015,VU,A2b,VU,0.4,2018-1
3764,Canthigaster rapaensis,NA,2014,EN,B2ab(iii),EN,0.6,2018-1
3778,Caperea marginata,Pygmy Right Whale,2008,DD,NA,DD,NA,2018-1
3851,Carcharhinus limbatus,Blacktip Shark,2009,NT,NA,NT,0.2,2018-1
3852,Carcharhinus obscurus,Dusky Shark,2009,VU,A2bd,VU,0.4,2018-1
3853,Carcharhinus plumbeus,Sandbar Shark,2009,VU,A2bd+4bd,VU,0.4,2018-1
3854,Carcharias taurus,Sand Tiger Shark,2009,VU,A2ab+3d,VU,0.4,2018-1
3855,Carcharodon carcharias,Great White Shark,2009,VU,A2cd+3cd,VU,0.4,2018-1
3856,Carcinoscorpius rotundicauda,Horseshoe Crabs,1996,DD,NA,DD,NA,2018-1
3897,Caretta caretta,Loggerhead Turtle,2017,VU,A2b,VU,0.4,2018-1
4131,Centropyge resplendens,Resplendent Pygmy Angelfish,2010,LC,NA,LC,0,2018-1
4159,Cephalorhynchus commersonii,Commerson's Dolphin,2017,LC,NA,LC,0,2018-1
4160,Cephalorhynchus eutropia,Chilean Dolphin,2017,NT,NA,NT,0.2,2018-1
4161,Cephalorhynchus heavisidii,Heaviside's Dolphin,2013,DD,NA,DD,NA,2018-1
4162,Cephalorhynchus hectori,Hector's Dolphin,2013,EN,A4d,EN,0.6,2018-1
4292,Cetorhinus maximus,Basking Shark,2009,VU,A2ad+3d,VU,0.4,2018-1
4360,Chaetodon flavocoronatus,Yellow-crowned Butterflyfish,2010,LC,NA,LC,0,2018-1
4361,Chaetodon litus,Easter Island Butterflyfish,2010,LC,NA,LC,0,2018-1
4362,Chaetodon marleyi,Doublesash Butterflyfish,2010,LC,NA,LC,0,2018-1
4363,Prognathodes obliquus,Oblique Butterflyfish,2010,DD,NA,DD,NA,2018-1
4364,Chaetodon robustus,Three-banded Butterflyfish,2010,LC,NA,LC,0,2018-1
4592,Cheilinus undulatus,Humphead Wrasse,2004,EN,A2bd+3bd,EN,0.6,2018-1
4615,Chelonia mydas,Green Turtle,2004,EN,A2bd,EN,0.6,2018-1
4805,Chromis sanctaehelenae,St. Helena Chromis,2015,LC,NA,LC,0,2018-1
4982,Clinus spatulatus,Bot River Klipfish,2014,EN,"B2ab(iii,v)",EN,0.6,2018-1
5119,Collisella edmitchelli,NA,1996,EX,NA,EX,1,2018-1
5216,Conacmella vagans,NA,1996,DD,NA,DD,NA,2018-1
5269,Conus africanus,NA,2012,LC,NA,LC,0,2018-1
5270,Conus cepasi,NA,2012,VU,D2,VU,0.4,2018-1
5271,Conus kohni,NA,1996,DD,NA,DD,NA,2018-1
5272,Conus nobrei,NA,2012,NT,NA,NT,0.2,2018-1
5273,Conus zebroides,NA,2013,NT,NA,NT,0.2,2018-1
5325,Emblemariopsis tayrona,Tayrona Blenny,2015,LC,NA,LC,0,2018-1
5362,Coregonus artedi,Cisco,1996,LR/lc,NA,LC,0,2018-1
5486,Crassispira sacerdotalis,NA,1996,DD,NA,DD,NA,2018-1
5659,Crocodylus acutus,American Crocodile,2012,VU,A2cd,VU,0.4,2018-1
5668,Crocodylus porosus,Salt-water Crocodile,1996,LR/lc,NA,LC,0,2018-1
5675,Croilia mossambica,Burrowing Goby,2007,LC,NA,LC,0,2018-1
6069,Cymatium parthenopaeum,NA,2000,LR/lc,NA,LC,0,2018-1
6202,Cysticus gutta,NA,1996,DD,NA,DD,NA,2018-1
6203,Cysticus josephinae,NA,1996,DD,NA,DD,NA,2018-1
6204,Cystophora cristata,Hooded Seal,2016,VU,A3c,VU,0.4,2018-1
6229,Dalatias licha,Kitefin Shark,2009,NT,NA,NT,0.2,2018-1
6335,Delphinapterus leucas,Beluga Whale,2017,LC,NA,LC,0,2018-1
6336,Delphinus delphis,Short-beaked Common Dolphin,2008,LC,NA,LC,0,2018-1
6337,Delphinus capensis,Long-beaked Common Dolphin,2008,DD,NA,DD,NA,2018-1
6494,Dermochelys coriacea,Leatherback,2013,VU,A2bd,VU,0.4,2018-1
6814,Dunckerocampus dactyliophorus,Banded Pipefish,2016,DD,NA,DD,NA,2018-1
6909,Dugong dugon,Dugong,2015,VU,A2bcd+4bcd,VU,0.4,2018-1
7011,Echinus esculentus,European Edible Sea Urchin,1996,LR/nt,NA,NT,0.2,2018-1
7035,Edwardsia ivelli,Ivell's Sea Anemone,1996,DD,NA,DD,NA,2018-1
7134,Eleotris sandwicensis,Hawaii Spinecheek Gudgeon,2013,DD,NA,DD,NA,2018-1
7135,Eleotris melanosoma,Broadhead Sleeper,2017,LC,NA,LC,0,2018-1
7750,Enhydra lutris,Sea Otter,2015,EN,A2abe,EN,0.6,2018-1
7778,Entomacrodus cadenati,West African Rockhopper,2014,LC,NA,LC,0,2018-1
7854,Epinephelus drummondhayi,Speckled Hind,2006,CR,A2d+3d,CR,0.8,2018-1
7855,Hyporthodus exsul,Tenspine Grouper,2017,DD,NA,DD,NA,2018-1
7858,Epinephelus lanceolatus,Giant Grouper,2006,VU,A2d,VU,0.4,2018-1
7859,Epinephelus marginatus,Dusky Grouper,2004,EN,A2d,EN,0.6,2018-1
7860,Hyporthodus nigritus,Warsaw Grouper,2006,CR,A2d+3d,CR,0.8,2018-1
7861,Hyporthodus niveatus,Snowy Grouper,2008,VU,A2d+3d,VU,0.4,2018-1
7862,Epinephelus striatus,Nassau Grouper,2003,EN,A2ad,EN,0.6,2018-1
8005,Eretmochelys imbricata,Hawksbill Turtle,2008,CR,A2bd,CR,0.8,2018-1
8010,Erignathus barbatus,Bearded Seal,2016,LC,NA,LC,0,2018-1
8012,Erignathus barbatus ssp. barbatus,Atlantic Bearded Seal,2016,LC,NA,LC,0,2018-1
8013,Erignathus barbatus ssp. nauticus,Pacific Bearded Seal,2015,LC,NA,LC,0,2018-1
8097,Eschrichtius robustus,Gray Whale,2008,LC,NA,LC,0,2018-1
8099,Eschrichtius robustus western subpopulation,Western Gray Whale,2008,CR,C2a(ii); E,CR,0.8,2018-1
8153,Eubalaena australis,Southern Right Whale,2018,LC,NA,LC,0,2018-1
8239,Eumetopias jubatus,Steller Sea Lion,2016,NT,NA,NT,0.2,2018-1
8261,Eunice viridis,Samoan Palolo Worm,1996,DD,NA,DD,NA,2018-1
8262,Eunicella verrucosa,Pink Sea Fan,1996,VU,A1d,VU,0.4,2018-1
8407,Eurypegasus draconis,Short Dragonfish,2017,LC,NA,LC,0,2018-1
8408,Eurypegasus papilio,Hawaiian Sea-moth Fish,2016,LC,NA,LC,0,2018-1
8409,Eurypegasus draconis Philippines stock,Little Dragonfish,1996,VU,A2d,VU,0.4,2018-1
8551,Feresa attenuata,Pygmy Killer Whale,2008,DD,NA,DD,NA,2018-1
8784,Gadus morhua,Atlantic Cod,1996,VU,A1bd,VU,0.4,2018-1
8806,Galaxias johnstoni,Clarence Galaxias,1996,CR,"A1c, B1+2a",CR,0.8,2018-1
8817,Galaxias argenteus,Giant Kokopu,2014,VU,A4ac,VU,0.4,2018-1
8951,Gasterosteus aculeatus,Threespined Stickleback,2015,LC,NA,LC,0,2018-1
9175,Gibberula cucullata,NA,1996,DD,NA,DD,NA,2018-1
9176,Gibberula modica,NA,1996,DD,NA,DD,NA,2018-1
9177,Gibberula puntillum,NA,1996,DD,NA,DD,NA,2018-1
9249,Globicephala macrorhynchus,Short-finned Pilot Whale,2011,DD,NA,DD,NA,2018-1
9250,Globicephala melas,Long-finned Pilot Whale,2008,DD,NA,DD,NA,2018-1
9266,Psammogobius biocellatus,Sleepy Goby,2017,LC,NA,LC,0,2018-1
9281,Glyphis gangeticus,Ganges Shark,2007,CR,A2cde; C2b,CR,0.8,2018-1
9461,Grampus griseus,Risso's Dolphin,2012,LC,NA,LC,0,2018-1
9463,Granulina parilis,NA,1996,DD,NA,DD,NA,2018-1
9660,Halichoerus grypus,Grey Seal,2016,LC,NA,LC,0,2018-1
10016,Heteropoma fulva,NA,1996,DD,NA,DD,NA,2018-1
10017,Heteropoma glabratum,NA,1996,DD,NA,DD,NA,2018-1
10018,Heteropoma pyramis,NA,1996,DD,NA,DD,NA,2018-1
10019,Heteropoma quadrasi,NA,1996,DD,NA,DD,NA,2018-1
10020,Heteropoma tuberculatum,NA,1996,DD,NA,DD,NA,2018-1
10021,Heteropoma turritum,NA,1996,DD,NA,DD,NA,2018-1
10030,Hexanchus griseus,Bluntnose Sixgill Shark,2009,NT,NA,NT,0.2,2018-1
10056,Hippocampus capensis,Knysna Seahorse,2017,EN,"B1ab(iii,v)+2ab(iii,v)",EN,0.6,2018-1
10057,Hippocampus abdominalis,Pot-bellied Seahorse,2017,LC,NA,LC,0,2018-1
10060,Hippocampus bargibanti,Bargibant's Seahorse,2017,DD,NA,DD,NA,2018-1
10063,Hippocampus breviceps,Short-snouted Seahorse,2017,LC,NA,LC,0,2018-1
10064,Hippocampus camelopardalis,Giraffe Seahorse,2017,DD,NA,DD,NA,2018-1
10065,Hippocampus coronatus,High-crowned Seahorse,2016,DD,NA,DD,NA,2018-1
10066,Hippocampus erectus,Lined Seahorse,2017,VU,A2cd,VU,0.4,2018-1
10069,Hippocampus hippocampus,Short-snouted Seahorse,2017,DD,NA,DD,NA,2018-1
10070,Hippocampus histrix,Thorny Seahorse,2017,VU,A2cd+4cd,VU,0.4,2018-1
10072,Hippocampus ingens,Giant Seahorse,2017,VU,A2cd,VU,0.4,2018-1
10074,Hippocampus jayakari,Jayakar's Seahorse,2017,LC,NA,LC,0,2018-1
10075,Hippocampus kuda,Spotted Seahorse,2014,VU,A2cd+3cd+4cd,VU,0.4,2018-1
10077,Hippocampus minotaur,Bullneck Seahorse,2017,DD,NA,DD,NA,2018-1
10082,Hippocampus reidi,Long-snout Seahorse,2017,NT,NA,NT,0.2,2018-1
10083,Hippocampus sindonis,Sindo's Seahorse,2017,LC,NA,LC,0,2018-1
10087,Hippocampus trimaculatus,Three-spot Seahorse,2015,VU,A2bcd+4bcd,VU,0.4,2018-1
10088,Hippocampus whitei,White's Seahorse,2017,EN,A2bc,EN,0.6,2018-1
10089,Hippocampus zosterae,Dwarf Seahorse,2017,LC,NA,LC,0,2018-1
10097,Hippoglossus hippoglossus,Atlantic Halibut,1996,EN,A1d,EN,0.6,2018-1
10105,Hippopus hippopus,Horse's Hoof Clam,1996,LR/cd,NA,VU,0.4,2018-1
10106,Hippopus porcellanus,China Clam,1996,LR/cd,NA,VU,0.4,2018-1
10268,Huso dauricus,Kaluga,2010,CR,A2bd,CR,0.8,2018-1
10269,Huso huso,Beluga,2010,CR,A2bcd,CR,0.8,2018-1
10273,Huso huso Adriatic Sea stock,Beluga,1996,EX,NA,EX,1,2018-1
10303,Hydrodamalis gigas,Steller's Sea Cow,2016,EX,NA,EX,1,2018-1
10340,Hydrurga leptonyx,Leopard Seal,2015,LC,NA,LC,0,2018-1
10707,Hyperoodon ampullatus,North Atlantic Bottlenose Whale,2008,DD,NA,DD,NA,2018-1
10708,Hyperoodon planifrons,Southern Bottlenose Whale,2008,LC,NA,LC,0,2018-1
10724,Hypoplectrus providencianus,Masked Hamlet,2015,LC,NA,LC,0,2018-1
10939,Jenkinsia parvula,Venezuelan Herring,2017,DD,NA,DD,NA,2018-1
11030,Knipowitschia caucasica,NA,2008,LC,NA,LC,0,2018-1
11047,Kogia breviceps,Pygmy Sperm Whale,2012,DD,NA,DD,NA,2018-1
11048,Kogia sima,Dwarf Sperm Whale,2012,DD,NA,DD,NA,2018-1
11060,Kuhlia marginata,Silver Flagtail,2012,LC,NA,LC,0,2018-1
11130,Lachnolaimus maximus,Hogfish,2010,VU,A2bd,VU,0.4,2018-1
11140,Lagenodelphis hosei,Fraser's Dolphin,2012,LC,NA,LC,0,2018-1
11141,Lagenorhynchus acutus,Atlantic White-sided Dolphin,2008,LC,NA,LC,0,2018-1
11142,Lagenorhynchus albirostris,White-beaked Dolphin,2012,LC,NA,LC,0,2018-1
11143,Lagenorhynchus australis,Peale's Dolphin,2008,DD,NA,DD,NA,2018-1
11144,Lagenorhynchus cruciger,Hourglass Dolphin,2008,LC,NA,LC,0,2018-1
11145,Lagenorhynchus obliquidens,Pacific White-sided Dolphin,2012,LC,NA,LC,0,2018-1
11146,Lagenorhynchus obscurus,Dusky Dolphin,2008,DD,NA,DD,NA,2018-1
11150,Lagocephalus gloveri,Brown-backed Toadfish,2014,DD,NA,DD,NA,2018-1
11191,Ophioglossolambis violacea,NA,1996,DD,NA,DD,NA,2018-1
11200,Lamna nasus,Porbeagle,2006,VU,A2bd+3d+4bd,VU,0.4,2018-1
11368,Latiaxis babelis,NA,1996,LR/nt,NA,NT,0.2,2018-1
11375,Latimeria chalumnae,Coelacanth,2000,CR,A2bcd,CR,0.8,2018-1
11501,Lentipes concolor,Oopu Alamoo,1996,DD,NA,DD,NA,2018-1
11533,Lepidochelys kempii,Kemp's Ridley,1996,CR,A1ab,CR,0.8,2018-1
11534,Lepidochelys olivacea,Olive Ridley,2008,VU,A2bd,VU,0.4,2018-1
11696,Leptonychotes weddellii,Weddell Seal,2015,LC,NA,LC,0,2018-1
11987,Limulus polyphemus,American Horseshoe Crab,2016,VU,A3bd,VU,0.4,2018-1
12103,Liosaccus pachygaster,NA,1996,VU,D2,VU,0.4,2018-1
12125,Lissodelphis borealis,Northern Right Whale Dolphin,2012,LC,NA,LC,0,2018-1
12126,Lissodelphis peronii,Southern Right Whale Dolphin,2012,DD,NA,DD,NA,2018-1
12137,Lithognathus lithognathus,White Steenbras,2014,EN,"A2bcd; B2ab(ii,v)",EN,0.6,2018-1
12242,Littoraria flammea,NA,1996,EX,NA,EX,1,2018-1
12244,Liza luciae,St. Lucia Mullet,1996,EN,B1+2ab+3a,EN,0.6,2018-1
12246,Lobodon carcinophaga,Crabeater Seal,2015,LC,NA,LC,0,2018-1
12302,Lontra canadensis,North American River Otter,2015,LC,NA,LC,0,2018-1
12303,Lontra felina,Marine Otter,2015,EN,A3cde,EN,0.6,2018-1
12305,Lontra provocax,Southern River Otter,2015,EN,A3cde,EN,0.6,2018-1
12382,Lottia alveus,Eelgrass Limpet,1996,EX,NA,EX,1,2018-1
12404,Luciogobius pallidus,Well Earthworm Goby,1996,DD,NA,DD,NA,2018-1
12416,Lutjanus analis,Mutton Snapper,2016,NT,NA,NT,0.2,2018-1
12417,Lutjanus cyanopterus,Cubera Snapper,2016,VU,A2bd,VU,0.4,2018-1
12419,Lutra lutra,Eurasian Otter,2015,NT,NA,NT,0.2,2018-1
12421,Lutra sumatrana,Hairy-nosed Otter,2015,EN,A2cde,EN,0.6,2018-1
12427,Lutrogale perspicillata,Smooth-coated Otter,2015,VU,A2cde,VU,0.4,2018-1
12807,Marginella chalmersi,NA,1996,DD,NA,DD,NA,2018-1
12808,Marginella gemma,NA,1996,DD,NA,DD,NA,2018-1
12809,Marginella liparozona,NA,1996,DD,NA,DD,NA,2018-1
12810,Marginella melvilli,NA,1996,DD,NA,DD,NA,2018-1
13006,Megaptera novaeangliae,Humpback Whale,2008,LC,NA,LC,0,2018-1
13045,Melanogrammus aeglefinus,Haddock,1996,VU,A1d+2d,VU,0.4,2018-1
13145,Menidia conchorum,Key Silverside,2015,EN,B1ab(iii)+2ab(iii),EN,0.6,2018-1
13232,Mesogobius batrachocephalus,Toad Goby,2008,LC,NA,LC,0,2018-1
13238,Mesonerilla prospera,NA,1996,CR,B1+2c,CR,0.8,2018-1
13241,Mesoplodon bidens,Sowerby's Beaked Whale,2008,DD,NA,DD,NA,2018-1
13242,Mesoplodon bowdoini,Andrew's Beaked Whale,2008,DD,NA,DD,NA,2018-1
13243,Mesoplodon carlhubbsi,Hubbs' Beaked Whale,2008,DD,NA,DD,NA,2018-1
13244,Mesoplodon densirostris,Blainville's Beaked Whale,2008,DD,NA,DD,NA,2018-1
13245,Mesoplodon europaeus,Gervais' Beaked Whale,2008,DD,NA,DD,NA,2018-1
13246,Mesoplodon ginkgodens,Ginkgo-toothed Beaked Whale,2008,DD,NA,DD,NA,2018-1
13247,Mesoplodon grayi,Gray's Beaked Whale,2008,DD,NA,DD,NA,2018-1
13248,Mesoplodon hectori,Hector's Beaked Whale,2008,DD,NA,DD,NA,2018-1
13249,Mesoplodon layardii,Strap-toothed Whale,2008,DD,NA,DD,NA,2018-1
13250,Mesoplodon mirus,True's Beaked Whale,2008,DD,NA,DD,NA,2018-1
13251,Mesoplodon peruvianus,Pygmy Beaked Whale,2008,DD,NA,DD,NA,2018-1
13252,Mesoplodon stejnegeri,Stejneger's Beaked Whale,2008,DD,NA,DD,NA,2018-1
13581,Mirounga angustirostris,Northern Elephant Seal,2015,LC,NA,LC,0,2018-1
13583,Mirounga leonina,Southern Elephant Seal,2015,LC,NA,LC,0,2018-1
13653,Monachus monachus,Mediterranean Monk Seal,2015,EN,C2a(i),EN,0.6,2018-1
13654,Neomonachus schauinslandi,Hawaiian Monk Seal,2015,EN,C1,EN,0.6,2018-1
13655,Neomonachus tropicalis,Caribbean Monk Seal,2015,EX,NA,EX,1,2018-1
13704,Monodon monoceros,Narwhal,2017,LC,NA,LC,0,2018-1
13852,Mordacia lapicida,Lamprea de Agua Dulce,1996,DD,NA,DD,NA,2018-1
13932,Muricopsis mariangelae,NA,1996,DD,NA,DD,NA,2018-1
13933,Muricopsis matildae,NA,1996,DD,NA,DD,NA,2018-1
13934,Muricopsis principensis,NA,1996,DD,NA,DD,NA,2018-1
14048,Mycteroperca cidi,Venezuelan Grouper,2008,DD,NA,DD,NA,2018-1
14049,Mycteroperca jordani,Gulf Grouper,2008,EN,A2d+3d,EN,0.6,2018-1
14050,Mycteroperca microlepis,Gag,2008,LC,NA,LC,0,2018-1
14051,Mycteroperca olfax,Colorado Grouper,2015,VU,D2,VU,0.4,2018-1
14052,Mycteroperca prionura,Sawtail Grouper,2008,NT,NA,NT,0.2,2018-1
14053,Mycteroperca rosacea,Leopard Grouper,2008,VU,A2ad+4ad,VU,0.4,2018-1
14054,Mycteroperca rubra,Mottled Grouper,2008,LC,NA,LC,0,2018-1
14214,Triglopsis quadricornis,Fourhorn Sculpin,2013,LC,NA,LC,0,2018-1
14264,Myxus capensis,Freshwater Mullet,2007,LC,NA,LC,0,2018-1
14363,Natator depressus,Flatback,1996,DD,NA,DD,NA,2018-1
14500,Nematostella vectensis,Starlet Sea Anemone,1996,VU,A1ce,VU,0.4,2018-1
14549,Neophoca cinerea,Australian Sea Lion,2015,EN,A2bd,EN,0.6,2018-1
14561,Neorapana grandis,NA,1996,DD,NA,DD,NA,2018-1
14562,Neosalanx regani,Ariake Dwarf Icefish,1996,VU,"A1ace, D2",VU,0.4,2018-1
14831,Nodipecten magnificus,NA,1996,DD,NA,DD,NA,2018-1
15106,Odobenus rosmarus,Walrus,2016,VU,A3c,VU,0.4,2018-1
15108,Odobenus rosmarus ssp. rosmarus,Atlantic Walrus,2016,NT,NA,NT,0.2,2018-1
15184,Ogilbia galapagosensis,Galapagos Cuskeel,2010,VU,D2,VU,0.4,2018-1
15239,Oxyurichthys keiensis,Kei Goby,2010,LC,NA,LC,0,2018-1
15269,Ommatophoca rossii,Ross Seal,2015,LC,NA,LC,0,2018-1
15270,Omphalotropis albocarinata,NA,1996,DD,NA,DD,NA,2018-1
15271,Omphalotropis carolinensis,NA,1996,DD,NA,DD,NA,2018-1
15273,Omphalotropis cookei,NA,1996,DD,NA,DD,NA,2018-1
15274,Omphalotropis elegans,NA,1996,DD,NA,DD,NA,2018-1
15275,Omphalotropis elongatula,NA,1996,DD,NA,DD,NA,2018-1
15276,Omphalotropis erosa,NA,1996,DD,NA,DD,NA,2018-1
15278,Omphalotropis fragilis,NA,1996,DD,NA,DD,NA,2018-1
15279,Omphalotropis gracilis,NA,1996,DD,NA,DD,NA,2018-1
15280,Omphalotropis guamensis,NA,1996,DD,NA,DD,NA,2018-1
15281,Omphalotropis howeinsulae,NA,1996,DD,NA,DD,NA,2018-1
15283,Omphalotropis laevigata,NA,1996,DD,NA,DD,NA,2018-1
15284,Omphalotropis laticosta,NA,1996,DD,NA,DD,NA,2018-1
15285,Omphalotropis latilabris,NA,1996,DD,NA,DD,NA,2018-1
15286,Omphalotropis mutica,NA,1996,DD,NA,DD,NA,2018-1
15287,Omphalotropis ochthogyra,NA,1996,DD,NA,DD,NA,2018-1
15288,Omphalotropis picta,NA,1996,DD,NA,DD,NA,2018-1
15289,Omphalotropis pilosa,NA,1996,DD,NA,DD,NA,2018-1
15290,Omphalotropis quadrasi,NA,1996,DD,NA,DD,NA,2018-1
15291,Omphalotropis semicostulata,NA,1996,DD,NA,DD,NA,2018-1
15292,Omphalotropis striatapila,NA,1996,DD,NA,DD,NA,2018-1
15293,Omphalotropis submaritima,NA,1996,DD,NA,DD,NA,2018-1
15295,Omphalotropis suturalis,NA,1996,DD,NA,DD,NA,2018-1
15296,Omphalotropis tumidula,NA,1996,DD,NA,DD,NA,2018-1
15297,Omphalotropis plicosa,NA,1996,EX,NA,EX,1,2018-1
15298,Omphalotropis hieroglyphica,NA,1996,EN,B1+2ab,EN,0.6,2018-1
15419,Orcaella brevirostris,Irrawaddy Dolphin,2017,EN,A2cd+3cd+4cd,EN,0.6,2018-1
15421,Orcinus orca,Killer Whale,2017,DD,NA,DD,NA,2018-1
15873,Pagrus pagrus,Red Porgy,2014,LC,NA,LC,0,2018-1
15939,Pandaka pygmaea,Dwarf Pygmy Goby,1996,CR,A1ace,CR,0.8,2018-1
16011,Favonigobius melanobranchus,Blackthroat Goby,1996,LR/nt,NA,NT,0.2,2018-1
16012,Favonigobius reichei,Indo-pacific Tropical Sand Goby,2017,LC,NA,LC,0,2018-1
16083,Paradoxa confirmata,NA,1996,DD,NA,DD,NA,2018-1
16084,Paradoxa thomensis,NA,1996,DD,NA,DD,NA,2018-1
16185,Parapinnixa affinis,Californian Bay Pea Crab,1996,EN,A1c,EN,0.6,2018-1
