iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
190363,Lactophrys triqueter,Smooth Trunkfish,2015,LC,NA,LC,0,2018-1
190365,Paralabrax dewegeri,Vieja Parrot Rock-Bass,2015,LC,NA,LC,0,2018-1
190366,Antennatus bermudensis,Island Frogfish,2015,LC,NA,LC,0,2018-1
190369,Lampanyctus nobilis,Noble Lanternfish,2015,LC,NA,LC,0,2018-1
190372,Pristipomoides macrophthalmus,Cardinal Snapper,2015,LC,NA,LC,0,2018-1
190373,Astronesthes atlanticus,NA,2015,LC,NA,LC,0,2018-1
190374,Ogilbichthys haitiensis,Haiti Coralbrotula,2015,DD,NA,DD,NA,2018-1
190375,Hoplunnis macrura,Freckled Pike-conger,2015,LC,NA,LC,0,2018-1
190376,Photonectes phyllopogon,NA,2015,LC,NA,LC,0,2018-1
190377,Xanthichthys ringens,Sargassum Triggerfish,2015,LC,NA,LC,0,2018-1
190378,Regalecus glesne,Oarfish,2015,LC,NA,LC,0,2018-1
190379,Ophichthus hyposagmatus,Faintsaddled Snake Eel,2015,LC,NA,LC,0,2018-1
190380,Lagocephalus laevigatus,Smooth Puffer,2014,LC,NA,LC,0,2018-1
190383,Cetengraulis edentulus,Atlantic Anchoveta,2015,LC,NA,LC,0,2018-1
190384,Cubiceps caeruleus,Blue Fathead,2015,LC,NA,LC,0,2018-1
190385,Antimora rostrata,Flat-nose Codling,2015,LC,NA,LC,0,2018-1
190387,Neobythites gilli,Twospot Brotula,2015,LC,NA,LC,0,2018-1
190388,Selar crumenophthalmus,Bigeye Scad,2015,LC,NA,LC,0,2018-1
190389,Scopelosaurus lepidus,Blackfin Waryfish,2015,LC,NA,LC,0,2018-1
190390,Bolinichthys indicus,Lanternfish,2015,LC,NA,LC,0,2018-1
190391,Cheilopogon furcatus,Spotfin Flyingfish,2015,LC,NA,LC,0,2018-1
190392,Letharchus velifer,American Sailfin Eel,2015,LC,NA,LC,0,2018-1
190393,Echeneis naucrates,Live Sharksucker,2015,LC,NA,LC,0,2018-1
190394,Taractichthys longipinnis,Big-scale Pomfret,2015,LC,NA,LC,0,2018-1
190395,Ogilbia boehlkei,Boehlke's Coralbrotula,2015,LC,NA,LC,0,2018-1
190397,Pristigenys alta,Short Bigeye,2015,LC,NA,LC,0,2018-1
190398,Scorpaena isthmensis,Smooth-cheek Scorpionfish,2015,LC,NA,LC,0,2018-1
190399,Sphyraena barracuda,Great Barracuda,2015,LC,NA,LC,0,2018-1
190400,Uroconger syringinus,Threadtail Conger,2015,LC,NA,LC,0,2018-1
190401,Ophidion nocomis,Letter Opener,2015,LC,NA,LC,0,2018-1
190402,Spiniphryne gladisfenae,Prickly Dreamer,2015,LC,NA,LC,0,2018-1
190403,Polyacanthonotus challengeri,Longnose Tapirfish,2015,LC,NA,LC,0,2018-1
190404,Diaphus anderseni,Andersen's Lantern Fish,2015,LC,NA,LC,0,2018-1
190405,Ichthyapus ophioneus,Surf Eel,2015,LC,NA,LC,0,2018-1
190407,Trachinotus falcatus,Permit,2015,LC,NA,LC,0,2018-1
190408,Microdesmus luscus,Blind Wormfish,2015,DD,NA,DD,NA,2018-1
190409,Mugil liza,Lebranche Mullet,2015,DD,NA,DD,NA,2018-1
190412,Trachinotus cayennensis,Cayenne Pompano,2015,LC,NA,LC,0,2018-1
190414,Ditropichthys storeri,Doublekeeled whalefish,2015,DD,NA,DD,NA,2018-1
190416,Eustomias furcifer,Scaleless Dragonfish,2015,LC,NA,LC,0,2018-1
190418,Amblycirrhitus pinos,Redspotted Hawkfish,2015,LC,NA,LC,0,2018-1
190419,Bajacalifornia arcylepis,Network Slickhead,2015,DD,NA,DD,NA,2018-1
190420,Corniger spinosus,Spinycheek Soldierfish,2015,LC,NA,LC,0,2018-1
190422,Mola mola,Ocean Sunfish,2015,VU,A4bd,VU,0.4,2018-1
190425,Lobianchia gemellarii,Cocco's Lantern Fish,2015,LC,NA,LC,0,2018-1
190426,Polydactylus virginicus,Sevenfingered Threadfin,2015,LC,NA,LC,0,2018-1
190428,Opistognathus gilberti,Yellow Jawfish,2015,LC,NA,LC,0,2018-1
190429,Mulloidichthys martinicus,Yellow Goatfish,2015,LC,NA,LC,0,2018-1
190430,Callechelys bilinearis,Twostripe Snake Eel,2015,LC,NA,LC,0,2018-1
190431,Nettastoma melanurum,Blackfin Sorcerer,2015,LC,NA,LC,0,2018-1
190432,Ruvettus pretiosus,Oilfish,2015,LC,NA,LC,0,2018-1
190433,Pseudoscopelus scriptus,NA,2015,LC,NA,LC,0,2018-1
190434,Eustomias melanostigma,NA,2015,LC,NA,LC,0,2018-1
190436,Prionotus martis,Gulf of Mexico Barred Searobin,2015,LC,NA,LC,0,2018-1
190438,Opsanus dichrostomus,Bicolor Toadfish,2015,LC,NA,LC,0,2018-1
190440,Myrichthys ocellatus,Goldspotted Eel,2015,LC,NA,LC,0,2018-1
190441,Fowlerichthys ocellatus,Ocellated Frogfish,2015,LC,NA,LC,0,2018-1
190444,Canthidermis maculata,Rough Triggerfish,2015,LC,NA,LC,0,2018-1
190447,Caulophryne jordani,Fanfin Angler,2015,LC,NA,LC,0,2018-1
190448,Citharichthys valdezi,Large-tooth Flounder,2015,LC,NA,LC,0,2018-1
190451,Oligoplites saliens,Castin Leatherjacket,2015,LC,NA,LC,0,2018-1
190452,Naucrates ductor,Pilotfish,2015,LC,NA,LC,0,2018-1
190453,Myctophum punctatum,Spotted Lanternfish,2015,LC,NA,LC,0,2018-1
190456,Ariopsis felis,Hardhead Sea Catfish,2015,LC,NA,LC,0,2018-1
190458,Caranx hippos,Crevalle Jack,2015,LC,NA,LC,0,2018-1
190459,Antennarius multiocellatus,Flagpole Frogfish,2015,LC,NA,LC,0,2018-1
190461,Phtheirichthys lineatus,Slender Suckerfish,2015,LC,NA,LC,0,2018-1
190462,Symphurus plagiusa,Blackcheek Tonguefish,2015,LC,NA,LC,0,2018-1
190464,Lagocephalus lagocephalus,Oceanic Puffer,2014,LC,NA,LC,0,2018-1
190465,Eustomias polyaster,NA,2015,DD,NA,DD,NA,2018-1
190466,Symbolophorus veranyi,Large-scale Lantern Fish,2015,LC,NA,LC,0,2018-1
190468,Pterois volitans,Red Lionfish,2016,LC,NA,LC,0,2018-1
190469,Echiodon dawsoni,Chain Pearlfish,2015,LC,NA,LC,0,2018-1
190470,Malacanthus plumieri,Sand Tilefish,2015,LC,NA,LC,0,2018-1
190471,Gonostoma denudatum,Bristlemouth,2015,LC,NA,LC,0,2018-1
190473,Kaupichthys nuchalis,Collared Eel,2015,LC,NA,LC,0,2018-1
190477,Symbolophorus rufinus,Rufous lanternfish,2015,LC,NA,LC,0,2018-1
190478,Harengula jaguana,Scaled Sardine,2015,LC,NA,LC,0,2018-1
190480,Scopelarchus michaelsarsi,Bigfin Pearleye,2015,LC,NA,LC,0,2018-1
190481,Haemulon aurolineatum,Tomtate,2015,LC,NA,LC,0,2018-1
190484,Synodus intermedius,Sand Diver,2015,LC,NA,LC,0,2018-1
190485,Melanolagus bericoides,Bigscale Deepsea Smelt,2015,LC,NA,LC,0,2018-1
190486,Aldrovandia gracilis,NA,2015,LC,NA,LC,0,2018-1
190488,Bolinichthys supralateralis,Stubby Lanternfish,2015,LC,NA,LC,0,2018-1
190489,Polyacanthonotus merretti,NA,2015,LC,NA,LC,0,2018-1
190674,Haletta semifasciata,Blue Weed Whiting,2012,LC,NA,LC,0,2018-1
190675,Heteroscarus acroptilus,Rainbow Cale,2012,LC,NA,LC,0,2018-1
190676,Neoodax balteatus,Little Weed Whiting,2012,LC,NA,LC,0,2018-1
190677,Odax cyanoallix,Bluefinned Butterfish,2012,LC,NA,LC,0,2018-1
190678,Odax pullus,Greenbone,2012,LC,NA,LC,0,2018-1
190679,Olisthops cyanomelas,Herring Cale,2012,LC,NA,LC,0,2018-1
190680,Siphonognathus caninis,Sharpnose Weed Whiting,2012,LC,NA,LC,0,2018-1
190681,Siphonognathus argyrophanes,Tubemouth,2012,LC,NA,LC,0,2018-1
190682,Siphonognathus attenuatus,Slender Weed Whiting,2012,LC,NA,LC,0,2018-1
190683,Siphonognathus radiatus,Long-rayed Weed Whiting,2012,LC,NA,LC,0,2018-1
190684,Siphonognathus tanyourus,Longtail Weed Whiting,2012,DD,NA,DD,NA,2018-1
190685,Calotomus spinidens,Spinytooth Parrotfish,2012,LC,NA,LC,0,2018-1
190686,Calotomus japonicus,Japanese Parrotfish,2012,LC,NA,LC,0,2018-1
190687,Calotomus zonarchus,Yellowbar Parrotfish,2012,LC,NA,LC,0,2018-1
190688,Calotomus carolinus,Carolines Parrotfish,2012,LC,NA,LC,0,2018-1
190689,Calotomus viridescens,Viridescent Parrotfish,2012,LC,NA,LC,0,2018-1
190690,Cetoscarus bicolor,Bicolour Parrotfish,2012,LC,NA,LC,0,2018-1
190691,Cetoscarus ocellatus,Bicolor Parrotfish,2012,LC,NA,LC,0,2018-1
190692,Chlorurus enneacanthus,Captain Parrotfish,2012,LC,NA,LC,0,2018-1
190693,Scarus collana,Red Sea Parrotfish,2012,LC,NA,LC,0,2018-1
190694,Scarus globiceps,Globehead Parrotfish,2012,LC,NA,LC,0,2018-1
190695,Scarus flavipectoralis,Yellowfin Parrotfish,2012,LC,NA,LC,0,2018-1
190696,Sparisoma griseorubrum,Grey Parrotfish,2012,DD,NA,DD,NA,2018-1
190697,Chlorurus capistratoides,Pink-margined Parrotfish,2012,LC,NA,LC,0,2018-1
190698,Scarus vetula,Queen Parrotfish,2012,LC,NA,LC,0,2018-1
190699,Chlorurus atrilunula,Bluemoon Parrotfish,2012,LC,NA,LC,0,2018-1
190700,Scarus scaber,Five-saddle Parrotfish,2012,LC,NA,LC,0,2018-1
190701,Nicholsina collettei,NA,2012,LC,NA,LC,0,2018-1
190702,Scarus fuscocaudalis,Darktail Parrotfish,2012,LC,NA,LC,0,2018-1
190703,Scarus hoefleri,Guinean Parrotfish,2012,LC,NA,LC,0,2018-1
190704,Scarus tricolor,Tricolour Parrotfish,2012,LC,NA,LC,0,2018-1
190705,Scarus ghobban,Blue-barred Parrotfish,2012,LC,NA,LC,0,2018-1
190706,Scarus russelii,Eclipse Parrotfish,2012,LC,NA,LC,0,2018-1
190707,Scarus chameleon,Chameleon Parrotfish,2012,LC,NA,LC,0,2018-1
190708,Scarus quoyi,Quoy's Parrotfish,2012,LC,NA,LC,0,2018-1
190709,Scarus coeruleus,Blue Parrotfish,2012,LC,NA,LC,0,2018-1
190710,Sparisoma cretense,Parrotfish,2012,LC,NA,LC,0,2018-1
190711,Chlorurus bowersi,Bower's Parrotfish,2012,NT,NA,NT,0.2,2018-1
190712,Sparisoma radians,Bucktooth Parrotfish,2012,LC,NA,LC,0,2018-1
190713,Scarus spinus,Greensnout Parrotfish,2012,LC,NA,LC,0,2018-1
190714,Scarus fuscopurpureus,Purple-brown Parrotfish,2012,LC,NA,LC,0,2018-1
190715,Chlorurus sordidus,Daisy Parrotfish,2012,LC,NA,LC,0,2018-1
190716,Scarus obishime,Yellowtail Parrotfish,2012,DD,NA,DD,NA,2018-1
190717,Scarus rivulatus,Rivulated Parrotfish,2012,LC,NA,LC,0,2018-1
190718,Chlorurus perspicillatus,Spectacled Parrotfish,2012,LC,NA,LC,0,2018-1
190719,Chlorurus japanensis,Palecheek Parrotfish,2012,LC,NA,LC,0,2018-1
190720,Scarus coelestinus,Midnight Parrotfish,2012,DD,NA,DD,NA,2018-1
190721,Sparisoma rubripinne,Redfin Parrotfish,2012,LC,NA,LC,0,2018-1
190722,Scarus falcipinnis,Sicklefin Parrotfish,2012,LC,NA,LC,0,2018-1
190723,Sparisoma amplum,Reef Parrotfish,2012,LC,NA,LC,0,2018-1
190724,Sparisoma frondosum,Agassiz's Parrotfish,2012,DD,NA,DD,NA,2018-1
190725,Scarus xanthopleura,Red Parrotfish,2012,LC,NA,LC,0,2018-1
190726,Scarus altipinnis,Filament-finned Parrotfish,2012,LC,NA,LC,0,2018-1
190727,Chlorurus spilurus,Bullethead Parrotfish,2012,LC,NA,LC,0,2018-1
190728,Chlorurus microrhinos,Steephead Parrotfish,2012,LC,NA,LC,0,2018-1
190729,Sparisoma aurofrenatum,Redband Parrotfish,2012,LC,NA,LC,0,2018-1
190730,Nicholsina usta,Emerald Parrotfish,2012,LC,NA,LC,0,2018-1
190731,Scarus rubroviolaceus,Ember Parrotfish,2012,LC,NA,LC,0,2018-1
190732,Scarus iseri,Striped Parrotfish,2012,LC,NA,LC,0,2018-1
190733,Hipposcarus harid,Candelamoa Parrotfish,2012,LC,NA,LC,0,2018-1
190734,Sparisoma viride,Stoplight Parrotfish,2012,LC,NA,LC,0,2018-1
190735,Scarus maculipinna,Spot-fin Parrotfish,2012,DD,NA,DD,NA,2018-1
190736,Scarus psittacus,Common Parrotfish,2012,LC,NA,LC,0,2018-1
190737,Chlorurus cyanescens,Blue Humphead Parrotfish,2012,LC,NA,LC,0,2018-1
190738,Sparisoma chrysopterum,Redtail Parrotfish,2012,LC,NA,LC,0,2018-1
190739,Scarus dimidiatus,Yellowbarred Parrotfish,2012,LC,NA,LC,0,2018-1
190740,Scarus niger,Dusky Parrotfish,2012,LC,NA,LC,0,2018-1
190741,Chlorurus troschelii,Troschel's Parrotfish,2012,LC,NA,LC,0,2018-1
