loiczid,eco_code,cells
11353,20017,474
11354,20017,472
11355,20017,473
11356,20017,475
11357,20017,474
11358,20017,472
11359,20017,475
11360,20017,472
11361,20017,475
11362,20017,474
11363,20017,471
11364,20017,479
11365,20017,464
11366,20017,480
11367,20017,476
11368,20017,475
11369,20017,410
11370,20017,304
11371,20017,173
11372,20017,48
12027,20017,42
12028,20017,447
12029,20017,508
12030,20017,509
12031,20017,509
12032,20017,508
12033,20017,510
12034,20017,508
12035,20017,510
12036,20017,507
12037,20017,508
12038,20017,506
12039,20017,514
12040,20017,511
12041,20017,505
12042,20017,500
12043,20017,521
12044,20017,498
12045,20017,517
12046,20017,509
12047,20017,506
12048,20017,454
12049,20017,245
12050,20017,36
12054,20017,320
12055,20017,510
12056,20017,508
12057,20017,509
12058,20017,510
12059,20017,508
12060,20017,508
12061,20017,509
12062,20017,508
12063,20017,509
12064,20017,509
12065,20017,509
12066,20017,509
12067,20017,507
12068,20017,511
12069,20017,509
12070,20017,508
12071,20017,510
12072,20017,507
12073,20017,507
12074,20017,512
12075,20017,506
12076,20017,508
12077,20017,510
12078,20017,508
12079,20017,510
12080,20017,507
12081,20017,511
12082,20017,508
12083,20017,508
12084,20017,509
12085,20017,509
12086,20017,509
12087,20017,507
12088,20017,510
12089,20017,506
12090,20017,511
12091,20017,510
12092,20017,510
12093,20017,414
12094,20017,204
12095,20017,51
12747,20017,365
12748,20017,545
12749,20017,545
12750,20017,544
12751,20017,546
12752,20017,545
12753,20017,545
12754,20017,543
12755,20017,546
12756,20017,545
12757,20017,543
12758,20017,546
12759,20017,545
12760,20017,544
12761,20017,546
12762,20017,545
12763,20017,544
12764,20017,544
12765,20017,547
12766,20017,545
12767,20017,545
12768,20017,535
12769,20017,544
12770,20017,524
12771,20017,356
12772,20017,113
12774,20017,441
12775,20017,548
12776,20017,544
12777,20017,544
12778,20017,546
12779,20017,544
12780,20017,545
12781,20017,432
12782,20017,369
12783,20017,376
12784,20017,515
12785,20017,545
12786,20017,543
12787,20017,547
12788,20017,532
12789,20017,479
12790,20017,434
12791,20017,317
12792,20017,273
12793,20017,405
12794,20017,541
12795,20017,540
12796,20017,548
12797,20017,544
12798,20017,545
12799,20017,542
12800,20017,549
12801,20017,542
12802,20017,547
12803,20017,544
12804,20017,544
12805,20017,546
12806,20017,546
12807,20017,545
12808,20017,543
12809,20017,546
12810,20017,544
12811,20017,545
12812,20017,545
12813,20017,544
12814,20017,545
12815,20017,544
