loiczid,clust_100,clust_150,clust_250,clust_500
17018,88,70,180,254
17019,88,125,180,254
17020,88,125,180,254
17021,88,125,180,254
17022,88,125,180,254
17023,88,125,192,254
17024,88,125,192,254
17025,88,125,192,254
17026,88,125,192,254
17027,88,125,192,254
17028,88,125,192,254
17029,88,125,192,254
17030,88,125,192,254
17031,88,125,192,254
17032,88,125,192,254
17033,88,125,192,254
17034,88,125,192,254
17035,88,125,192,254
17036,88,125,192,254
17037,88,125,192,254
17038,88,125,192,254
17042,8,125,192,254
17077,8,115,52,391
17080,8,115,52,391
17081,8,115,52,391
17082,8,115,52,391
17083,8,115,52,391
17085,8,115,52,391
17131,8,115,52,109
17133,8,115,52,109
17134,8,115,52,109
17135,8,115,52,109
17136,8,115,52,109
17137,8,115,52,109
17138,8,115,52,109
17139,8,115,52,109
17472,11,4,34,416
17473,11,4,34,416
17474,11,4,34,416
17484,11,4,34,416
17485,11,4,34,416
17486,11,4,34,416
17487,11,4,34,416
17488,11,4,34,416
17489,11,4,34,416
17490,11,4,34,416
17491,11,4,34,416
17492,11,4,34,416
17493,11,4,34,416
17494,11,4,34,416
17495,11,4,34,416
17496,11,4,34,416
17497,11,4,34,416
17498,11,4,34,416
17499,11,4,34,416
17500,11,4,34,416
17501,11,4,34,416
17503,11,4,34,416
17504,11,4,34,416
17505,11,4,34,416
17506,11,4,34,416
17625,97,133,42,418
17687,88,70,180,496
17688,88,70,180,496
17689,88,70,180,496
17690,88,70,180,496
17691,88,70,180,496
17692,88,70,180,496
17693,88,70,180,496
17694,88,70,180,496
17695,88,70,180,496
17696,88,70,180,496
17697,88,70,180,496
17698,88,70,180,308
17699,88,70,180,308
17700,88,70,180,308
17701,88,70,180,308
17702,88,70,180,308
17703,88,70,180,308
17704,88,70,180,308
17705,88,70,180,308
17706,88,70,180,308
17707,88,70,180,308
17708,88,70,180,308
17709,88,70,180,308
17710,88,70,180,308
17711,88,70,180,308
17712,88,70,180,308
17713,88,70,180,308
17714,88,70,180,308
17715,88,70,180,308
17716,88,70,180,308
17717,88,70,180,308
17718,88,70,180,308
17719,88,70,180,308
17720,88,70,180,308
17721,88,70,180,308
17722,88,70,180,308
17723,88,70,180,308
17724,88,70,180,308
17725,88,70,180,308
17726,88,70,180,308
17727,88,70,180,308
17728,88,70,180,308
17729,88,70,180,308
17730,88,70,180,254
17731,88,70,180,254
17732,88,70,180,254
17733,88,70,180,254
17734,88,70,180,254
17735,88,70,180,254
17736,88,70,180,254
17737,88,70,180,254
17738,88,125,180,254
17739,88,125,180,254
17740,88,125,180,254
