iucn_sid,sciname
39150,Juniperus gracilior var. ekmanii
32517,Juniperus gracilior var. gracilior
39151,Juniperus gracilior var. urbaniana
42237,Juniperus horizontalis
42238,Juniperus indica
191602,Juniperus indica var. caespitosa
191603,Juniperus indica var. indica
31086,Juniperus jaliscana
34138,Juniperus komarovii
42239,Juniperus monosperma
42240,Juniperus monticola
42242,Juniperus occidentalis
16345010,Juniperus occidentalis var. australis
16345037,Juniperus occidentalis var. occidentalis
42241,Juniperus osteosperma
42243,Juniperus oxycedrus
16348693,Juniperus oxycedrus subsp. badia
16348745,Juniperus oxycedrus subsp. macrocarpa
16347367,Juniperus oxycedrus subsp. oxycedrus
16348802,Juniperus oxycedrus var. transtagana
16348983,Juniperus phoenicea
42245,Juniperus pinchotii
34140,Juniperus pingii
42553,Juniperus pingii var. chengii
63550,Juniperus pingii var. miehei
191604,Juniperus pingii var. pingii
191605,Juniperus pingii var. wilsonii
33217,Juniperus procera
42246,Juniperus procumbens
34141,Juniperus przewalskii
39590,Juniperus pseudosabina
42247,Juniperus recurva
34142,Juniperus recurva var. coxii
191606,Juniperus recurva var. recurva
42248,Juniperus rigida
191608,Juniperus rigida ssp. conferta
191607,Juniperus rigida ssp. rigida
42249,Juniperus sabina
191609,Juniperus sabina var. arenaria
191610,Juniperus sabina var. davurica
191611,Juniperus sabina var. sabina
42250,Juniperus saltillensis
42251,Juniperus saltuaria
31618,Juniperus saxicola
42252,Juniperus scopulorum
42253,Juniperus semiglobosa
42254,Juniperus squamata
32501,Juniperus standleyi
32042,Juniperus taxifolia
42255,Juniperus thurifera
42256,Juniperus tibetica
16349692,Juniperus turbinata
42257,Juniperus virginiana
16356412,Juniperus virginiana var. silicicola
16356397,Juniperus virginiana var. virginiana
42306,Keteleeria davidiana
191612,Keteleeria davidiana var. davidiana
31262,Keteleeria davidiana var. formosana
42307,Keteleeria evelyniana
32416,Keteleeria fortunei
34153,Lagarostrobos franklinii
42309,Larix decidua
34161,Larix decidua var. polonica
42310,Larix gmelinii
191613,Larix gmelinii var. gmelinii
191614,Larix gmelinii var. japonica
191615,Larix gmelinii var. olgensis
191616,Larix gmelinii var. principis-rupprechtii
42311,Larix griffithii
34163,Larix griffithii var. speciosa
42312,Larix kaempferi
42313,Larix laricina
42314,Larix lyallii
31288,Larix mastersiana
42315,Larix occidentalis
42316,Larix potaninii
191618,Larix potaninii var. chinensis
34164,Larix potaninii var. himalaica
191619,Larix potaninii var. macrocarpa
191620,Larix potaninii var. potaninii
42317,Larix sibirica
34154,Lepidothamnus fonkii
42480,Lepidothamnus intermedius
42481,Lepidothamnus laxifolius
30994,Libocedrus austrocaledonica
42259,Libocedrus bidwillii
30995,Libocedrus chevalieri
34146,Libocedrus plumosa
30996,Libocedrus yateensis
42482,Manoao colensoi
32317,Metasequoia glyptostroboides
30750,Microbiota decussata
18153775,Microcachrys tetragona
39606,Nageia fleuryi
34155,Nageia maxima
42483,Nageia motleyi
46347417,Nageia nagi
42484,Nageia wallichiana
30997,Neocallitropsis pancheri
34162,Nothotsuga longibracteata
42260,Papuacedrus papuana
63551,Papuacedrus papuana var. arfakensis
31002,Parasitaxus usta
30534,Pherosphaera fitzgeraldii
44049,Pherosphaera hookeriana
42266,Phyllocladus aspleniifolius
42267,Phyllocladus hypophyllus
42268,Phyllocladus toatoa
42269,Phyllocladus trichomanoides
191621,Phyllocladus trichomanoides var. alpinus
191622,Phyllocladus trichomanoides var. trichomanoides
42318,Picea abies
42319,Picea alcoquiana
34165,Picea alcoquiana var. acicularis
191623,Picea alcoquiana var. alcoquiana
34166,Picea alcoquiana var. reflexa
