iucn_sid,sciname,kingdom,phylum,class,order,family,main_common_name,published_year,old_cat,criteria,aoo_km2,eoo_km2,depth_upper,depth_lower,cat,cat_score
132806,Cephalopholis fulva,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Coney,2008,LC,NA,NA,NA,1,45,LC,0
132807,Hyporthodus septemfasciatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Convict Grouper,2008,LC,NA,NA,NA,NA,360,LC,0
132808,Cephalopholis cyanostigma,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Blue Spotted Hind,2008,LC,NA,NA,NA,1,50,LC,0
132810,Variola albimarginata,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,White-edged Lyre Tail,2008,LC,NA,NA,NA,4,200,LC,0
132811,Mycteroperca xenarcha,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Broomtail Grouper,2008,LC,NA,NA,NA,NA,NA,LC,0
132815,Epinephelus cyanopodus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Speckled Blue Grouper,2008,LC,NA,NA,NA,2,150,LC,0
132817,Epinephelus fasciatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Blacktip Grouper,2008,LC,NA,NA,NA,15,160,LC,0
132818,Plectropomus maculatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Bar-cheeked Trout,2008,LC,NA,NA,NA,5,50,LC,0
132819,Epinephelus adscensionis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Rock Hind,2008,LC,NA,NA,NA,2,100,LC,0
132822,Paranthias colonus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Pacific Creole-fish,2017,LC,NA,NA,NA,NA,NA,LC,0
132823,Epinephelus chlorostigma,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Brownspotted Grouper,2008,LC,NA,NA,NA,4,280,LC,0
132825,Cephalopholis spiloparaea,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Strawberry Hind,2008,LC,NA,NA,NA,16,108,LC,0
132826,Epinephelus bleekeri,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Duskytail Grouper,2008,NT,NA,NA,NA,30,104,NT,0.2
132827,Hyporthodus mystacinus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Misty Grouper,2008,LC,NA,NA,NA,30,400,LC,0
132829,Epinephelus howlandi,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Blacksaddle Grouper,2008,LC,NA,NA,NA,0,37,LC,0
132830,Mycteroperca acutirostris,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Comb Grouper,2008,LC,NA,NA,NA,NA,NA,LC,0
132859,Oulastrea crispata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2008,LC,NA,NA,NA,0,10,LC,0
132860,Psammocora stellata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,NA,2014,VU,A4ce,NA,NA,0,20,VU,0.4
132866,Montipora angulata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,VU,A4ce,NA,NA,1,20,VU,0.4
132869,Acropora florida,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Branch Coral,2014,NT,NA,NA,NA,5,30,NT,0.2
132871,Pectinia elongata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,NA,2008,NT,NA,NA,NA,5,25,NT,0.2
132872,Favia vietnamensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2008,NT,NA,NA,NA,0,20,NT,0.2
132874,Scolymia lacera,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,NA,2008,LC,NA,NA,NA,10,80,LC,0
132876,Leptoseris tubulifera,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,NA,2008,LC,NA,NA,NA,15,25,LC,0
132877,Fungia fralinae,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,NA,2008,LC,NA,NA,NA,3,27,LC,0
132878,Favia maxima,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2014,NT,NA,NA,NA,2,25,NT,0.2
132879,Goniopora tenella,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,NA,2008,NT,NA,NA,NA,3,20,NT,0.2
132880,Pavona venosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,NA,2014,VU,A4c,NA,NA,2,20,VU,0.4
132881,Hydnophora rigida,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,NA,2014,LC,NA,NA,NA,0,40,LC,0
132883,Goniastrea australensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2014,LC,NA,NA,NA,0,40,LC,0
132884,Colpophyllia natans,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Boulder Brain Coral,2008,LC,NA,NA,NA,0.5,55,LC,0
132885,Leptoseris hawaiiensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,NA,2014,LC,NA,NA,NA,15,30,LC,0
132887,Leptoseris explanata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,NA,2014,LC,NA,NA,NA,15,30,LC,0
132888,Acropora secale,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2014,NT,NA,NA,NA,2,15,NT,0.2
132889,Porites nodifera,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,NA,2008,LC,NA,NA,NA,5,15,LC,0
132890,Catalaphyllia jardinei,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,NA,2008,VU,A4cd,NA,NA,0,40,VU,0.4
132893,Platygyra crosslandi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2008,NT,NA,NA,NA,2,20,NT,0.2
132894,Favia veroni,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2008,NT,NA,NA,NA,3,25,NT,0.2
132895,Hydnophora pilosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,NA,2014,LC,NA,NA,NA,5,30,LC,0
132899,Favia rosaria,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2008,VU,A4c,NA,NA,5,20,VU,0.4
132900,Symphyllia radians,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,NA,2008,LC,NA,NA,NA,0,40,LC,0
132901,Leptoseris amitoriensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,NA,2008,NT,NA,NA,NA,15,30,NT,0.2
132903,Leptoseris solida,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,NA,2014,LC,NA,NA,NA,10,30,LC,0
132904,Pavona minuta,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,NA,2014,NT,NA,NA,NA,6,25,NT,0.2
132905,Alveopora catalai,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,NA,2008,NT,NA,NA,NA,3,30,NT,0.2
132907,Echinomorpha nishihirai,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,NA,2008,NT,NA,NA,NA,5,20,NT,0.2
132909,Acropora turaki,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,VU,A4ce,NA,NA,10,20,VU,0.4
132910,Acropora divaricata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,NT,NA,NA,NA,5,25,NT,0.2
132911,Pavona maldivensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,NA,2014,LC,NA,NA,NA,5,20,LC,0
132913,Acropora rudis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,EN,A4ce,NA,NA,3,15,EN,0.6
132916,Turbinaria irregularis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,NA,2014,LC,NA,NA,NA,5,20,LC,0
132917,Gardineroseris planulata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,NA,2014,LC,NA,NA,NA,2,30,LC,0
132922,Montastrea curta,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2014,LC,NA,NA,NA,0,40,LC,0
132923,Pocillopora woodjonesi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,NA,2014,LC,NA,NA,NA,2,26,LC,0
132924,Pachyseris gemmae,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,NA,2008,NT,NA,NA,NA,10,25,NT,0.2
132925,Fungia hexagonalis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,NA,2014,LC,NA,NA,NA,10,25,LC,0
132927,Leptoseris striata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,NA,2008,NT,NA,NA,NA,15,30,NT,0.2
132928,Pectinia lactuca,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Lettuce Coral,2008,VU,A4cd,NA,NA,3,15,VU,0.4
132929,Acanthastrea subechinata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,NA,2008,NT,NA,NA,NA,0,35,NT,0.2
132931,Acropora willisae,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,VU,A4ce,NA,NA,10,20,VU,0.4
132933,Acropora carduus,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,NT,NA,NA,NA,3,50,NT,0.2
132935,Acropora plumosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,VU,A4ce,NA,NA,10,30,VU,0.4
132936,Favia pallida,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2014,LC,NA,NA,NA,0,50,LC,0
132937,Acropora spathulata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,LC,NA,NA,NA,0,10,LC,0
132940,Acropora acuminata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2014,VU,A4ce,NA,NA,5,20,VU,0.4
132942,Montipora patula,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,VU,D2,NA,NA,1,10,VU,0.4
132944,Montipora nodosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,NT,NA,NA,NA,1,30,NT,0.2
132947,Echinophyllia echinoporoides,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,NA,2008,LC,NA,NA,NA,3,30,LC,0
132948,Acropora granulosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2014,NT,NA,NA,NA,8,40,NT,0.2
132953,Merulina scheeri,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,NA,2008,LC,NA,NA,NA,2,45,LC,0
132956,Pectinia alcicornis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,NA,2014,VU,A4c,NA,NA,5,25,VU,0.4
132957,Turbinaria bifrons,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,NA,2008,VU,A4c,NA,NA,2,25,VU,0.4
132958,Pocillopora capitata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,NA,2014,LC,NA,NA,NA,1,20,LC,0
132960,Hydnophora grandis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,NA,2014,LC,NA,NA,NA,2,25,LC,0
132962,Symphyllia erythraea,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,NA,2008,LC,NA,NA,NA,2,45,LC,0
132963,Manicina areolata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Rose Coral,2008,LC,NA,NA,NA,1,65,LC,0
132967,Euphyllia yaeyamaensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,NA,2008,NT,NA,NA,NA,6,30,NT,0.2
132968,Halomitra clavator,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,NA,2008,VU,A4c,NA,NA,5,25,VU,0.4
132969,Acropora listeri,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2014,VU,A4ce,NA,NA,3,15,VU,0.4
132970,Agaricia lamarcki,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Lamarck's Sheet Coral,2008,VU,A4ce,NA,NA,10,76,VU,0.4
132972,Acropora paniculata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,VU,A4ce,NA,NA,10,35,VU,0.4
132974,Plerogyra discus,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,NA,2008,VU,A4c,NA,NA,8,15,VU,0.4
132975,Millepora tenera,ANIMALIA,CNIDARIA,HYDROZOA,MILLEPORINA,MILLEPORIDAE,NA,2014,LC,NA,NA,NA,0,15,LC,0
132976,Acropora loripes,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2014,NT,NA,NA,NA,5,25,NT,0.2
132978,Montastrea magnistellata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2014,NT,NA,NA,NA,2,30,NT,0.2
132979,Favites complanata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2008,NT,NA,NA,NA,1,30,NT,0.2
132980,Leptoria phrygia,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2014,NT,NA,NA,NA,0,30,NT,0.2
132981,Acropora hemprichii,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,VU,A4ce,NA,NA,3,15,VU,0.4
132983,Leptastrea bottae,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2014,NT,NA,NA,NA,2,20,NT,0.2
132984,Acropora derawanensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,VU,A4ce,NA,NA,10,25,VU,0.4
132985,Turbinaria radicalis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,NA,2008,NT,NA,NA,NA,2,25,NT,0.2
132986,Fungia repanda,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,NA,2014,LC,NA,NA,NA,1,30,LC,0
132987,Echinopora gemmacea,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2008,LC,NA,NA,NA,0,40,LC,0
132988,Acropora longicyathus,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,LC,NA,NA,NA,5,20,LC,0
132990,Acropora multiacuta,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,VU,A4ce,NA,NA,3,15,VU,0.4
132991,Coscinaraea crassa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,NA,2008,NT,NA,NA,NA,10,30,NT,0.2
132992,Acropora humilis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Finger Coral,2014,NT,NA,NA,NA,0,11,NT,0.2
132993,Zoopilus echinatus,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,NA,2008,LC,NA,NA,NA,12,20,LC,0
132995,Goniopora planulata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,NA,2008,VU,A4c,NA,NA,2,20,VU,0.4
132996,Fungia seychellensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,NA,2008,VU,A4c,NA,NA,5,25,VU,0.4
132997,Montastrea valenciennesi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2014,NT,NA,NA,NA,1,30,NT,0.2
132998,Acropora samoensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2014,LC,NA,NA,NA,5,15,LC,0
133001,Goniopora pandoraensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,NA,2014,LC,NA,NA,NA,1,20,LC,0
133002,Seriatopora stellata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,NA,2008,NT,NA,NA,NA,1,20,NT,0.2
133003,Leptastrea bewickensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2008,NT,NA,NA,NA,3,20,NT,0.2
133006,Acropora palmata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Elkhorn Coral,2008,CR,A2ace,NA,NA,0.100000001490116,40,CR,0.8
133008,Fungia spinifer,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,NA,2014,LC,NA,NA,NA,18,40,LC,0
133009,Favia albidus,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2008,NT,NA,NA,NA,2,10,NT,0.2
133010,Acropora elseyi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,LC,NA,NA,NA,5,15,LC,0
133011,Pocillopora ankeli,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,NA,2008,VU,A4c,NA,NA,1,10,VU,0.4
133012,Montastraea franksi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2008,VU,A4ce,NA,NA,5,50,VU,0.4
133013,Acropora grandis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2014,LC,NA,NA,NA,5,25,LC,0
133015,Montipora millepora,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,LC,NA,NA,NA,2,30,LC,0
133016,Porites vaughani,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,NA,2014,LC,NA,NA,NA,1,40,LC,0
133019,Galaxea cryptoramosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,OCULINIDAE,NA,2008,VU,A4c,NA,NA,5,15,VU,0.4
133020,Acropora tenuis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2014,NT,NA,NA,NA,8,20,NT,0.2
133021,Acropora microphthalma,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2014,LC,NA,NA,NA,5,25,LC,0
133023,Porites lichen,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,NA,2014,LC,NA,NA,NA,1,30,LC,0
133024,Merulina scabricula,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,NA,2014,LC,NA,NA,NA,1,40,LC,0
133025,Acropora vaughani,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2014,VU,A4ce,NA,NA,3,20,VU,0.4
133026,Mycedium mancaoi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,NA,2008,LC,NA,NA,NA,NA,NA,LC,0
133027,Siderastrea radians,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Lesser Starlet Coral,2008,LC,NA,NA,NA,0,3,LC,0
133028,Seriatopora caliendrum,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Birdsnest Coral,2014,NT,NA,NA,NA,1,40,NT,0.2
133029,Favia rotumana,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2014,LC,NA,NA,NA,1,30,LC,0
133031,Montipora effusa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,NT,NA,NA,NA,1,20,NT,0.2
133032,Lobophyllia flabelliformis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,NA,2008,VU,A4ce,NA,NA,3,30,VU,0.4
133033,Acropora pulchra,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,LC,NA,NA,NA,1,20,LC,0
133034,Fungia fragilis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,NA,2014,LC,NA,NA,NA,1,40,LC,0
133038,Porites nigrescens,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,NA,2014,VU,A4cde,NA,NA,0.5,20,VU,0.4
133039,Turbinaria conspicua,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,NA,2008,LC,NA,NA,NA,2,20,LC,0
133041,Pavona decussata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Cactus Coral,2014,VU,A4c,NA,NA,3,15,VU,0.4
133042,Millepora complanata,ANIMALIA,CNIDARIA,HYDROZOA,MILLEPORINA,MILLEPORIDAE,NA,2008,LC,NA,NA,NA,0,15,LC,0
133043,Psammocora digitata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,NA,2014,NT,NA,NA,NA,1,20,NT,0.2
133044,Cantharellus jebbi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,NA,2014,LC,NA,NA,NA,10,25,LC,0
133045,Pocillopora ligulata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,NA,2014,LC,NA,NA,NA,NA,NA,LC,0
133046,Anacropora spinosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2014,EN,A4ce,NA,NA,5,15,EN,0.6
133047,Mycetophyllia aliciae,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Knobby Cactus Coral,2008,LC,NA,NA,NA,10,85,LC,0
133048,Astreopora suggesta,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,LC,NA,NA,NA,5,15,LC,0
133049,Stylocoeniella guentheri,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ASTROCOENIIDAE,NA,2014,LC,NA,NA,NA,3,50,LC,0
133053,Scolymia cubensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Artichoke Coral,2008,LC,NA,NA,NA,10,92,LC,0
133054,Goniopora tenuidens,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,NA,2014,LC,NA,NA,NA,2,30,LC,0
133055,Favites halicora,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2014,NT,NA,NA,NA,0,20,NT,0.2
133056,Montipora spongiosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,LC,NA,NA,NA,1,20,LC,0
133057,Euphyllia paradivisa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,NA,2008,VU,A4cd,NA,NA,5,20,VU,0.4
133058,Echinophyllia echinata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,NA,2014,LC,NA,NA,NA,5,40,LC,0
133059,Platygyra verweyi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2008,NT,NA,NA,NA,1,20,NT,0.2
133060,Goniastrea favulus,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2008,NT,NA,NA,NA,0,15,NT,0.2
133062,Mycetophyllia lamarckiana,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Ridged Cactus Coarl,2008,LC,NA,NA,NA,10,75,LC,0
133063,Polyphyllia talpina,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Feather Coral,2014,LC,NA,NA,NA,1,30,LC,0
133065,Tubipora musica,ANIMALIA,CNIDARIA,ANTHOZOA,ALCYONACEA,TUBIPORIDAE,Organ Pipe Coral,2008,NT,NA,NA,NA,0,12,NT,0.2
133066,Montipora informis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2014,LC,NA,NA,NA,1,20,LC,0
133067,Platygyra yaeyamaensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2008,VU,A4c,NA,NA,1,20,VU,0.4
133068,Platygyra sinensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2008,LC,NA,NA,NA,0,30,LC,0
133069,Astreopora cucullata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2008,VU,A4ce,NA,NA,5,15,VU,0.4
133070,Montastrea colemani,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2014,NT,NA,NA,NA,0,20,NT,0.2
133071,Montipora foliosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,NA,2014,NT,NA,NA,NA,2,20,NT,0.2
133074,Goniastrea deformis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,NA,2008,VU,A4c,NA,NA,3,20,VU,0.4
