iucn_sid,sciname,kingdom,phylum,class,order,family,main_common_name,published_year,old_cat,criteria,aoo_km2,eoo_km2,depth_upper,depth_lower,cat,cat_score
155300,Pentapodus emeryii,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,NEMIPTERIDAE,Blue Whiptail,2010,LC,NA,NA,NA,20,NA,LC,0
155301,Rhinomuraena quaesita,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,MURAENIDAE,Ribbon Moray,2010,LC,NA,NA,NA,1,57,LC,0
155302,Nectamia annularis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,APOGONIDAE,Ringtail Cardinalfish,2010,LC,NA,NA,NA,0,17,LC,0
155304,Pomacentrus milleri,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Miller's Damselfish,2010,LC,NA,NA,NA,1,6,LC,0
155308,Centropyge loricula,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,Flame Angel,2010,LC,NA,NA,NA,15,60,LC,0
155309,Isacia conceptionis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,HAEMULIDAE,Cabinza Grunt,2010,LC,NA,NA,NA,0,50,LC,0
155310,Atherinomorus stipes,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINIDAE,Hardhead Silverside,2010,LC,NA,NA,NA,NA,NA,LC,0
155311,Raconda russeliana,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,PRISTIGASTERIDAE,Raconda,2010,LC,NA,NA,NA,NA,NA,LC,0
155313,Canthigaster leoparda,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Leopard Sharpnose Puffer,2010,LC,NA,NA,NA,30,100,LC,0
155314,Pseudocheilinus ocellatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,White-barred Pink Wrasse,2010,LC,NA,NA,NA,20,58,LC,0
155320,Nannobrachium gibbsi,ANIMALIA,CHORDATA,ACTINOPTERYGII,MYCTOPHIFORMES,MYCTOPHIDAE,Gibbs Lanternfish,2010,LC,NA,NA,NA,NA,NA,LC,0
155321,Helcogramma decurrens,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,TRIPTERYGIIDAE,Black-throated Triplefin,2010,LC,NA,NA,NA,0,13,LC,0
155322,Plectrogenium nanum,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,PLECTROGENIDAE,Dwarf Thornyhead,2010,LC,NA,NA,NA,250,650,LC,0
155325,Ogcocephalus pumilus,ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,OGCOCEPHALIDAE,Dwarf Batfish,2010,LC,NA,NA,NA,35,348,LC,0
155326,Acanthistius ocellatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SERRANIDAE,Eastern Wirrah,2010,LC,NA,NA,NA,4,100,LC,0
155327,Crocodilichthys gracilis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,TRIPTERYGIIDAE,Lizard Triplefin,2010,LC,NA,NA,NA,3,40,LC,0
155328,Paratriacanthodes herrei,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TRIACANTHODIDAE,Banded Spikefish,2010,LC,NA,NA,NA,183,194,LC,0
155329,Ophichthus altipennis,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,OPHICHTHIDAE,NA,2010,LC,NA,NA,NA,1,40,LC,0
