am_sid,sciname,common_name,kingdom,phylum,class,iucn_sid,taxa
Fis-47310,Cheilopogon pitcairnensis,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47311,Cheilopogon rapanouiensis,Easter island flyingfish,Animalia,Chordata,Actinopterygii,155257,bony fish
Fis-47328,Parascolopsis baranesi,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47330,Branchiostegus ilocanus,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47364,Rhinobatos formosensis,Taiwan guitarfish,Animalia,Chordata,Elasmobranchii,60165,cart fish
Fis-131892,Dipturus gigas,Giant skate,Animalia,Chordata,Elasmobranchii,161393,cart fish
Fis-47388,Rhinoptera adspersa,Rough cownose ray,Animalia,Chordata,Elasmobranchii,NA,cart fish
Fis-159585,Insentiraja subtilispinosa,Velvet skate,Animalia,Chordata,Elasmobranchii,161553,cart fish
Fis-47409,Johnius pacificus,Pacific croaker,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47435,Larimichthys pamoides,Southern yellow croaker,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47441,Panna perarmatus,Armour croaker,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47484,Cottunculus sadko,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-139780,Himantura walga,Dwarf whipray,Animalia,Chordata,Elasmobranchii,161579,cart fish
Fis-47521,Careproctus micropus,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47543,Iso hawaiiensis,Hawaiian surf sardine,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47559,Engyprosopon bellonaensis,Bellona flounder,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47565,Engyprosopon hureaui,Hureau's flounder,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47573,Laeops gracilis,Philippine slender flounder,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47585,Engyprosopon longipterum,Long pectoral fin flounder,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47587,Psettina profunda,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47593,Dysomma fuscoventralis,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47594,Facciolella saurencheloides,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47604,Physiculus marisrubri,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47639,Harpadon erythraeus,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47673,Hoplostethus shubnikovi,Metavay sawbelly,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-163012,Aulotrachichthys sajademalensis,Saya de Malha luminous roughy,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47704,Poromitra crassa,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47731,Hoplostethus mikhailini,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47736,Hoplostethus druzhinini,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47770,Phaenomonas cooperae,Short-maned sand-eel,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-164032,Yirrkala timorensis,Earthworm snake-eel,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47776,Yirrkala tenuis,Thin sand-eel,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47779,Hoplostethus metallicus,Metallic roughy,Animalia,Chordata,Actinopterygii,155147,bony fish
Fis-47818,Aplodactylus westralis,Western seacarp,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-53676,Crenimugil heterocheilos,Half fringelip mullet,Animalia,Chordata,Actinopterygii,196422,bony fish
Fis-48115,Neocyema erythrosoma,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
