speciesid,speccode,genus,species,fbname,kingdom,phylum,class,order,family,iucn_id,iucn_code,iucn_version,expert_id
Fis-22838,148,Thunnus,tonggol,Longtail tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170351,DD,2015-2,7
Fis-46990,149,Rhinobatos,planiceps,Pacific guitarfish,Animalia,Chordata,Elasmobranchii,Rajiformes,Rhinobatidae,44584,DD,2015-2,NA
Fis-22779,152,Lutjanus,guttatus,Spotted rose snapper,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,183777,LC,2015-2,7
Fis-22780,153,Lutjanus,inermis,Golden snapper,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,183282,LC,2015-2,NA
Fis-22782,155,Lutjanus,jordani,Jordan's snapper,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,183780,LC,2015-2,NA
Fis-22772,167,Callorhinchus,capensis,Cape elephantfish,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,60138,LC,2015-2,NA
Fis-22791,168,Lutjanus,notatus,Bluestriped snapper,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,154742,LC,2015-2,NA
Fis-29441,169,Lutjanus,novemfasciatus,Pacific dog snapper,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,183311,LC,2015-2,NA
Fis-22792,170,Lutjanus,peru,Pacific red snapper,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,183334,LC,2015-2,NA
Fis-29369,175,Elops,saurus,Ladyfish,Animalia,Chordata,Actinopterygii,Elopiformes,Elopidae,191822,LC,2015-2,NA
Fis-22800,183,Lutjanus,viridis,Blue and gold snapper,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,183596,LC,2015-2,NA
Fis-22221,205,Pristipomoides,freemani,Slender wenchman,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,154682,LC,2015-2,7
Fis-29447,216,Makaira,nigricans,Blue marlin,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,170314,VU,2015-2,16
Fis-164254,217,Istiompax,indica,Black marlin,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,170312,DD,2015-2,7
Fis-164253,219,Kajikia,albida,Atlantic white marlin,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,170322,VU,2015-2,NA
Fis-8203,222,Tetrapturus,georgii,Roundscale spearfish,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,170333,DD,2015-2,NA
Fis-163398,223,Kajikia,audax,Striped marlin,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,170309,NT,2015-2,24
Fis-29576,226,Xiphias,gladius,Swordfish,Animalia,Chordata,Actinopterygii,Perciformes,Xiphiidae,23148,LC,2015-2,7
Fis-22902,227,Megalops,cyprinoides,Indo-Pacific tarpon,Animalia,Chordata,Actinopterygii,Elopiformes,Megalopidae,166868,DD,2015-2,NA
Fis-29498,229,Pterothrissus,belloci,Longfin bonefish,Animalia,Chordata,Actinopterygii,Albuliformes,Albulidae,194305,DD,2015-2,NA
Fis-52418,232,Coregonus,lavaretus,European whitefish,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,5369,VU,2015-2,NA
Fis-29501,236,Salmo,salar,Atlantic salmon,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,19855,LR/lc,2015-2,11
Fis-21630,238,Salmo,trutta,Sea trout,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,19861,LC,2015-2,7
Fis-22918,242,Oncorhynchus,masou masou,Masu salmon,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,15319,EN,2015-2,7
Fis-22920,243,Oncorhynchus,nerka,Sockeye salmon,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,135301,LC,2015-2,7
Fis-153593,247,Salvelinus,alpinus alpinus,Arctic char,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,19877,LC,2015-2,7
Fis-60263,251,Plecoglossus,altivelis altivelis,Ayu sweetfish,Animalia,Chordata,Actinopterygii,Osmeriformes,Plecoglossidae,62222,DD,2015-2,NA
Fis-22922,253,Osmerus,mordax,Rainbow smelt,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,202413,LC,2015-2,NA
Fis-22963,256,Thaleichthys,pacificus,Eulachon,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,202415,LC,2015-2,NA
Fis-22842,279,Anchoa,curta,Short anchovy,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,183619,LC,2015-2,NA
Fis-22844,280,Anchoa,eigenmannia,Eigenmann's anchovy,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,183635,LC,2015-2,7
Fis-29274,295,Anguilla,japonica,Japanese eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,166184,EN,2015-2,24
Fis-22845,296,Anguilla,rostrata,American eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,191108,EN,2015-2,7
Fis-22909,316,Microgadus,tomcod,Atlantic tomcod,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,202405,LC,2015-2,NA
Fis-22908,326,Merluccius,productus,North Pacific hake,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,183411,LC,2015-2,7
Fis-22897,333,Macroramphosus,scolopax,Longspine snipefish,Animalia,Chordata,Actinopterygii,Syngnathiformes,Centriscidae,155030,LC,2015-2,NA
Fis-22932,349,Polyprion,americanus,Wreckfish,Animalia,Chordata,Actinopterygii,Perciformes,Polyprionidae,43972,DD,2015-2,NA
Fis-22840,351,Acanthistius,brasilianus,Argentine seabass,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,154987,DD,2015-2,25
Fis-22926,352,Paralabrax,humeralis,Peruvian rock seabass,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,183746,DD,2015-2,NA
Fis-22911,353,Morone,saxatilis,Striped bass,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,192942,LC,2015-2,7
Fis-22910,355,Morone,americana,White perch,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,184088,LC,2015-2,7
Fis-29573,367,Trachurus,murphyi,Chilean jack mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,183965,DD,2015-2,16
Fis-22970,368,Trachurus,symmetricus,Pacific jack mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,183729,LC,2015-2,NA
Fis-22872,374,Decapterus,russelli,Indian scad,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,155043,LC,2015-2,7
Fis-22853,377,Exyrias,puntang,Puntang goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,193092,LC,2015-2,NA
Fis-22913,396,Nemipterus,virgatus,Golden threadfin bream,Animalia,Chordata,Actinopterygii,Perciformes,Nemipteridae,154900,VU,2015-2,NA
Fis-22885,397,Isacia,conceptionis,Cabinza grunt,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,155309,LC,2015-2,NA
Fis-22934,399,Pomadasys,argenteus,Silver grunt,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,172404,LC,2015-2,7
Fis-23016,419,Argyrosomus,hololepidotus,Southern meagre,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,63570,EN,2015-2,7
Fis-23135,422,Genyonemus,lineatus,White croaker,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,154755,NT,2015-2,NA
Fis-23210,424,Paralonchurus,peruanus,Peruvian banded croaker,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,183581,LC,2015-2,NA
Fis-23120,426,Epinephelus,aeneus,White grouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,132722,NT,2015-2,NA
Fis-23293,458,Tautoga,onitis,Tautog,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,187479,VU,2015-2,7
Fis-23211,464,Parapercis,colias,New Zealand blue cod,Animalia,Chordata,Actinopterygii,Perciformes,Pinguipedidae,154870,LC,2015-2,7
Fis-164093,472,Pleuragramma,antarctica,Antarctic silverfish,Animalia,Chordata,Actinopterygii,Perciformes,Nototheniidae,154785,LC,2015-2,NA
Fis-23313,481,Trisopterus,minutus,Poor cod,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,154897,LC,2015-2,NA
Fis-23215,493,Peprilus,simillimus,Pacific pompano,Animalia,Chordata,Actinopterygii,Perciformes,Stromateidae,183337,LC,2015-2,NA
Fis-23224,497,Psenopsis,anomala,Pacific rudderfish,Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae,155177,LC,2015-2,NA
Fis-29522,505,Sebastes,mentella,Beaked redfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,154816,LC,2015-2,7
Fis-23092,507,Chelidonichthys,kumu,Bluefin gurnard,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,154895,LC,2015-2,NA
Fis-16989,521,Limanda,ferruginea,Yellowtail flounder,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,17710,VU,2015-2,25
Fis-8265,526,Dicologlossa,cuneata,Wedge sole,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,155215,LC,2015-2,NA
Fis-23034,527,Austroglossus,microlepis,West coast sole,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,155236,DD,2015-2,25
Fis-22990,539,Anchoa,starksi,Starks's anchovy,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,184000,LC,2015-2,NA
Fis-29272,542,Anchoa,walkeri,Persistent anchovy,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,155020,LC,2015-2,NA
Fis-22995,544,Anchovia,macrolepidota,Bigscale anchovy,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,183917,LC,2015-2,NA
Fis-23089,548,Cetengraulis,mysticetus,Pacific anchoveta,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,183878,LC,2015-2,NA
Fis-23181,553,Lycengraulis,poeyi,Pacific sabretooth anchovy,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,183379,LC,2015-2,NA
Fis-29425,572,Labrus,bergylta,Ballan wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,187398,LC,2015-2,NA
Fis-23303,594,Thryssa,mystax,Moustached thryssa,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,155240,LC,2015-2,NA
Fis-29353,631,Coilia,neglecta,Neglected grenadier anchovy,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,154743,LC,2015-2,NA
Fis-29338,635,Chlamydoselachus,anguineus,Frilled shark,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Chlamydoselachidae,41794,NT,2015-2,7
Fis-23149,636,Heptranchias,perlo,Sharpnose sevengill shark,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,41823,NT,2015-2,7
Fis-23157,637,Hexanchus,griseus,Bluntnose sixgill shark,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,10030,NT,2015-2,NA
Fis-29416,638,Hexanchus,nakamurai,Bigeyed sixgill shark,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,161352,DD,2015-2,NA
Fis-23113,641,Echinorhinus,brucus,Bramble shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Echinorhinidae,41801,DD,2015-2,NA
Fis-29367,642,Echinorhinus,cookei,Prickly shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Echinorhinidae,41802,NT,2015-2,7
Fis-23171,643,Lepadogaster,lepadogaster,Shore clingfish,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,194812,LC,2015-2,NA
Fis-29262,644,Aculeola,nigra,Hooktooth dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,44653,DD,2015-2,NA
Fis-23075,648,Centrophorus,granulosus,Gulper shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,39325,VU,2015-2,7
Fis-29319,649,Centrophorus,harrissoni,Dumb gulper shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,41740,EN,2015-2,7
Fis-29320,650,Centrophorus,lusitanicus,Lowfin gulper shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,161442,VU,2015-2,7
Fis-29321,651,Centrophorus,moluccensis,Smallfin gulper shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,42838,DD,2015-2,NA
Fis-23076,653,Centrophorus,squamosus,Leafscale gulper shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,41871,VU,2015-2,16
Fis-23078,656,Centroscyllium,fabricii,Black dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,161521,LC,2015-2,7
Fis-29325,658,Centroscyllium,kamoharai,Bareskin dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,41746,DD,2015-2,NA
Fis-29326,660,Centroscyllium,nigrum,Combtooth dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,44514,DD,2015-2,NA
Fis-29328,662,Centroscymnus,coelolepis,Portuguese dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae,41747,NT,2015-2,16
Fis-23074,663,Centroscymnus,crepidater,Longnose velvet dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae,46864,LC,2015-2,7
Fis-61506,666,Centroscymnus,owstonii,Roughskin dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae,41749,LC,2015-2,7
Fis-23080,667,Centroscymnus,plunketi,Plunket shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae,46865,NT,2015-2,7
Fis-29340,668,Cirrhigaleus,barbifer,Mandarin dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,41795,DD,2015-2,7
Fis-23101,669,Dalatias,licha,Kitefin shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Dalatiidae,6229,NT,2015-2,7
Fis-23103,670,Deania,calcea,Birdbeak dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,41798,LC,2015-2,7
Fis-23104,672,Deania,profundorum,Arrowhead dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,161551,LC,2015-2,7
