loiczid,n_spp,mean_risk
176299,76,0.1473684210526316
176300,84,0.14047619047619048
176301,95,0.12631578947368421
176302,96,0.125
176303,78,0.12307692307692308
176304,98,0.12244897959183673
176305,91,0.13186813186813187
176306,69,0.1565217391304348
176307,66,0.16363636363636364
176308,114,0.10701754385964912
176309,132,0.09393939393939395
176345,209,0.08229665071770335
176346,334,0.07784431137724551
176347,236,0.08898305084745763
176348,57,0.1298245614035088
176349,57,0.1298245614035088
176350,56,0.13214285714285715
176351,53,0.13584905660377358
176352,52,0.12692307692307692
176353,64,0.115625
176354,52,0.12692307692307692
176355,57,0.12631578947368421
176356,69,0.11014492753623188
176357,54,0.11851851851851852
176358,52,0.12307692307692308
176359,54,0.11851851851851852
176360,72,0.1
176361,80,0.0925
176362,86,0.08604651162790698
176363,85,0.08705882352941177
176364,98,0.07959183673469387
176365,102,0.0784313725490196
176366,103,0.07766990291262137
176367,96,0.08333333333333334
176368,84,0.09047619047619047
176369,59,0.11186440677966102
176370,70,0.10285714285714286
176371,60,0.11
176372,64,0.1125
176373,101,0.07920792079207921
176374,128,0.07968750000000001
176375,145,0.07724137931034483
176376,190,0.07789473684210527
176377,171,0.08421052631578947
176378,83,0.09879518072289158
176379,88,0.09772727272727273
176380,57,0.13333333333333333
176381,58,0.12413793103448276
176382,57,0.12280701754385966
176383,58,0.1206896551724138
176384,65,0.11076923076923077
176385,81,0.09135802469135802
176386,79,0.09367088607594937
176387,71,0.10140845070422536
176388,59,0.11186440677966102
176389,59,0.11186440677966102
176390,56,0.1142857142857143
176391,56,0.1142857142857143
176392,56,0.1142857142857143
176393,57,0.11228070175438597
176394,57,0.11228070175438597
176395,56,0.1142857142857143
176396,53,0.12075471698113208
176397,54,0.11851851851851852
176398,81,0.09135802469135802
176399,78,0.09487179487179488
176400,57,0.11228070175438597
176401,103,0.08155339805825243
176402,131,0.07633587786259542
176403,70,0.12285714285714286
176404,47,0.14893617021276595
176405,43,0.13953488372093023
176406,43,0.13953488372093023
176407,43,0.13953488372093023
176408,42,0.14285714285714285
176409,44,0.1590909090909091
176410,42,0.14285714285714285
176411,41,0.13170731707317074
176412,41,0.13170731707317074
176413,41,0.13170731707317074
176414,41,0.13170731707317074
176415,41,0.13170731707317074
176416,37,0.12972972972972974
176417,47,0.13617021276595745
176418,34,0.14705882352941177
176419,26,0.08461538461538462
176420,29,0.1103448275862069
176421,30,0.10666666666666667
176422,27,0.0962962962962963
176423,23,0.09565217391304348
176424,19,0.11578947368421054
176425,18,0.12222222222222223
176426,15,0.14666666666666667
176427,13,0.15384615384615385
176428,14,0.14285714285714288
176429,14,0.14285714285714288
176430,13,0.15384615384615385
176431,14,0.18571428571428572
176432,13,0.15384615384615385
176433,13,0.15384615384615385
176434,13,0.15384615384615385
176435,13,0.15384615384615385
176436,14,0.14285714285714288
176437,14,0.14285714285714288
176438,12,0.16666666666666669
176439,12,0.16666666666666669
176440,13,0.15384615384615385
176441,14,0.14285714285714288
176442,13,0.15384615384615385
176443,13,0.15384615384615385
176444,15,0.17333333333333334
176445,12,0.16666666666666669
176446,12,0.16666666666666669
176447,12,0.16666666666666669
176448,12,0.16666666666666669
176449,13,0.15384615384615385
176450,16,0.1375
176451,18,0.15555555555555556
176452,15,0.14666666666666667
176453,17,0.16470588235294117
176454,19,0.1473684210526316
176455,18,0.15555555555555556
176456,21,0.13333333333333333
176457,22,0.1272727272727273
176458,21,0.13333333333333333
176459,22,0.1272727272727273
176460,20,0.14
176461,18,0.15555555555555556
176462,18,0.15555555555555556
176463,25,0.136
176464,20,0.17
176465,21,0.1619047619047619
176466,22,0.15454545454545454
176467,21,0.1619047619047619
176468,22,0.15454545454545454
176469,20,0.14
176470,19,0.17894736842105263
176471,19,0.17894736842105263
176472,18,0.18888888888888888
176473,19,0.1473684210526316
176474,18,0.15555555555555556
176475,18,0.18888888888888888
176476,18,0.18888888888888888
176477,19,0.1473684210526316
176478,18,0.18888888888888888
176479,18,0.18888888888888888
176480,16,0.2125
176481,16,0.2125
176482,16,0.2125
176483,16,0.2125
176484,15,0.21333333333333335
176485,15,0.21333333333333335
176486,15,0.21333333333333335
176487,14,0.18571428571428572
176488,13,0.2
176489,13,0.2
176490,13,0.24615384615384617
176491,12,0.23333333333333334
176492,8,0.225
176493,11,0.23636363636363636
176494,11,0.23636363636363636
176495,7,0.2
176496,7,0.2
176497,7,0.2
176498,11,0.23636363636363636
176499,8,0.175
176500,14,0.18571428571428572
176501,8,0.175
176502,7,0.2
176503,7,0.2
176504,7,0.2
176505,8,0.175
176506,8,0.175
176507,9,0.15555555555555556
176508,7,0.2
176509,9,0.15555555555555556
176510,7,0.2
176511,4,0.25
176512,5,0.2
176513,5,0.2
176514,4,0.25
176515,5,0.2
176516,8,0.175
176517,7,0.2
176518,7,0.2
176519,5,0.2
176520,5,0.2
176521,6,0.16666666666666666
176522,5,0.2
176523,5,0.2
176524,4,0.25
176525,1,0.6
176526,4,0.25
176527,1,0.6
176528,2,0.3
176529,2,0.3
176530,4,0.25
176531,5,0.2
176532,5,0.2
176533,5,0.2
176534,3,0.19999999999999998
176535,1,0.6
176536,5,0.2
176537,2,0.3
176538,2,0.3
176539,2,0.3
176540,2,0.3
176541,5,0.2
176542,5,0.2
176543,7,0.2
176544,8,0.175
176545,8,0.175
176546,7,0.2
176547,13,0.2
176548,14,0.22857142857142856
176549,14,0.22857142857142856
176550,11,0.18181818181818182
176551,15,0.21333333333333335
176552,15,0.21333333333333335
176553,16,0.25
176554,11,0.23636363636363636
176555,9,0.22222222222222224
176556,12,0.21666666666666667
176557,17,0.23529411764705882
176558,17,0.23529411764705882
176559,17,0.23529411764705882
176560,17,0.23529411764705882
176561,17,0.23529411764705882
176562,17,0.23529411764705882
176563,17,0.23529411764705882
176564,20,0.21000000000000002
176565,21,0.2
176566,17,0.23529411764705882
176567,17,0.23529411764705882
176568,17,0.23529411764705882
176569,17,0.23529411764705882
176570,21,0.2
176571,24,0.17500000000000002
176572,25,0.168
176573,22,0.19090909090909092
176574,22,0.19090909090909092
176575,21,0.2
176576,25,0.168
176577,35,0.14857142857142858
176578,44,0.1590909090909091
176579,47,0.16595744680851066
176580,47,0.16595744680851066
176581,48,0.15416666666666667
176582,48,0.15416666666666667
176583,46,0.16956521739130434
176584,52,0.15
176585,50,0.156
176586,50,0.156
176587,50,0.168
176588,49,0.15918367346938775
176589,50,0.168
176590,50,0.168
176591,49,0.15918367346938775
176592,48,0.1625
176593,49,0.15918367346938775
176594,48,0.1625
176595,48,0.1625
176596,48,0.1625
176597,49,0.15918367346938775
176598,49,0.15918367346938775
176599,48,0.1625
176600,49,0.15918367346938775
176601,50,0.156
176602,50,0.156
176603,51,0.15294117647058825
176604,52,0.1576923076923077
176605,51,0.1607843137254902
176606,51,0.1607843137254902
176607,49,0.15510204081632653
176608,48,0.15833333333333333
176609,47,0.16170212765957448
176610,46,0.16521739130434784
176611,46,0.15217391304347827
176612,52,0.1346153846153846
176613,92,0.09565217391304348
176614,45,0.15555555555555556
176615,39,0.1641025641025641
176616,54,0.12592592592592594
176617,118,0.08813559322033898
176618,83,0.09397590361445783
176655,14,0.1
176656,14,0.1
176657,17,0.3647058823529412
176658,19,0.3263157894736842
176659,52,0.2230769230769231
176660,63,0.16507936507936508
176661,84,0.11904761904761905
176662,68,0.14411764705882354
176663,56,0.14285714285714285
176664,50,0.14400000000000002
176665,44,0.1590909090909091
176666,42,0.1523809523809524
176667,38,0.15263157894736842
176668,38,0.15263157894736842
176669,39,0.14871794871794872
176670,39,0.14871794871794872
176671,39,0.14871794871794872
176672,39,0.14871794871794872
176673,42,0.14285714285714285
176674,42,0.14285714285714285
176675,40,0.15
176676,41,0.14634146341463417
176677,40,0.15
176678,40,0.15
176679,39,0.13846153846153847
176680,35,0.12000000000000001
176681,35,0.12000000000000001
176682,35,0.12000000000000001
176683,30,0.1
176684,34,0.12352941176470589
176685,35,0.12000000000000001
176686,33,0.1272727272727273
176687,37,0.11351351351351352
176688,33,0.09090909090909091
176689,32,0.09375
176690,32,0.09375
176691,33,0.09090909090909091
176692,33,0.09090909090909091
176693,34,0.10588235294117647
176694,34,0.10588235294117647
176695,34,0.10588235294117647
176696,35,0.10285714285714286
176697,32,0.09375
176698,34,0.10588235294117647
176699,32,0.09375
176700,32,0.09375
176701,24,0.125
176702,23,0.13043478260869565
176703,21,0.14285714285714285
176704,20,0.15
176705,22,0.13636363636363638
176706,18,0.14444444444444446
176707,22,0.13636363636363638
176708,23,0.10434782608695653
176709,20,0.12000000000000001
176710,15,0.10666666666666667
176711,12,0.11666666666666667
176712,17,0.11764705882352942
176713,18,0.11111111111111112
176714,20,0.15
176715,14,0.14285714285714285
176716,14,0.14285714285714285
176717,21,0.14285714285714285
176718,21,0.14285714285714285
176719,25,0.14400000000000002
176720,25,0.14400000000000002
176721,22,0.16363636363636364
176722,21,0.17142857142857143
176723,20,0.16
176724,23,0.1565217391304348
176725,24,0.15
176726,23,0.1565217391304348
176727,21,0.17142857142857143
176728,19,0.16842105263157894
176729,21,0.17142857142857143
176730,22,0.16363636363636364
176731,33,0.1090909090909091
176732,28,0.1285714285714286
176733,25,0.14400000000000002
176734,24,0.15
176735,22,0.16363636363636364
176736,17,0.18823529411764706
176737,12,0.16666666666666669
176738,12,0.16666666666666669
176739,12,0.16666666666666669
176740,14,0.18571428571428572
176741,16,0.2
176742,12,0.16666666666666669
176743,11,0.18181818181818182
176744,12,0.16666666666666669
176745,13,0.2
176746,12,0.16666666666666669
176747,12,0.16666666666666669
176748,13,0.2
176749,13,0.2
176750,14,0.18571428571428572
176751,14,0.18571428571428572
176752,14,0.18571428571428572
176753,14,0.18571428571428572
176754,14,0.18571428571428572
176755,27,0.14814814814814814
176756,23,0.1391304347826087
176757,18,0.17777777777777778
176758,20,0.18
176759,22,0.16363636363636364
176760,26,0.13846153846153847
176761,24,0.15
176762,20,0.18
176763,22,0.16363636363636364
176764,35,0.10285714285714286
176765,34,0.11764705882352941
176766,31,0.11612903225806452
176767,28,0.12142857142857143
176768,43,0.13023255813953488
176769,44,0.13636363636363638
176770,43,0.13953488372093023
176771,41,0.13170731707317074
176772,46,0.11739130434782609
176773,46,0.11739130434782609
176774,46,0.11739130434782609
176775,47,0.1148936170212766
176776,47,0.1148936170212766
176777,45,0.12000000000000001
176778,47,0.14042553191489363
176779,47,0.14042553191489363
176780,47,0.14042553191489363
176781,49,0.1469387755102041
176782,50,0.132
176783,50,0.14400000000000002
176784,52,0.13846153846153847
176785,53,0.1471698113207547
176786,57,0.1473684210526316
176787,58,0.15172413793103448
176788,58,0.15172413793103448
176789,57,0.14385964912280702
176790,61,0.13442622950819672
176791,63,0.13015873015873017
176792,69,0.12173913043478261
176793,105,0.09714285714285714
176794,113,0.1079646017699115
176795,84,0.11904761904761905
176796,32,0.1375
176797,63,0.17142857142857143
176816,44,0.19090909090909092
176817,161,0.13664596273291926
176818,231,0.11515151515151516
176819,112,0.09107142857142858
176820,68,0.11470588235294119
176821,63,0.11428571428571428
176822,63,0.11428571428571428
176823,62,0.11612903225806452
176824,62,0.11612903225806452
176825,61,0.1180327868852459
176826,61,0.1180327868852459
176827,64,0.115625
176828,72,0.11111111111111112
176829,85,0.10588235294117647
176830,84,0.10714285714285715
176831,89,0.10337078651685394
176832,84,0.1
176833,69,0.1072463768115942
176834,50,0.132
176835,47,0.1276595744680851
176836,47,0.1276595744680851
176837,48,0.125
176838,48,0.125
176839,48,0.125
176840,47,0.1276595744680851
176841,47,0.1276595744680851
176842,47,0.1276595744680851
176843,46,0.13043478260869565
176844,47,0.1276595744680851
176845,49,0.1346938775510204
176846,53,0.12452830188679245
176847,72,0.10277777777777777
176848,78,0.10512820512820513
176849,75,0.10666666666666667
176850,71,0.11267605633802817
176851,69,0.1072463768115942
176852,66,0.1090909090909091
176853,60,0.12000000000000001
176854,54,0.12222222222222222
176855,50,0.132
176856,49,0.1346938775510204
176857,48,0.1375
176858,48,0.1375
176859,47,0.1276595744680851
176860,47,0.1276595744680851
176861,46,0.13043478260869565
176862,43,0.11627906976744186
176863,43,0.11627906976744186
176864,44,0.12272727272727273
176865,39,0.11794871794871795
176866,34,0.10588235294117647
176867,38,0.11052631578947368
176868,32,0.075
176869,38,0.12631578947368421
176870,49,0.1346938775510204
176871,49,0.1346938775510204
176872,49,0.1346938775510204
176873,55,0.13090909090909092
176874,51,0.12549019607843137
176875,58,0.12413793103448276
176876,45,0.12444444444444444
176877,44,0.13636363636363635
176878,44,0.1272727272727273
176879,38,0.12631578947368421
176880,28,0.10714285714285715
176881,31,0.11612903225806452
176882,28,0.10714285714285715
176883,30,0.1
176884,21,0.08571428571428572
176885,18,0.1
176886,18,0.13333333333333333
176887,18,0.1
176888,21,0.08571428571428572
176889,18,0.1
176890,18,0.1
176891,24,0.07500000000000001
176892,25,0.096
176893,27,0.08888888888888889
176894,24,0.07500000000000001
176895,24,0.07500000000000001
176896,26,0.09230769230769231
176897,35,0.10285714285714286
176898,35,0.10285714285714286
176899,26,0.06923076923076923
176900,26,0.06923076923076923
176901,28,0.08571428571428572
176902,29,0.08275862068965517
176903,27,0.08888888888888889
176904,26,0.11538461538461539
176905,24,0.1
176906,24,0.125
176907,27,0.12592592592592594
176908,30,0.11333333333333334
176909,34,0.12941176470588237
176910,44,0.1272727272727273
176911,45,0.13333333333333333
176912,48,0.125
176913,45,0.13333333333333333
176914,39,0.13333333333333333
176915,41,0.13658536585365855
176916,45,0.12444444444444444
176917,36,0.12777777777777777
176918,32,0.10625
176919,32,0.10625
176920,43,0.13023255813953488
176921,39,0.1435897435897436
176922,41,0.14634146341463414
176923,42,0.14761904761904762
176924,41,0.14634146341463414
176925,53,0.12452830188679245
176926,40,0.15
176927,39,0.1435897435897436
176928,47,0.1276595744680851
176929,64,0.1125
176930,43,0.14418604651162792
176931,43,0.14418604651162792
176932,43,0.14418604651162792
176933,45,0.13777777777777778
176934,43,0.14418604651162792
176935,46,0.13043478260869565
176936,45,0.12000000000000001
176937,36,0.1388888888888889
176938,36,0.1388888888888889
176939,34,0.14705882352941177
176940,32,0.14375000000000002
176941,35,0.14285714285714285
176942,39,0.12820512820512822
176943,39,0.12820512820512822
176944,37,0.13513513513513514
176945,36,0.13333333333333333
176946,35,0.13714285714285715
176947,38,0.13157894736842105
176948,36,0.13333333333333333
176949,37,0.13513513513513514
