iucn_sid,year,cat_ts,cat_ts_score,iucn_version
46104287,2014,LC,0,2017-3
46104430,2014,LC,0,2017-3
46104765,2014,LC,0,2017-3
46104789,2014,LC,0,2017-3
46104928,2015,LC,0,2017-3
46104959,2015,LC,0,2017-3
46105095,2015,LC,0,2017-3
46105306,2015,LC,0,2017-3
46105545,2015,LC,0,2017-3
46105847,2015,LC,0,2017-3
46106057,2015,LC,0,2017-3
46106266,2015,LC,0,2017-3
46106542,2015,LC,0,2017-3
46107486,2015,LC,0,2017-3
46107620,2015,LC,0,2017-3
46107890,2015,LC,0,2017-3
46108119,2015,LC,0,2017-3
46108252,2015,LC,0,2017-3
46109095,2015,LC,0,2017-3
46109104,2015,LC,0,2017-3
46109137,2015,LC,0,2017-3
4615,1982,EN,0.6,2017-3
4615,1986,EN,0.6,2017-3
4615,1988,EN,0.6,2017-3
4615,1990,EN,0.6,2017-3
4615,1994,EN,0.6,2017-3
4615,1996,EN,0.6,2017-3
4615,2004,EN,0.6,2017-3
46864,2003,LC,0,2017-3
46865,2003,NT,0.2,2017-3
46967807,2013,CR,0.8,2017-3
46967817,2013,CR,0.8,2017-3
46967827,2013,LC,0,2017-3
46967838,2013,CR,0.8,2017-3
46967863,2013,CR,0.8,2017-3
47103310,2013,CR,0.8,2017-3
47113738,2017,LC,0,2017-3
47137303,2014,NT,0.2,2017-3
47137465,2014,LC,0,2017-3
47137515,2014,NT,0.2,2017-3
47139706,2015,LC,0,2017-3
47140942,2014,LC,0,2017-3
47141089,2014,LC,0,2017-3
47141104,2014,LC,0,2017-3
47141177,2014,LC,0,2017-3
47141289,2014,LC,0,2017-3
47141293,2014,LC,0,2017-3
47141351,2014,LC,0,2017-3
47141354,2014,VU,0.4,2017-3
47141570,2014,LC,0,2017-3
47141697,2014,LC,0,2017-3
47141712,2014,VU,0.4,2017-3
47142330,2014,LC,0,2017-3
47142915,2014,LC,0,2017-3
47142918,2014,LC,0,2017-3
47142939,2015,LC,0,2017-3
47142954,2014,LC,0,2017-3
47143163,2014,LC,0,2017-3
47143173,2014,LC,0,2017-3
47143176,2014,VU,0.4,2017-3
47143216,2014,LC,0,2017-3
47143309,2014,LC,0,2017-3
47143381,2014,LC,0,2017-3
47143391,2014,LC,0,2017-3
47143394,2014,LC,0,2017-3
47143398,2014,LC,0,2017-3
47143407,2014,LC,0,2017-3
47143432,2014,LC,0,2017-3
47143452,2014,LC,0,2017-3
47143476,2014,LC,0,2017-3
47143653,2015,LC,0,2017-3
47143869,2014,LC,0,2017-3
47144358,2014,LC,0,2017-3
47144430,2014,LC,0,2017-3
47144448,2014,LC,0,2017-3
47144466,2014,LC,0,2017-3
47144528,2014,LC,0,2017-3
47144544,2014,LC,0,2017-3
47144580,2014,LC,0,2017-3
47144628,2014,LC,0,2017-3
47144698,2014,LC,0,2017-3
47144896,2014,LC,0,2017-3
47144901,2014,LC,0,2017-3
47144911,2014,LC,0,2017-3
47144957,2015,LC,0,2017-3
47145548,2015,LC,0,2017-3
47145611,2015,LC,0,2017-3
47145752,2015,LC,0,2017-3
47145793,2015,LC,0,2017-3
47145877,2015,LC,0,2017-3
47146393,2015,LC,0,2017-3
47147457,2015,LC,0,2017-3
47147468,2015,LC,0,2017-3
47147556,2015,LC,0,2017-3
47147574,2015,LC,0,2017-3
47147616,2015,LC,0,2017-3
47147660,2015,LC,0,2017-3
47147702,2015,LC,0,2017-3
47147749,2015,LC,0,2017-3
47147979,2015,LC,0,2017-3
47148013,2015,LC,0,2017-3
47148202,2015,LC,0,2017-3
47148229,2015,LC,0,2017-3
47148944,2015,LC,0,2017-3
47149007,2015,LC,0,2017-3
47149037,2015,LC,0,2017-3
47149087,2015,LC,0,2017-3
47149427,2015,LC,0,2017-3
47149594,2015,LC,0,2017-3
47149747,2015,LC,0,2017-3
47149895,2015,LC,0,2017-3
47150056,2015,LC,0,2017-3
47150446,2015,LC,0,2017-3
47153711,2015,LC,0,2017-3
47153773,2015,LC,0,2017-3
47153791,2015,LC,0,2017-3
47153800,2015,LC,0,2017-3
47164926,2015,LC,0,2017-3
47165067,2015,LC,0,2017-3
47165099,2015,LC,0,2017-3
47165104,2015,LC,0,2017-3
47165158,2015,LC,0,2017-3
47165317,2015,LC,0,2017-3
47165363,2015,LC,0,2017-3
47165472,2015,LC,0,2017-3
47165490,2015,LC,0,2017-3
47165538,2015,LC,0,2017-3
47166619,2014,LC,0,2017-3
47166659,2014,LC,0,2017-3
47269831,2016,LC,0,2017-3
47269908,2016,LC,0,2017-3
47270035,2016,LC,0,2017-3
47385652,2014,LC,0,2017-3
47402970,2016,LC,0,2017-3
47402974,2016,LC,0,2017-3
47402978,2016,LC,0,2017-3
47403067,2016,LC,0,2017-3
47713025,2016,NT,0.2,2017-3
4805,1996,VU,0.4,2017-3
4805,2015,LC,0,2017-3
48319933,2014,LC,0,2017-3
48320326,2014,LC,0,2017-3
48320397,2014,LC,0,2017-3
48320496,2014,LC,0,2017-3
48321090,2014,LC,0,2017-3
48321143,2014,LC,0,2017-3
48321151,2014,LC,0,2017-3
48321164,2014,LC,0,2017-3
48321178,2014,LC,0,2017-3
48321442,2014,LC,0,2017-3
48321557,2014,LC,0,2017-3
48342089,2014,LC,0,2017-3
48342092,2014,LC,0,2017-3
48342099,2014,LC,0,2017-3
48342100,2014,LC,0,2017-3
48342101,2014,LC,0,2017-3
48342103,2014,LC,0,2017-3
48342104,2014,VU,0.4,2017-3
48342104,2017,VU,0.4,2017-3
48342105,2014,LC,0,2017-3
48342108,2014,VU,0.4,2017-3
48342109,2014,LC,0,2017-3
48342111,2014,LC,0,2017-3
48342115,2014,LC,0,2017-3
48342117,2014,LC,0,2017-3
48342119,2014,LC,0,2017-3
48342120,2014,VU,0.4,2017-3
48342122,2014,LC,0,2017-3
48342125,2014,LC,0,2017-3
48342126,2014,LC,0,2017-3
48342128,2014,LC,0,2017-3
48342129,2014,LC,0,2017-3
48342130,2014,LC,0,2017-3
48342133,2014,LC,0,2017-3
48342134,2014,LC,0,2017-3
48342142,2014,LC,0,2017-3
48342144,2014,LC,0,2017-3
48342145,2014,LC,0,2017-3
48342148,2014,LC,0,2017-3
48342149,2014,LC,0,2017-3
48342150,2014,LC,0,2017-3
48342152,2014,VU,0.4,2017-3
48342162,2014,LC,0,2017-3
48342164,2014,LC,0,2017-3
48342168,2014,LC,0,2017-3
48342170,2014,LC,0,2017-3
48342171,2014,LC,0,2017-3
48342173,2014,LC,0,2017-3
48342174,2014,LC,0,2017-3
48342176,2014,LC,0,2017-3
48342177,2014,LC,0,2017-3
48342178,2014,VU,0.4,2017-3
48342179,2014,LC,0,2017-3
48342180,2014,LC,0,2017-3
48342180,2017,LC,0,2017-3
48342181,2014,LC,0,2017-3
48342182,2014,LC,0,2017-3
48342183,2014,LC,0,2017-3
48342186,2014,LC,0,2017-3
48342187,2014,LC,0,2017-3
48342191,2014,LC,0,2017-3
48342193,2014,LC,0,2017-3
48342195,2014,LC,0,2017-3
48342197,2014,LC,0,2017-3
48342198,2014,LC,0,2017-3
48342201,2014,LC,0,2017-3
48342204,2014,LC,0,2017-3
48342206,2014,LC,0,2017-3
48342208,2014,LC,0,2017-3
48342210,2014,LC,0,2017-3
48342213,2014,LC,0,2017-3
48342217,2014,LC,0,2017-3
48342218,2014,LC,0,2017-3
48342219,2014,LC,0,2017-3
48342221,2014,EN,0.6,2017-3
48342223,2014,LC,0,2017-3
48342225,2014,LC,0,2017-3
48342228,2014,LC,0,2017-3
48342229,2014,LC,0,2017-3
48342232,2014,LC,0,2017-3
48342233,2014,LC,0,2017-3
48342234,2014,LC,0,2017-3
48342238,2014,LC,0,2017-3
48342240,2014,LC,0,2017-3
48342243,2014,LC,0,2017-3
48342244,2014,LC,0,2017-3
48342248,2014,LC,0,2017-3
48342250,2014,LC,0,2017-3
48342252,2014,LC,0,2017-3
48342256,2014,LC,0,2017-3
48342258,2014,LC,0,2017-3
48342259,2014,LC,0,2017-3
48342260,2014,LC,0,2017-3
48342262,2014,LC,0,2017-3
48342265,2014,LC,0,2017-3
48342268,2014,LC,0,2017-3
48342269,2014,LC,0,2017-3
48342271,2014,LC,0,2017-3
48342273,2014,LC,0,2017-3
48342274,2014,LC,0,2017-3
48342277,2014,LC,0,2017-3
48342278,2014,LC,0,2017-3
48342281,2014,LC,0,2017-3
48342282,2014,VU,0.4,2017-3
48342284,2014,VU,0.4,2017-3
48342285,2014,LC,0,2017-3
48342287,2014,LC,0,2017-3
48342289,2014,LC,0,2017-3
48342290,2014,LC,0,2017-3
48342292,2014,LC,0,2017-3
48342298,2014,LC,0,2017-3
48342300,2014,LC,0,2017-3
48342305,2014,LC,0,2017-3
48342306,2014,LC,0,2017-3
48342309,2014,LC,0,2017-3
48342312,2014,LC,0,2017-3
48342314,2014,LC,0,2017-3
48342316,2014,LC,0,2017-3
48342317,2014,LC,0,2017-3
48342320,2014,LC,0,2017-3
48342321,2014,LC,0,2017-3
48342325,2014,LC,0,2017-3
48342326,2014,LC,0,2017-3
48342328,2014,VU,0.4,2017-3
48342329,2014,LC,0,2017-3
48342332,2014,LC,0,2017-3
48342333,2014,LC,0,2017-3
48342337,2014,LC,0,2017-3
48342341,2014,LC,0,2017-3
48342342,2014,VU,0.4,2017-3
48342351,2014,LC,0,2017-3
48342352,2014,LC,0,2017-3
48342354,2014,LC,0,2017-3
48342356,2014,LC,0,2017-3
48342357,2014,VU,0.4,2017-3
48342359,2014,LC,0,2017-3
48342362,2014,LC,0,2017-3
48342366,2014,LC,0,2017-3
48342371,2014,LC,0,2017-3
48342372,2014,LC,0,2017-3
48342379,2014,LC,0,2017-3
48342381,2014,LC,0,2017-3
48342383,2014,LC,0,2017-3
48342385,2014,LC,0,2017-3
48342388,2014,LC,0,2017-3
48342389,2014,LC,0,2017-3
48342394,2014,LC,0,2017-3
48342396,2014,VU,0.4,2017-3
48342396,2015,VU,0.4,2017-3
48342400,2014,LC,0,2017-3
48342402,2014,LC,0,2017-3
48342405,2014,LC,0,2017-3
48342410,2014,LC,0,2017-3
48342411,2014,LC,0,2017-3
48342414,2014,LC,0,2017-3
48342420,2014,LC,0,2017-3
48342422,2014,LC,0,2017-3
