am_sid,area_km2_0pct,area_km2_60pct,area_km2_probwt
ITS-96140,253799369.63,150794632.65,165405938.118
ITS-96142,196349712.39,128141487.49000001,135134345.9
ITS-96145,79457984.81,24639046.34,33847532.5763
ITS-96148,199998335.56,169624944.06,161192787.9069
ITS-96149,192727006.18,57986760.75,99036415.8237
ITS-96154,43261822.65,5245276.89,11900792.2686
ITS-96157,564048.85,454384.85,467522.9113
ITS-96160,15304932.84,10815743.84,11283659.297
ITS-96163,2377653.87,775681.31,997987.5044
ITS-96165,32245413.28,10140344.04,13577041.730800001
ITS-96170,333015.87,171138.57,200137.5889
ITS-96174,2150732.36,1220066.46,1267867.5474
ITS-96178,7950722.5200000005,2665059.29,3389437.2583
ITS-96191,2600569.3,973045.89,1274200.2191
ITS-96206,277265.94,221242.34,233254.6647
ITS-96209,28592619.06,3493982.52,10245806.0575
ITS-96215,24583208.93,15284489.81,16379279.0688
ITS-96343,3483351.12,2812543.26,2860438.8791
ITS-96415,4479176.39,1910996.55,2271017.8531
ITS-96417,1478244.07,1044926.68,1072544.3069
ITS-96451,1847920.25,890620.17,1045389.349
ITS-96465,218817.48,184064.77,173516.5756
ITS-96474,2215393.09,1113395.88,1277676.3215
ITS-96477,950533.05,575269.33,631901.059
ITS-96497,108394.29,63871.68,73781.2863
ITS-96523,7502524.47,5537137.9,5718165.3158
ITS-96527,844946.93,535237.13,551159.9597
ITS-96545,25254329.82,17011376.81,17820199.8269
ITS-96549,983429.92,429422.74,533002.9166
ITS-96555,567165.31,444982.72000000003,457429.3223
ITS-96569,535247.6,384897.55,404802.3497
ITS-96593,20990279.91,13819588.11,14372280.3763
ITS-96596,12465458.99,8102218.3,8594616.3905
ITS-96599,2870594.52,1816842.72,1912479.2218
ITS-96602,2074246.65,1269984.76,1338141.6628
ITS-96607,5107393.81,3561951.67,3648029.0961
ITS-96609,1704360.36,1195368.64,1230285.9981
ITS-96611,1466808.28,1091412.46,1107140.1299
ITS-96612,822154.54,532100.96,557150.4974
ITS-96613,2925715.82,1921506.41,2175119.2962
ITS-96614,17485792.15,12965062.8,13281076.6601
ITS-96617,104354.93000000001,65297.6,69223.4206
ITS-96622,1214802.15,818043.94,837579.4576
ITS-96623,2713452.37,1944703.14,2095246.0475
ITS-96626,3008407.89,1746391.82,2037209.6
