iucn_sid,sciname,main_common_name,cat,cat_score,published_year,iucn_version
67869958,Myripristis chryseres,Yellowfin Soldierfish,LC,0,2016,2018-1
67869976,Myripristis earlei,Earle's Soldierfish,LC,0,2016,2018-1
67870015,Myripristis hexagona,Doubletooth Soldierfish,LC,0,2016,2018-1
67871020,Myripristis kuntee,Shoulderbar Soldierfish,LC,0,2016,2018-1
67871036,Myripristis murdjan,Pinecone Soldierfish,LC,0,2016,2018-1
67871071,Myripristis randalli,NA,LC,0,2016,2018-1
67871080,Myripristis tiki,Tiki Soldierfish,DD,NA,2016,2018-1
67871084,Myripristis violacea,Lattice Soldierfish,LC,0,2016,2018-1
67871116,Myripristis vittata,Whitetip Soldierfish,LC,0,2016,2018-1
67871136,Myripristis woodsi,Whitespot Soldierfish,LC,0,2016,2018-1
67871143,Neoniphon argenteus,Clearfin Squirrelfish,LC,0,2016,2018-1
67871203,Neoniphon aurolineatus,Yellowstriped Squirrelfish,LC,0,2016,2018-1
67871260,Neoniphon opercularis,Blackfin Squirrelfish,LC,0,2016,2018-1
67871355,Neoniphon sammara,Sammara Squirrelfish,LC,0,2016,2018-1
67899355,Ostichthys archiepiscopus,Longsnout Soldier,LC,0,2016,2018-1
67899421,Ostichthys brachygnathus,NA,DD,NA,2016,2018-1
67899512,Ostichthys delta,Redcoat	,DD,NA,2016,2018-1
67899637,Ostichthys kaianus,Kai Soldierfish,LC,0,2016,2018-1
67899687,Ostichthys hypsipterygion,NA,DD,NA,2016,2018-1
67899690,Ostichthys japonicus,Japanese Soldierfish,LC,0,2016,2018-1
67899725,Ostichthys ovaloculus,NA,DD,NA,2016,2018-1
67899781,Ostichthys sandix,NA,LC,0,2016,2018-1
67899991,Plectrypops lima,Shy Soldier,LC,0,2016,2018-1
67900591,Pristilepis oligolepis,Spinyface Soldier,LC,0,2016,2018-1
67900607,Sargocentron caudimaculatum,Silverspot Squirrelfish,LC,0,2016,2018-1
67900621,Sargocentron cornutum,Threespot Squirrelfish,LC,0,2016,2018-1
67901205,Sargocentron diadema,Crown Squirrelfish,LC,0,2016,2018-1
67901306,Sargocentron dorsomaculatum,Spotfin Squirrelfish,LC,0,2016,2018-1
67902046,Sargocentron ensifer,Yellow-striped Squirrelfish,LC,0,2016,2018-1
67902071,Sargocentron hormion,NA,LC,0,2016,2018-1
67902084,Sargocentron inaequalis,Lattice Squirrelfish,DD,NA,2016,2018-1
67902088,Sargocentron iota,Dwarf Squirrelfish,LC,0,2016,2018-1
67902103,Sargocentron ittodai,Samurai Squirrelfish,LC,0,2016,2018-1
67902620,Sargocentron lepros,Spiny Squirrelfish,LC,0,2016,2018-1
67902640,Sargocentron megalops,NA,DD,NA,2016,2018-1
67902657,Sargocentron melanospilos,Blackblotch Squirrelfish,LC,0,2016,2018-1
67902908,Sargocentron microstoma,Smallmouth Squirrelfish,LC,0,2016,2018-1
67902985,Sargocentron punctatissimum,Speckled Squirrelfish,LC,0,2016,2018-1
67903042,Sargocentron spiniferum,Sabre Squirrelfish,LC,0,2016,2018-1
67903074,Sargocentron spinosissimum,North Pacific Squirrelfish,LC,0,2016,2018-1
67903124,Sargocentron tiere,Blue Lined Squirrelfish,LC,0,2016,2018-1
67903149,Sargocentron tiereoides,Pink Squirrelfish,LC,0,2016,2018-1
67903174,Sargocentron violaceum,Violet Squirrelfish,LC,0,2016,2018-1
67903264,Sargocentron xantherythrum,Hawaiian Squirrelfish,LC,0,2016,2018-1
67905414,Discotrema monogrammum,NA,LC,0,2016,2018-1
67905470,Lepadichthys bolini,Bolin's Clingfish,LC,0,2016,2018-1
67905489,Lepadichthys caritus,Pale Clingfish,LC,0,2016,2018-1
67905515,Lepadichthys frenatus,NA,LC,0,2016,2018-1
67905532,Lepadichthys minor,Dwarf Clingfish,LC,0,2016,2018-1
67905646,Liobranchia stria,Minute Clingfish,DD,NA,2016,2018-1
67905735,Pherallodus indicus,Smalldisc Clingfish,LC,0,2016,2018-1
67963793,Coryphaenoides thelestomus,Roughlip Grenadier,DD,NA,2015,2018-1
67963974,Gaidropsarus guttatus,Motelle à taches blanches,DD,NA,2015,2018-1
67964123,Lasiognathus amphirhamphus,NA,DD,NA,2015,2018-1
67964394,Leptoderma macrophthalmum,NA,DD,NA,2015,2018-1
67965222,Oneirodes anisacanthus,NA,DD,NA,2015,2018-1
67965706,Oneirodes posti,NA,DD,NA,2015,2018-1
67966147,Paraliparis nigellus,NA,DD,NA,2015,2018-1
67966197,Protogrammus sousai,NA,DD,NA,2015,2018-1
67966271,Scopelosaurus smithii,NA,LC,0,2015,2018-1
67966291,Scorpaena canariensis,Rascacio,DD,NA,2015,2018-1
67966420,Uncisudis quadrimaculata,NA,LC,0,2015,2018-1
67968236,Leucobrotula adipata,NA,DD,NA,2015,2018-1
67968365,Syngnathus safina,Wreck Pipefish,DD,NA,2016,2018-1
67968894,Antennatus nummifer,Big-spot Angler,LC,0,2015,2018-1
67970335,Ulua aurochs,Silvermouth Trevally,LC,0,2016,2018-1
67996575,Amblycirrhitus bimacula,Twospot Hawkfish,LC,0,2016,2018-1
67996584,Cirrhitops hubbardi,NA,LC,0,2016,2018-1
67996744,Amblycirrhitus unimacula,NA,LC,0,2016,2018-1
67996765,Itycirrhitus wilhelmi,Wilhelm's Hawkfish,LC,0,2016,2018-1
67997172,Cirrhitichthys aprinus,Spotted Hawkfish,LC,0,2016,2018-1
67997318,Cirrhitichthys falco,Dwarf Hawkfish,LC,0,2016,2018-1
67997668,Cirrhitichthys oxycephalus,Coral Hawkfish,LC,0,2016,2018-1
67997694,Cirrhitops fasciatus,Redbarred Hawkfish,LC,0,2016,2018-1
67997714,Cirrhitus albopunctatus,NA,DD,NA,2016,2018-1
67997787,Cirrhitus pinnulatus,Stocky Hawkfish,LC,0,2016,2018-1
67997808,Cyprinocirrhites polyactis,Swallowtail Hawkfish,LC,0,2016,2018-1
67997819,Isocirrhitus sexfasciatus,Sixband Hawkfish,DD,NA,2016,2018-1
67997836,Neocirrhites armatus,Flame Hawkfish,LC,0,2016,2018-1
67997845,Notocirrhitus splendens,Splendid Hawkfish,LC,0,2016,2018-1
67997854,Oxycirrhites typus,Longnose Hawkfish,LC,0,2016,2018-1
67997869,Paracirrhites arcatus,Arc-eye Hawkfish,LC,0,2016,2018-1
67997876,Paracirrhites bicolor,NA,DD,NA,2016,2018-1
67997879,Paracirrhites forsteri,Blackside Hawkfish,LC,0,2016,2018-1
67997886,Paracirrhites hemistictus,Whitespot Hawkfish,LC,0,2016,2018-1
67997893,Paracirrhites nisus,NA,LC,0,2016,2018-1
67997896,Paracirrhites xanthus,NA,LC,0,2016,2018-1
67999325,Crystallodytes cookei,South Pacific Sandburrower,LC,0,2016,2018-1
67999339,Crystallodytes enderburyensis,NA,LC,0,2016,2018-1
68000633,Limnichthys fasciatus,Barred Sand Burrower,LC,0,2016,2018-1
68000804,Limnichthys nitidus,Sand Submarine,LC,0,2016,2018-1
68001146,Calumia profunda,Deepreef Coralgudgeon	,LC,0,2016,2018-1
68064267,Macroparalepis brevis,NA,LC,0,2015,2018-1
68202649,Monognathus herringi,NA,DD,NA,2015,2018-1
68283383,Halieutichthys bispinosus,Two-spine Batfish,LC,0,2015,2018-1
68308810,Hirundichthys volador,Atlantic Blackwing Flyingfish,LC,0,2015,2018-1
68308842,Liopropoma olneyi,Yellow-spotted Golden Bass,DD,NA,2015,2018-1
68308851,Liopropoma santi,Spot-tail Golden Bass,DD,NA,2015,2018-1
68309086,Elacatinus cayman,Cayman Cleaner Goby,EN,0.6,2015,2018-1
68309114,Tigrigobius harveyi,Cayman Greenbanded Goby,EN,0.6,2015,2018-1
68309149,Elacatinus centralis,Cayman Sponge Goby,EN,0.6,2015,2018-1
68324528,Gerres erythrourus,Deep-bodied Mojarra,LC,0,2016,2018-1
68324675,Gerres oblongus,Slender Silver-biddy,LC,0,2016,2018-1
68324892,Gerres subfasciatus,Common Silver Belly,LC,0,2016,2018-1
68325526,Acentrogobius caninus,Tropical Sand Goby	,LC,0,2016,2018-1
68326478,Amblyeleotris japonica,NA,DD,NA,2016,2018-1
68326585,Ancistrogobius yanoi,Yano’s Cheek-hook Goby	,LC,0,2016,2018-1
68326872,Arcygobius baliurus,Isthmus Goby	,DD,NA,2016,2018-1
68327714,Arenigobius leftwichi,Oyster Goby,LC,0,2016,2018-1
68328081,Austrolethops wardi,Small-eyed Goby	,LC,0,2016,2018-1
68328401,Bryaninops isis,Isis goby,LC,0,2016,2018-1
68328587,Cabillus lacertops,Lizard Cabillus,LC,0,2016,2018-1
