iucn_sid,sciname,presence,subpop,dbf_file,max_depth,kingdom,phylum,class,order,taxon
16406554,Anchoa spinifer,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_spinifer.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
184e3,Anchoa starksi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_starksi.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
98891120,Anchoa tricolor,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_tricolor.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
16406635,Anchoa trinitatis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_trinitatis.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
155020,Anchoa walkeri,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_walkeri.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
16406679,Anchovia clupeoides,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchovia_clupeoides.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
98891738,Anchovia landivarensis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchovia_landivarensis.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
183917,Anchovia macrolepidota,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchovia_macrolepidota.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
98892186,Anchovia surinamensis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchovia_surinamensis.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
183934,Anchoviella balboae,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoviella_balboae.dbf,200 m +,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
