iucn_sid,pop_trend,year,old_cat,cat_txt,param_id,api_error,cat_ts,cat_score,cat_ts_score,trend_score
187874,unknown,2012,LC,Least Concern,NA,NA,LC,0,0,NA
187903,unknown,2012,LC,Least Concern,NA,NA,LC,0,0,NA
187905,unknown,2012,LC,Least Concern,NA,NA,LC,0,0,NA
187935,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
187987,unknown,2012,LC,Least Concern,NA,NA,LC,0,0,NA
188021,unknown,2012,LC,Least Concern,NA,NA,LC,0,0,NA
188065,unknown,2012,LC,Least Concern,NA,NA,LC,0,0,NA
188065,unknown,2016,LC,Least Concern,NA,NA,LC,0,0,NA
188101,stable,2012,LC,Least Concern,NA,NA,LC,0,0,0
188101,stable,2017,LC,Least Concern,NA,NA,LC,0,0,0
188113,unknown,2008,LC,Least Concern,NA,NA,LC,0,0,NA
188113,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
188114,unknown,2008,LC,Least Concern,NA,NA,LC,0,0,NA
188115,unknown,2008,LC,Least Concern,NA,NA,LC,0,0,NA
188115,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
188116,unknown,2008,LC,Least Concern,NA,NA,LC,0,0,NA
188118,unknown,2008,LC,Least Concern,NA,NA,LC,0,0,NA
188315,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
188319,decreasing,2012,EN,Endangered,NA,NA,EN,0.6,0.6,-0.5
188324,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
188352,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
188376,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
188419,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
188425,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
188434,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
188469,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
188486,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
188496,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
188539,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
188551,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
188569,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
188572,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
188581,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
188586,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
188592,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
188607,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
188617,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
