iucn_sid,pop_trend,iucn_version
62223,unknown,2017-3
63100,decreasing,2017-3
63102,unknown,2017-3
63103,unknown,2017-3
63104,decreasing,2017-3
63106,decreasing,2017-3
63107,unknown,2017-3
63108,unknown,2017-3
63109,unknown,2017-3
63110,decreasing,2017-3
63111,unknown,2017-3
63113,decreasing,2017-3
63114,stable,2017-3
63116,decreasing,2017-3
63117,unknown,2017-3
63118,unknown,2017-3
63119,unknown,2017-3
63120,decreasing,2017-3
63122,unknown,2017-3
63123,unknown,2017-3
63126,unknown,2017-3
63127,unknown,2017-3
63128,decreasing,2017-3
63129,decreasing,2017-3
63131,decreasing,2017-3
63132,decreasing,2017-3
63141,unknown,2017-3
63144,unknown,2017-3
63145,unknown,2017-3
63146,stable,2017-3
63152,unknown,2017-3
63153,decreasing,2017-3
63154,decreasing,2017-3
63155,unknown,2017-3
63156,unknown,2017-3
63165,stable,2017-3
63570,unknown,2017-3
63571,decreasing,2017-3
64396,decreasing,2017-3
64400,decreasing,2017-3
64407,unknown,2017-3
64410,decreasing,2017-3
64411,decreasing,2017-3
64412,decreasing,2017-3
132722,decreasing,2017-3
132723,decreasing,2017-3
132726,unknown,2017-3
132727,stable,2017-3
132729,stable,2017-3
132730,unknown,2017-3
132732,decreasing,2017-3
132733,stable,2017-3
132736,decreasing,2017-3
132737,unknown,2017-3
132738,stable,2017-3
132741,decreasing,2017-3
132742,unknown,2017-3
132743,unknown,2017-3
132745,decreasing,2017-3
132747,unknown,2017-3
132748,unknown,2017-3
132749,unknown,2017-3
132751,unknown,2017-3
132753,decreasing,2017-3
132754,unknown,2017-3
132755,unknown,2017-3
132756,unknown,2017-3
132757,stable,2017-3
132759,decreasing,2017-3
132761,stable,2017-3
132764,unknown,2017-3
132766,unknown,2017-3
132767,unknown,2017-3
132771,unknown,2017-3
132773,unknown,2017-3
132774,unknown,2017-3
132775,decreasing,2017-3
132776,decreasing,2017-3
132777,decreasing,2017-3
132778,stable,2017-3
132779,unknown,2017-3
132781,stable,2017-3
132783,unknown,2017-3
132787,unknown,2017-3
132788,stable,2017-3
132789,unknown,2017-3
132790,unknown,2017-3
132795,unknown,2017-3
132799,decreasing,2017-3
132802,unknown,2017-3
132803,unknown,2017-3
132804,unknown,2017-3
132805,unknown,2017-3
132806,decreasing,2017-3
132807,unknown,2017-3
132808,unknown,2017-3
132810,decreasing,2017-3
132811,unknown,2017-3
132815,unknown,2017-3
132817,decreasing,2017-3
132818,decreasing,2017-3
132819,decreasing,2017-3
132822,stable,2017-3
132823,stable,2017-3
132825,unknown,2017-3
132826,decreasing,2017-3
132827,stable,2017-3
132829,unknown,2017-3
132830,stable,2017-3
132859,unknown,2017-3
132860,unknown,2017-3
132866,decreasing,2017-3
132869,decreasing,2017-3
132871,unknown,2017-3
132872,decreasing,2017-3
132874,unknown,2017-3
132876,unknown,2017-3
132877,unknown,2017-3
132878,decreasing,2017-3
132879,unknown,2017-3
132880,unknown,2017-3
132881,unknown,2017-3
132883,decreasing,2017-3
132884,stable,2017-3
132885,unknown,2017-3
132887,unknown,2017-3
132888,decreasing,2017-3
132889,unknown,2017-3
132890,unknown,2017-3
132893,decreasing,2017-3
132894,decreasing,2017-3
132895,unknown,2017-3
132899,decreasing,2017-3
132900,unknown,2017-3
132901,unknown,2017-3
132903,unknown,2017-3
132904,unknown,2017-3
132905,unknown,2017-3
132907,unknown,2017-3
132909,decreasing,2017-3
132910,decreasing,2017-3
132911,unknown,2017-3
132913,decreasing,2017-3
132916,unknown,2017-3
132917,unknown,2017-3
132922,decreasing,2017-3
132923,unknown,2017-3
132924,unknown,2017-3
132925,unknown,2017-3
132927,unknown,2017-3
132928,unknown,2017-3
132929,unknown,2017-3
132931,decreasing,2017-3
132933,decreasing,2017-3
132935,decreasing,2017-3
132936,decreasing,2017-3
132937,unknown,2017-3
132940,decreasing,2017-3
132942,decreasing,2017-3
132944,decreasing,2017-3
132947,unknown,2017-3
132948,decreasing,2017-3
132953,unknown,2017-3
132956,unknown,2017-3
132957,unknown,2017-3
132958,unknown,2017-3
132960,unknown,2017-3
132962,unknown,2017-3
132963,stable,2017-3
132967,unknown,2017-3
132968,unknown,2017-3
132969,decreasing,2017-3
132970,decreasing,2017-3
132972,decreasing,2017-3
132974,unknown,2017-3
132975,unknown,2017-3
132976,decreasing,2017-3
132978,decreasing,2017-3
132979,decreasing,2017-3
132980,decreasing,2017-3
132981,decreasing,2017-3
132983,decreasing,2017-3
132984,decreasing,2017-3
132985,unknown,2017-3
132986,unknown,2017-3
132987,decreasing,2017-3
132988,decreasing,2017-3
132990,decreasing,2017-3
132991,unknown,2017-3
132992,decreasing,2017-3
132993,unknown,2017-3
132995,unknown,2017-3
132996,unknown,2017-3
132997,decreasing,2017-3
132998,decreasing,2017-3
133001,unknown,2017-3
133002,stable,2017-3
133003,decreasing,2017-3
133006,stable,2017-3
133008,unknown,2017-3
133009,decreasing,2017-3
133010,decreasing,2017-3
133011,unknown,2017-3
133012,decreasing,2017-3
133013,decreasing,2017-3
133015,decreasing,2017-3
133016,unknown,2017-3
133019,unknown,2017-3
133020,decreasing,2017-3
133021,decreasing,2017-3
133023,unknown,2017-3
133024,unknown,2017-3
133025,decreasing,2017-3
133026,unknown,2017-3
133027,stable,2017-3
133028,unknown,2017-3
133029,decreasing,2017-3
133031,decreasing,2017-3
133032,unknown,2017-3
133033,decreasing,2017-3
133034,unknown,2017-3
133038,unknown,2017-3
133039,unknown,2017-3
133041,unknown,2017-3
133042,stable,2017-3
133043,unknown,2017-3
133044,unknown,2017-3
133045,unknown,2017-3
133046,decreasing,2017-3
133047,stable,2017-3
133048,decreasing,2017-3
133049,unknown,2017-3
133053,unknown,2017-3
133054,unknown,2017-3
133055,decreasing,2017-3
133056,decreasing,2017-3
133057,unknown,2017-3
133058,unknown,2017-3
133059,decreasing,2017-3
133060,decreasing,2017-3
133062,unknown,2017-3
133063,unknown,2017-3
133065,unknown,2017-3
133066,decreasing,2017-3
133067,decreasing,2017-3
133068,decreasing,2017-3
133069,decreasing,2017-3
133070,decreasing,2017-3
133071,decreasing,2017-3
133074,decreasing,2017-3
133075,unknown,2017-3
133076,unknown,2017-3
133077,unknown,2017-3
133078,decreasing,2017-3
133079,decreasing,2017-3
133080,decreasing,2017-3
133081,decreasing,2017-3
133082,unknown,2017-3
133083,unknown,2017-3
133084,decreasing,2017-3
133085,stable,2017-3
133087,decreasing,2017-3
133088,decreasing,2017-3
133089,unknown,2017-3
133090,decreasing,2017-3
133091,unknown,2017-3
133094,stable,2017-3
133095,unknown,2017-3
133097,unknown,2017-3
133098,unknown,2017-3
133099,unknown,2017-3
133101,decreasing,2017-3
133102,decreasing,2017-3
133105,unknown,2017-3
133106,unknown,2017-3
133109,unknown,2017-3
133110,unknown,2017-3
133111,decreasing,2017-3
133112,decreasing,2017-3
133113,decreasing,2017-3
133114,unknown,2017-3
133115,decreasing,2017-3
133116,unknown,2017-3
133117,decreasing,2017-3
133120,decreasing,2017-3
133121,stable,2017-3
133124,stable,2017-3
133126,unknown,2017-3
133127,unknown,2017-3
133129,decreasing,2017-3
133131,decreasing,2017-3
133132,decreasing,2017-3
133133,decreasing,2017-3
133134,decreasing,2017-3
133135,stable,2017-3
133136,decreasing,2017-3
133137,decreasing,2017-3
133139,decreasing,2017-3
133140,stable,2017-3
133142,decreasing,2017-3
133144,stable,2017-3
133146,unknown,2017-3
133147,unknown,2017-3
133148,unknown,2017-3
133151,decreasing,2017-3
133152,unknown,2017-3
133155,stable,2017-3
133156,unknown,2017-3
133157,unknown,2017-3
133158,unknown,2017-3
133160,decreasing,2017-3
133161,decreasing,2017-3
133163,unknown,2017-3
133164,decreasing,2017-3
133165,unknown,2017-3
133166,unknown,2017-3
133167,decreasing,2017-3
133168,increasing,2017-3
133169,unknown,2017-3
133171,unknown,2017-3
133172,unknown,2017-3
133173,unknown,2017-3
133174,decreasing,2017-3
133175,decreasing,2017-3
133176,stable,2017-3
133177,unknown,2017-3
133178,decreasing,2017-3
133179,unknown,2017-3
133180,unknown,2017-3
133182,decreasing,2017-3
133183,unknown,2017-3
133185,decreasing,2017-3
133186,decreasing,2017-3
133188,decreasing,2017-3
133192,unknown,2017-3
133193,decreasing,2017-3
133194,decreasing,2017-3
133196,decreasing,2017-3
133197,unknown,2017-3
133198,unknown,2017-3
133200,decreasing,2017-3
133201,unknown,2017-3
133203,decreasing,2017-3
133206,decreasing,2017-3
133207,decreasing,2017-3
133208,unknown,2017-3
133209,decreasing,2017-3
133210,decreasing,2017-3
133212,stable,2017-3
133213,unknown,2017-3
133215,unknown,2017-3
133216,unknown,2017-3
133218,unknown,2017-3
133219,unknown,2017-3
133220,decreasing,2017-3
133222,unknown,2017-3
133223,decreasing,2017-3
133224,stable,2017-3
133225,unknown,2017-3
133226,unknown,2017-3
133227,decreasing,2017-3
133229,decreasing,2017-3
133231,decreasing,2017-3
133233,decreasing,2017-3
133235,unknown,2017-3
133236,unknown,2017-3
133237,stable,2017-3
133238,decreasing,2017-3
133239,decreasing,2017-3
133240,unknown,2017-3
133242,unknown,2017-3
133243,decreasing,2017-3
133244,decreasing,2017-3
133245,decreasing,2017-3
133246,unknown,2017-3
133247,decreasing,2017-3
133248,decreasing,2017-3
133250,decreasing,2017-3
133251,unknown,2017-3
133252,decreasing,2017-3
133253,unknown,2017-3
133255,stable,2017-3
133256,unknown,2017-3
133257,stable,2017-3
133258,unknown,2017-3
133259,decreasing,2017-3
133261,unknown,2017-3
133262,unknown,2017-3
133263,decreasing,2017-3
133266,decreasing,2017-3
133267,decreasing,2017-3
133269,unknown,2017-3
133271,decreasing,2017-3
133272,unknown,2017-3
133277,unknown,2017-3
133278,decreasing,2017-3
133281,stable,2017-3
133283,decreasing,2017-3
133284,decreasing,2017-3
133288,unknown,2017-3
133289,unknown,2017-3
133290,decreasing,2017-3
133291,decreasing,2017-3
133292,decreasing,2017-3
133293,decreasing,2017-3
133298,decreasing,2017-3
133302,decreasing,2017-3
133303,decreasing,2017-3
133304,unknown,2017-3
133306,decreasing,2017-3
133307,decreasing,2017-3
133308,unknown,2017-3
133309,unknown,2017-3
133310,decreasing,2017-3
133313,decreasing,2017-3
133314,decreasing,2017-3
133315,decreasing,2017-3
133316,unknown,2017-3
133317,unknown,2017-3
133319,decreasing,2017-3
133320,decreasing,2017-3
133322,decreasing,2017-3
133323,unknown,2017-3
133324,decreasing,2017-3
133325,decreasing,2017-3
133326,unknown,2017-3
133327,decreasing,2017-3
133329,unknown,2017-3
133330,unknown,2017-3
133332,unknown,2017-3
133333,decreasing,2017-3
133337,unknown,2017-3
133338,decreasing,2017-3
133340,unknown,2017-3
133341,decreasing,2017-3
133343,decreasing,2017-3
133345,decreasing,2017-3
133348,decreasing,2017-3
133349,unknown,2017-3
133351,unknown,2017-3
133353,unknown,2017-3
133354,unknown,2017-3
133356,unknown,2017-3
133357,unknown,2017-3
133359,decreasing,2017-3
133360,unknown,2017-3
133365,decreasing,2017-3
133366,unknown,2017-3
133367,decreasing,2017-3
133371,stable,2017-3
133372,unknown,2017-3
133374,decreasing,2017-3
133375,decreasing,2017-3
133376,unknown,2017-3
133377,stable,2017-3
133378,unknown,2017-3
133380,unknown,2017-3
133381,stable,2017-3
133382,unknown,2017-3
133384,unknown,2017-3
133386,unknown,2017-3
133387,decreasing,2017-3
133389,stable,2017-3
133390,unknown,2017-3
133392,decreasing,2017-3
133395,stable,2017-3
133396,decreasing,2017-3
133398,unknown,2017-3
133400,stable,2017-3
133401,decreasing,2017-3
133402,decreasing,2017-3
133403,unknown,2017-3
133404,decreasing,2017-3
133405,decreasing,2017-3
133406,unknown,2017-3
133407,unknown,2017-3
133408,unknown,2017-3
133409,decreasing,2017-3
133410,unknown,2017-3
133411,unknown,2017-3
133412,decreasing,2017-3
133413,unknown,2017-3
133414,decreasing,2017-3
133415,decreasing,2017-3
133416,decreasing,2017-3
133417,decreasing,2017-3
133418,unknown,2017-3
133419,unknown,2017-3
133420,decreasing,2017-3
133422,decreasing,2017-3
133423,unknown,2017-3
133424,decreasing,2017-3
133426,decreasing,2017-3
133427,decreasing,2017-3
133428,unknown,2017-3
133429,decreasing,2017-3
133431,unknown,2017-3
133432,decreasing,2017-3
133433,decreasing,2017-3
133435,unknown,2017-3
133437,unknown,2017-3
133438,decreasing,2017-3
133439,unknown,2017-3
133440,decreasing,2017-3
133442,unknown,2017-3
133443,decreasing,2017-3
133446,unknown,2017-3
133448,unknown,2017-3
133450,decreasing,2017-3
133451,decreasing,2017-3
133452,decreasing,2017-3
133453,unknown,2017-3
133456,unknown,2017-3
133457,stable,2017-3
133458,unknown,2017-3
133459,unknown,2017-3
133460,decreasing,2017-3
133463,decreasing,2017-3
133468,decreasing,2017-3
133469,decreasing,2017-3
133470,unknown,2017-3
133471,decreasing,2017-3
133472,decreasing,2017-3
133473,unknown,2017-3
133474,unknown,2017-3
133478,unknown,2017-3
133479,decreasing,2017-3
133481,decreasing,2017-3
133482,unknown,2017-3
133484,decreasing,2017-3
133485,decreasing,2017-3
133486,unknown,2017-3
133488,unknown,2017-3
133490,unknown,2017-3
133493,decreasing,2017-3
133495,unknown,2017-3
133496,unknown,2017-3
133497,decreasing,2017-3
133498,unknown,2017-3
133500,decreasing,2017-3
133502,unknown,2017-3
133503,unknown,2017-3
133504,stable,2017-3
133509,unknown,2017-3
133510,decreasing,2017-3
133511,increasing,2017-3
133513,decreasing,2017-3
133515,decreasing,2017-3
133516,decreasing,2017-3
133521,stable,2017-3
133522,stable,2017-3
133523,unknown,2017-3
133525,decreasing,2017-3
133526,unknown,2017-3
133528,unknown,2017-3
133529,unknown,2017-3
133530,unknown,2017-3
133531,decreasing,2017-3
133532,decreasing,2017-3
133534,unknown,2017-3
133535,stable,2017-3
133536,stable,2017-3
133538,unknown,2017-3
133539,unknown,2017-3
133543,unknown,2017-3
133545,unknown,2017-3
133547,decreasing,2017-3
133548,unknown,2017-3
133550,decreasing,2017-3
133551,unknown,2017-3
133556,decreasing,2017-3
133557,unknown,2017-3
133558,unknown,2017-3
133559,unknown,2017-3
133560,decreasing,2017-3
133563,decreasing,2017-3
133564,stable,2017-3
133565,unknown,2017-3
133566,unknown,2017-3
133569,decreasing,2017-3
133570,unknown,2017-3
133571,decreasing,2017-3
133573,unknown,2017-3
133575,unknown,2017-3
133576,decreasing,2017-3
133581,unknown,2017-3
133582,unknown,2017-3
133584,stable,2017-3
133585,unknown,2017-3
133587,unknown,2017-3
133588,stable,2017-3
133589,unknown,2017-3
133590,unknown,2017-3
133591,stable,2017-3
133593,decreasing,2017-3
133594,stable,2017-3
133595,unknown,2017-3
133597,unknown,2017-3
133599,decreasing,2017-3
133601,decreasing,2017-3
133604,decreasing,2017-3
133606,unknown,2017-3
133607,unknown,2017-3
133609,unknown,2017-3
133613,unknown,2017-3
133614,unknown,2017-3
133616,decreasing,2017-3
133617,decreasing,2017-3
133619,unknown,2017-3
