iucn_sid,years,cat_ts,scores,pop_trend_desc,calc_trend
41838,"2003, 2009, 2015","NT, NT, LC","0.2, 0.2, 0",unknown,-0.01667
41839,"2003, 2015","LC, LC","0, 0",unknown,NA
41841,"2003, 2016","LC, LC","0, 0",unknown,NA
41842,"2003, 2016","LC, LC","0, 0",unknown,NA
41844,"2003, 2016","LC, LC","0, 0",unknown,NA
41846,"2003, 2016","LC, LC","0, 0",stable,NA
41848,"2003, 2016","VU, VU","0.4, 0.4",decreasing,NA
41849,"2003, 2016","VU, VU","0.4, 0.4",decreasing,NA
41858,"2003, 2015","LC, LC","0, 0",unknown,NA
41862,"2003, 2016","LC, LC","0, 0",stable,NA
41864,"2003, 2015","LC, LC","0, 0",unknown,NA
41872,"2003, 2016","NT, NT","0.2, 0.2",decreasing,NA
41873,"2003, 2015","NT, LC","0.2, 0",unknown,NA
41874,"2003, 2016","VU, VU","0.4, 0.4",decreasing,NA
41876,"2009, 2016","VU, VU","0.4, 0.4",decreasing,NA
41878,"2003, 2016","VU, EN","0.4, 0.6",decreasing,NA
42704,"2016, 2017","LC, LC","0, 0",unknown,NA
42706,"2003, 2011","NT, NT","0.2, 0.2",unknown,NA
42713,"2003, 2009, 2016","LC, LC, LC","0, 0, 0",unknown,0
42716,"2003, 2011","LC, LC","0, 0",unknown,NA
42717,"2003, 2015","LC, LC","0, 0",unknown,NA
42720,"2003, 2015","LC, LC","0, 0",unknown,NA
42721,"2003, 2015","LC, LC","0, 0",unknown,NA
42729,"2003, 2016","VU, VU","0.4, 0.4",decreasing,NA
44183,"2005, 2016","NT, LC","0.2, 0",stable,NA
44186,"2004, 2015","LC, LC","0, 0",unknown,NA
60108,"2006, 2015","LC, LC","0, 0",stable,NA
60111,"2006, 2015","LC, LC","0, 0",unknown,NA
60112,"2006, 2016","LC, LC","0, 0",unknown,NA
60121,"2006, 2016","EN, EN","0.6, 0.6",decreasing,NA
60140,"2006, 2016","LC, LC","0, 0",stable,NA
60146,"2006, 2015","LC, LC","0, 0",unknown,NA
60147,"2006, 2016","NT, NT","0.2, 0.2",unknown,NA
60148,"2006, 2016","NT, NT","0.2, 0.2",unknown,NA
60150,"2006, 2015","NT, NT","0.2, 0.2",unknown,NA
60153,"2006, 2016","NT, NT","0.2, 0.2",unknown,NA
60155,"2006, 2016","NT, NT","0.2, 0.2",unknown,NA
60156,"2006, 2011, 2015","NT, LC, LC","0.2, 0, 0",unknown,-0.02295
60158,"2006, 2016","LC, LC","0, 0",unknown,NA
60159,"2006, 2016","LC, LC","0, 0",unknown,NA
60160,"2006, 2016","NT, NT","0.2, 0.2",unknown,NA
60162,"2006, 2015","VU, VU","0.4, 0.4",decreasing,NA
60163,"2006, 2016","LC, LC","0, 0",unknown,NA
60164,"2006, 2016","LC, LC","0, 0",unknown,NA
60166,"2006, 2016","VU, VU","0.4, 0.4",decreasing,NA
60168,"2006, 2016","NT, NT","0.2, 0.2",unknown,NA
60171,"2006, 2016","NT, NT","0.2, 0.2",decreasing,NA
60175,"2006, 2016","VU, VU","0.4, 0.4",unknown,NA
60191,"2006, 2015","LC, LC","0, 0",increasing,NA
60192,"2006, 2016","LC, LC","0, 0",stable,NA
60195,"2006, 2016","NT, VU","0.2, 0.4",stable,NA
60200,"2006, 2016","NT, NT","0.2, 0.2",decreasing,NA
60210,"2006, 2015","LC, LC","0, 0",unknown,NA
60212,"2006, 2015","LC, LC","0, 0",unknown,NA
60344,"2008, 2010, 2014","CR, CR, CR","0.8, 0.8, 0.8",decreasing,-0
61417,"2006, 2007","EN, CR","0.6, 0.8",decreasing,NA
61418,"2006, 2007","EN, CR","0.6, 0.8",decreasing,NA
63119,"2007, 2016","LC, LC","0, 0",unknown,NA
63120,"2007, 2015","LC, NT","0, 0.2",decreasing,NA
63127,"2007, 2015","LC, LC","0, 0",unknown,NA
63132,"2007, 2016","EN, EN","0.6, 0.6",decreasing,NA
63152,"2007, 2016","LC, LC","0, 0",unknown,NA
63165,"2003, 2011","LC, LC","0, 0",stable,NA
63571,"2007, 2012","VU, VU","0.4, 0.4",decreasing,NA
64396,"2007, 2008","VU, VU","0.4, 0.4",decreasing,NA
64400,"2007, 2008","VU, VU","0.4, 0.4",decreasing,NA
64407,"2007, 2008","LC, LC","0, 0",unknown,NA
64410,"2007, 2008","VU, VU","0.4, 0.4",decreasing,NA
64411,"2007, 2008","VU, VU","0.4, 0.4",decreasing,NA
64412,"2007, 2008","VU, VU","0.4, 0.4",decreasing,NA
132730,"2008, 2017","LC, LC","0, 0",unknown,NA
132733,"2008, 2017","LC, LC","0, 0",stable,NA
132754,"2008, 2017","LC, LC","0, 0",unknown,NA
132767,"2008, 2017","LC, LC","0, 0",unknown,NA
132783,"2008, 2017","LC, LC","0, 0",unknown,NA
132822,"2008, 2017","LC, LC","0, 0",stable,NA
132860,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
132869,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
132878,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
132880,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
132881,"2008, 2014","LC, LC","0, 0",unknown,NA
132883,"2008, 2014","LC, LC","0, 0",decreasing,NA
132885,"2008, 2014","LC, LC","0, 0",unknown,NA
132887,"2008, 2014","LC, LC","0, 0",unknown,NA
132888,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
132895,"2008, 2014","LC, LC","0, 0",unknown,NA
132903,"2008, 2014","LC, LC","0, 0",unknown,NA
132904,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
132911,"2008, 2014","LC, LC","0, 0",unknown,NA
132916,"2008, 2014","LC, LC","0, 0",unknown,NA
132917,"2008, 2014","LC, LC","0, 0",unknown,NA
132922,"2008, 2014","LC, LC","0, 0",decreasing,NA
132923,"2008, 2014","LC, LC","0, 0",unknown,NA
132925,"2008, 2014","LC, LC","0, 0",unknown,NA
132936,"2008, 2014","LC, LC","0, 0",decreasing,NA
132940,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
132948,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
132956,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
132958,"2008, 2014","LC, LC","0, 0",unknown,NA
132960,"2008, 2014","LC, LC","0, 0",unknown,NA
132969,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
132975,"2008, 2014","LC, LC","0, 0",unknown,NA
132976,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
132978,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
132980,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
132983,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
132986,"2008, 2014","LC, LC","0, 0",unknown,NA
132992,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
132997,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
132998,"2008, 2014","LC, LC","0, 0",decreasing,NA
133001,"2008, 2014","LC, LC","0, 0",unknown,NA
133008,"2008, 2014","LC, LC","0, 0",unknown,NA
133013,"2008, 2014","LC, LC","0, 0",decreasing,NA
133016,"2008, 2014","LC, LC","0, 0",unknown,NA
133020,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133021,"2008, 2014","LC, LC","0, 0",decreasing,NA
133023,"2008, 2014","LC, LC","0, 0",unknown,NA
133024,"2008, 2014","LC, LC","0, 0",unknown,NA
133025,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133028,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133029,"2008, 2014","LC, LC","0, 0",decreasing,NA
133034,"2008, 2014","LC, LC","0, 0",unknown,NA
133038,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133041,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133043,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133044,"2008, 2014","LC, LC","0, 0",unknown,NA
133045,"2008, 2014","LC, LC","0, 0",unknown,NA
133046,"2008, 2014","EN, EN","0.6, 0.6",decreasing,NA
133049,"2008, 2014","LC, LC","0, 0",unknown,NA
133054,"2008, 2014","LC, LC","0, 0",unknown,NA
133055,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133058,"2008, 2014","LC, LC","0, 0",unknown,NA
133063,"2008, 2014","LC, LC","0, 0",unknown,NA
133066,"2008, 2014","LC, LC","0, 0",decreasing,NA
133070,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133071,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133076,"2008, 2014","LC, LC","0, 0",unknown,NA
133082,"2008, 2014","LC, LC","0, 0",unknown,NA
133083,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133084,"2008, 2014","LC, LC","0, 0",decreasing,NA
133087,"2008, 2014","LC, LC","0, 0",decreasing,NA
133088,"2008, 2014","LC, LC","0, 0",decreasing,NA
133090,"2008, 2014","LC, LC","0, 0",decreasing,NA
133091,"2008, 2014","LC, LC","0, 0",unknown,NA
133095,"2008, 2014","LC, LC","0, 0",unknown,NA
133097,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133098,"2008, 2014","LC, LC","0, 0",unknown,NA
133099,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133105,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133106,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133116,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133117,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133127,"2008, 2014","LC, LC","0, 0",unknown,NA
133132,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133136,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133137,"2008, 2014","LC, LC","0, 0",decreasing,NA
133139,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133140,"2008, 2014","LC, LC","0, 0",stable,NA
133148,"2008, 2014","LC, LC","0, 0",unknown,NA
