iucn_sid,code,habitat,suitability,season,majorimportance,cat,subcat1,subcat2,include
2060,12.1,Marine Intertidal - Rocky Shoreline,Suitable,resident,Yes,12,1,NA,TRUE
2060,13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,Suitable,resident,Yes,13,1,NA,TRUE
2060,9.1,Marine Neritic - Pelagic,Suitable,resident,Yes,9,1,NA,TRUE
2061,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,resident,Yes,10,1,NA,TRUE
2061,12.1,Marine Intertidal - Rocky Shoreline,Suitable,resident,Yes,12,1,NA,TRUE
2061,13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,Suitable,resident,Yes,13,1,NA,TRUE
2061,13.2,Marine Coastal/supratidal - Coastal Caves/Karst,Suitable,resident,Yes,13,2,NA,TRUE
2061,9.1,Marine Neritic - Pelagic,Suitable,resident,Yes,9,1,NA,TRUE
2061,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,Suitable,resident,Yes,9,2,NA,TRUE
2062,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,resident,Yes,10,1,NA,TRUE
2062,12.1,Marine Intertidal - Rocky Shoreline,Suitable,resident,Yes,12,1,NA,TRUE
2062,13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,Suitable,resident,Yes,13,1,NA,TRUE
2062,9.1,Marine Neritic - Pelagic,Suitable,resident,Yes,9,1,NA,TRUE
2064,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,resident,Yes,10,1,NA,TRUE
2064,10.2,Marine Oceanic - Mesopelagic (200-1000m),Suitable,resident,No,10,2,NA,TRUE
2064,12.1,Marine Intertidal - Rocky Shoreline,Suitable,resident,Yes,12,1,NA,TRUE
2064,13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,Suitable,resident,Yes,13,1,NA,TRUE
2064,9.1,Marine Neritic - Pelagic,Suitable,resident,Yes,9,1,NA,TRUE
2066,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,resident,Yes,10,1,NA,TRUE
2066,12.1,Marine Intertidal - Rocky Shoreline,Suitable,resident,Yes,12,1,NA,TRUE
2066,13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,Suitable,resident,Yes,13,1,NA,TRUE
2066,9.1,Marine Neritic - Pelagic,Suitable,resident,Yes,9,1,NA,TRUE
2067,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,resident,Yes,10,1,NA,TRUE
2067,12.1,Marine Intertidal - Rocky Shoreline,Suitable,resident,Yes,12,1,NA,TRUE
2067,13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,Suitable,resident,Yes,13,1,NA,TRUE
2067,9.1,Marine Neritic - Pelagic,Suitable,resident,Yes,9,1,NA,TRUE
2113,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
2352,13.4,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,Suitable,NA,NA,13,4,NA,TRUE
2352,13.5,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Suitable,NA,NA,13,5,NA,TRUE
