cell_id,iucn_sid,sciname,spp_gp,iucn_rgn,cat_score,range_km2,cell_group,depth,spp_max_depth
3145557,165659,Chelmon rostratus,butterflyfish,global,0,4374558,Malaysia,20,< 200 m
3398132,165659,Chelmon rostratus,butterflyfish,global,0,4374558,Papua New Guinea,5,< 200 m
3398132,165661,Parachaetodon ocellatus,butterflyfish,global,0,4939585,Papua New Guinea,5,< 200 m
3877173,165661,Parachaetodon ocellatus,butterflyfish,global,0,4939585,Fiji,7,< 200 m
3145557,165669,Chaetodon lineolatus,butterflyfish,global,0,6168280,Malaysia,20,< 200 m
3398132,165669,Chaetodon lineolatus,butterflyfish,global,0,6168280,Papua New Guinea,5,< 200 m
3877173,165669,Chaetodon lineolatus,butterflyfish,global,0,6168280,Fiji,7,< 200 m
3944241,165669,Chaetodon lineolatus,butterflyfish,global,0,6168280,W Madagascar,23,< 200 m
4048604,165669,Chaetodon lineolatus,butterflyfish,global,0,6168280,W Madagascar,106,< 200 m
3398132,165704,Chaetodon lunulatus,butterflyfish,global,0,5757455,Papua New Guinea,5,< 200 m
3877173,165704,Chaetodon lunulatus,butterflyfish,global,0,5757455,Fiji,7,< 200 m
3145557,165664,Chaetodon oxycephalus,butterflyfish,global,0,1975411,Malaysia,20,< 200 m
3398132,165664,Chaetodon oxycephalus,butterflyfish,global,0,1975411,Papua New Guinea,5,< 200 m
3944241,165671,Chaetodon xanthocephalus,butterflyfish,global,0,675434,W Madagascar,23,< 200 m
4048604,165671,Chaetodon xanthocephalus,butterflyfish,global,0,675434,W Madagascar,106,< 200 m
3145557,165673,Chaetodon trifasciatus,butterflyfish,global,0,1464816,Malaysia,20,< 200 m
3944241,165673,Chaetodon trifasciatus,butterflyfish,global,0,1464816,W Madagascar,23,< 200 m
4048604,165673,Chaetodon trifasciatus,butterflyfish,global,0,1464816,W Madagascar,106,< 200 m
3398132,165713,Chaetodon reticulatus,butterflyfish,global,NA,1031942,Papua New Guinea,5,< 200 m
