cell_id,iucn_sid,spp_gp,max_depth
2221857,39339,CHONDRICHTHYES,200 m +
3145557,39339,CHONDRICHTHYES,200 m +
3152735,39339,CHONDRICHTHYES,200 m +
3152756,39339,CHONDRICHTHYES,200 m +
3170683,39339,CHONDRICHTHYES,200 m +
3248104,39339,CHONDRICHTHYES,200 m +
3273298,39339,CHONDRICHTHYES,200 m +
3284111,39339,CHONDRICHTHYES,200 m +
3330885,39339,CHONDRICHTHYES,200 m +
3398132,39339,CHONDRICHTHYES,200 m +
3398133,39339,CHONDRICHTHYES,200 m +
3877173,39339,CHONDRICHTHYES,200 m +
3880763,39339,CHONDRICHTHYES,200 m +
3884370,39339,CHONDRICHTHYES,200 m +
3944241,39339,CHONDRICHTHYES,200 m +
3965838,39339,CHONDRICHTHYES,200 m +
3969436,39339,CHONDRICHTHYES,200 m +
3973169,39339,CHONDRICHTHYES,200 m +
3973171,39339,CHONDRICHTHYES,200 m +
4012758,39339,CHONDRICHTHYES,200 m +
4048604,39339,CHONDRICHTHYES,200 m +
4577279,39339,CHONDRICHTHYES,200 m +
4584479,39339,CHONDRICHTHYES,200 m +
4616886,39339,CHONDRICHTHYES,200 m +
4827640,39339,CHONDRICHTHYES,200 m +
4838443,39339,CHONDRICHTHYES,200 m +
4849246,39339,CHONDRICHTHYES,200 m +
4892449,39339,CHONDRICHTHYES,200 m +
5098712,39339,CHONDRICHTHYES,200 m +
1873899,39341,CHONDRICHTHYES,200 m +
1891894,39341,CHONDRICHTHYES,200 m +
1909858,39341,CHONDRICHTHYES,200 m +
1915782,39341,CHONDRICHTHYES,200 m +
1919372,39341,CHONDRICHTHYES,200 m +
1926570,39341,CHONDRICHTHYES,200 m +
1927804,39341,CHONDRICHTHYES,200 m +
1930166,39341,CHONDRICHTHYES,200 m +
1935136,39341,CHONDRICHTHYES,200 m +
1942349,39341,CHONDRICHTHYES,200 m +
2110256,39341,CHONDRICHTHYES,200 m +
2124660,39341,CHONDRICHTHYES,200 m +
2200221,39341,CHONDRICHTHYES,200 m +
2200230,39341,CHONDRICHTHYES,200 m +
2203835,39341,CHONDRICHTHYES,200 m +
2211043,39341,CHONDRICHTHYES,200 m +
2221857,39341,CHONDRICHTHYES,200 m +
3145557,39341,CHONDRICHTHYES,200 m +
3152735,39341,CHONDRICHTHYES,200 m +
3152756,39341,CHONDRICHTHYES,200 m +
3170683,39341,CHONDRICHTHYES,200 m +
3248104,39341,CHONDRICHTHYES,200 m +
3273298,39341,CHONDRICHTHYES,200 m +
3284111,39341,CHONDRICHTHYES,200 m +
3330885,39341,CHONDRICHTHYES,200 m +
3398132,39341,CHONDRICHTHYES,200 m +
3398133,39341,CHONDRICHTHYES,200 m +
3877173,39341,CHONDRICHTHYES,200 m +
3880763,39341,CHONDRICHTHYES,200 m +
3884370,39341,CHONDRICHTHYES,200 m +
3944241,39341,CHONDRICHTHYES,200 m +
3965838,39341,CHONDRICHTHYES,200 m +
3969436,39341,CHONDRICHTHYES,200 m +
3973169,39341,CHONDRICHTHYES,200 m +
3973171,39341,CHONDRICHTHYES,200 m +
4012758,39341,CHONDRICHTHYES,200 m +
4048604,39341,CHONDRICHTHYES,200 m +
4577279,39341,CHONDRICHTHYES,200 m +
4584479,39341,CHONDRICHTHYES,200 m +
4616886,39341,CHONDRICHTHYES,200 m +
1062285,39342,CHONDRICHTHYES,200 m +
1116276,39342,CHONDRICHTHYES,200 m +
1127083,39342,CHONDRICHTHYES,200 m +
1915782,39342,CHONDRICHTHYES,200 m +
1919372,39342,CHONDRICHTHYES,200 m +
1926570,39342,CHONDRICHTHYES,200 m +
1930166,39342,CHONDRICHTHYES,200 m +
5098712,39347,CHONDRICHTHYES,200 m +
1891894,39350,CHONDRICHTHYES,< 200 m
1942349,39350,CHONDRICHTHYES,< 200 m
4827640,39356,CHONDRICHTHYES,200 m +
4838443,39356,CHONDRICHTHYES,200 m +
4849246,39356,CHONDRICHTHYES,200 m +
1891894,39357,CHONDRICHTHYES,< 200 m
1942349,39357,CHONDRICHTHYES,< 200 m
1873899,39358,CHONDRICHTHYES,200 m +
1891894,39358,CHONDRICHTHYES,200 m +
1909858,39358,CHONDRICHTHYES,200 m +
1927804,39358,CHONDRICHTHYES,200 m +
1935136,39358,CHONDRICHTHYES,200 m +
1942349,39358,CHONDRICHTHYES,200 m +
2110256,39380,CHONDRICHTHYES,200 m +
2124660,39380,CHONDRICHTHYES,200 m +
962997,39381,CHONDRICHTHYES,200 m +
1009795,39381,CHONDRICHTHYES,200 m +
1045794,39381,CHONDRICHTHYES,200 m +
1062285,39381,CHONDRICHTHYES,200 m +
1116276,39381,CHONDRICHTHYES,200 m +
1127083,39381,CHONDRICHTHYES,200 m +
1873899,39381,CHONDRICHTHYES,200 m +
1891894,39381,CHONDRICHTHYES,200 m +
1909858,39381,CHONDRICHTHYES,200 m +
1915782,39381,CHONDRICHTHYES,200 m +
1919372,39381,CHONDRICHTHYES,200 m +
1926570,39381,CHONDRICHTHYES,200 m +
1927804,39381,CHONDRICHTHYES,200 m +
1930166,39381,CHONDRICHTHYES,200 m +
1935136,39381,CHONDRICHTHYES,200 m +
1942349,39381,CHONDRICHTHYES,200 m +
2110256,39381,CHONDRICHTHYES,200 m +
2124660,39381,CHONDRICHTHYES,200 m +
2200221,39381,CHONDRICHTHYES,200 m +
2200230,39381,CHONDRICHTHYES,200 m +
2203835,39381,CHONDRICHTHYES,200 m +
2211043,39381,CHONDRICHTHYES,200 m +
2221857,39381,CHONDRICHTHYES,200 m +
3145557,39381,CHONDRICHTHYES,200 m +
3152735,39381,CHONDRICHTHYES,200 m +
3152756,39381,CHONDRICHTHYES,200 m +
3170683,39381,CHONDRICHTHYES,200 m +
3248104,39381,CHONDRICHTHYES,200 m +
3273298,39381,CHONDRICHTHYES,200 m +
3284111,39381,CHONDRICHTHYES,200 m +
3330885,39381,CHONDRICHTHYES,200 m +
3398132,39381,CHONDRICHTHYES,200 m +
3398133,39381,CHONDRICHTHYES,200 m +
3877173,39381,CHONDRICHTHYES,200 m +
3880763,39381,CHONDRICHTHYES,200 m +
3884370,39381,CHONDRICHTHYES,200 m +
3944241,39381,CHONDRICHTHYES,200 m +
3965838,39381,CHONDRICHTHYES,200 m +
3969436,39381,CHONDRICHTHYES,200 m +
3973169,39381,CHONDRICHTHYES,200 m +
3973171,39381,CHONDRICHTHYES,200 m +
4012758,39381,CHONDRICHTHYES,200 m +
4048604,39381,CHONDRICHTHYES,200 m +
4577279,39381,CHONDRICHTHYES,200 m +
4584479,39381,CHONDRICHTHYES,200 m +
4616886,39381,CHONDRICHTHYES,200 m +
4827640,39381,CHONDRICHTHYES,200 m +
4838443,39381,CHONDRICHTHYES,200 m +
4849246,39381,CHONDRICHTHYES,200 m +
4892449,39381,CHONDRICHTHYES,200 m +
3145557,39384,CHONDRICHTHYES,200 m +
3152756,39384,CHONDRICHTHYES,200 m +
3248104,39384,CHONDRICHTHYES,200 m +
3273298,39384,CHONDRICHTHYES,200 m +
3284111,39384,CHONDRICHTHYES,200 m +
3398132,39384,CHONDRICHTHYES,200 m +
3398133,39384,CHONDRICHTHYES,200 m +
3877173,39384,CHONDRICHTHYES,200 m +
3880763,39384,CHONDRICHTHYES,200 m +
3884370,39384,CHONDRICHTHYES,200 m +
3944241,39384,CHONDRICHTHYES,200 m +
3965838,39384,CHONDRICHTHYES,200 m +
3969436,39384,CHONDRICHTHYES,200 m +
3973169,39384,CHONDRICHTHYES,200 m +
3973171,39384,CHONDRICHTHYES,200 m +
4012758,39384,CHONDRICHTHYES,200 m +
4048604,39384,CHONDRICHTHYES,200 m +
1873899,39385,CHONDRICHTHYES,200 m +
1891894,39385,CHONDRICHTHYES,200 m +
1909858,39385,CHONDRICHTHYES,200 m +
1927804,39385,CHONDRICHTHYES,200 m +
2110256,39385,CHONDRICHTHYES,200 m +
2124660,39385,CHONDRICHTHYES,200 m +
2211043,39385,CHONDRICHTHYES,200 m +
2221857,39385,CHONDRICHTHYES,200 m +
3145557,39385,CHONDRICHTHYES,200 m +
3152756,39385,CHONDRICHTHYES,200 m +
1873899,39386,CHONDRICHTHYES,200 m +
1891894,39386,CHONDRICHTHYES,200 m +
1909858,39386,CHONDRICHTHYES,200 m +
1927804,39386,CHONDRICHTHYES,200 m +
2110256,39386,CHONDRICHTHYES,200 m +
2124660,39386,CHONDRICHTHYES,200 m +
3944241,39386,CHONDRICHTHYES,200 m +
3965838,39386,CHONDRICHTHYES,200 m +
3969436,39386,CHONDRICHTHYES,200 m +
3973169,39386,CHONDRICHTHYES,200 m +
3973171,39386,CHONDRICHTHYES,200 m +
4012758,39386,CHONDRICHTHYES,200 m +
4048604,39386,CHONDRICHTHYES,200 m +
2110256,39387,CHONDRICHTHYES,< 200 m
2124660,39387,CHONDRICHTHYES,< 200 m
2221857,39387,CHONDRICHTHYES,< 200 m
1891894,39388,CHONDRICHTHYES,< 200 m
1915782,39388,CHONDRICHTHYES,< 200 m
1942349,39388,CHONDRICHTHYES,< 200 m
2110256,39388,CHONDRICHTHYES,< 200 m
2124660,39388,CHONDRICHTHYES,< 200 m
2221857,39388,CHONDRICHTHYES,< 200 m
3145557,39388,CHONDRICHTHYES,< 200 m
3273298,39388,CHONDRICHTHYES,< 200 m
5098712,39388,CHONDRICHTHYES,< 200 m
3145557,39389,CHONDRICHTHYES,< 200 m
3398132,39390,CHONDRICHTHYES,< 200 m
3398132,39393,CHONDRICHTHYES,< 200 m
1915782,39396,CHONDRICHTHYES,200 m +
1919372,39396,CHONDRICHTHYES,200 m +
2211043,39396,CHONDRICHTHYES,200 m +
1045794,39397,CHONDRICHTHYES,200 m +
1942349,39397,CHONDRICHTHYES,200 m +
1045794,39399,CHONDRICHTHYES,< 200 m
1891894,39399,CHONDRICHTHYES,< 200 m
1942349,39399,CHONDRICHTHYES,< 200 m
3398132,39412,CHONDRICHTHYES,< 200 m
1915782,60171,CHONDRICHTHYES,< 200 m
2110256,60171,CHONDRICHTHYES,< 200 m
2124660,60171,CHONDRICHTHYES,< 200 m
2221857,60171,CHONDRICHTHYES,< 200 m
1873899,41747,CHONDRICHTHYES,200 m +
1891894,41747,CHONDRICHTHYES,200 m +
1909858,41747,CHONDRICHTHYES,200 m +
1927804,41747,CHONDRICHTHYES,200 m +
1873899,41741,CHONDRICHTHYES,200 m +
1891894,41741,CHONDRICHTHYES,200 m +
1909858,41741,CHONDRICHTHYES,200 m +
1927804,41741,CHONDRICHTHYES,200 m +
1935136,41741,CHONDRICHTHYES,200 m +
1942349,41741,CHONDRICHTHYES,200 m +
2110256,41741,CHONDRICHTHYES,200 m +
2124660,41741,CHONDRICHTHYES,200 m +
2211043,41741,CHONDRICHTHYES,200 m +
2221857,41741,CHONDRICHTHYES,200 m +
5098712,41741,CHONDRICHTHYES,200 m +
4827640,41752,CHONDRICHTHYES,200 m +
4838443,41752,CHONDRICHTHYES,200 m +
4849246,41752,CHONDRICHTHYES,200 m +
4838443,41719,CHONDRICHTHYES,200 m +
4849246,41719,CHONDRICHTHYES,200 m +
3145557,41791,CHONDRICHTHYES,< 200 m
3145557,41792,CHONDRICHTHYES,< 200 m
3145557,41734,CHONDRICHTHYES,200 m +
3152756,41734,CHONDRICHTHYES,200 m +
2211043,41736,CHONDRICHTHYES,200 m +
2221857,41736,CHONDRICHTHYES,200 m +
3248104,41736,CHONDRICHTHYES,200 m +
3273298,41736,CHONDRICHTHYES,200 m +
3284111,41736,CHONDRICHTHYES,200 m +
3145557,41737,CHONDRICHTHYES,200 m +
3152756,41737,CHONDRICHTHYES,200 m +
3145557,41738,CHONDRICHTHYES,200 m +
3152756,41738,CHONDRICHTHYES,200 m +
3944241,41738,CHONDRICHTHYES,200 m +
3965838,41738,CHONDRICHTHYES,200 m +
3969436,41738,CHONDRICHTHYES,200 m +
3145557,41848,CHONDRICHTHYES,< 200 m
3398132,41848,CHONDRICHTHYES,< 200 m
3145557,41849,CHONDRICHTHYES,200 m +
3152756,41849,CHONDRICHTHYES,200 m +
3398132,41849,CHONDRICHTHYES,200 m +
3398133,41849,CHONDRICHTHYES,200 m +
3145557,41850,CHONDRICHTHYES,200 m +
3152756,41850,CHONDRICHTHYES,200 m +
3944241,41850,CHONDRICHTHYES,200 m +
3965838,41850,CHONDRICHTHYES,200 m +
3969436,41850,CHONDRICHTHYES,200 m +
3145557,41851,CHONDRICHTHYES,200 m +
3152756,41851,CHONDRICHTHYES,200 m +
4827640,41796,CHONDRICHTHYES,200 m +
4838443,41796,CHONDRICHTHYES,200 m +
4849246,41796,CHONDRICHTHYES,200 m +
4827640,41798,CHONDRICHTHYES,200 m +
4838443,41798,CHONDRICHTHYES,200 m +
4849246,41798,CHONDRICHTHYES,200 m +
4827640,41799,CHONDRICHTHYES,200 m +
4838443,41799,CHONDRICHTHYES,200 m +
