dbf_file,iucn_sid,sciname,subpop,kingdom,phylum,class,order,family,code,marine,terrestrial,freshwater
ANGELFISH.dbf,165879,Holacanthus tricolor,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165880,Holacanthus passer,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165881,Chaetodontoplus personifer,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165882,Chaetodontoplus septentrionalis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165883,Holacanthus ciliaris,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165884,Chaetodontoplus mesoleucus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165890,Centropyge joculator,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165891,Chaetodontoplus meredithi,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165892,Chaetodontoplus niger,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165893,Centropyge aurantia,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165894,Chaetodontoplus caeruleopunctatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,DD,t,f,f
ANGELFISH.dbf,165895,Centropyge flavipectoralis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165896,Centropyge multicolor,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165897,Centropyge nigriocellus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165898,Pomacanthus paru,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165899,Centropyge potteri,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165900,Centropyge venusta,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165901,Centropyge tibicen,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165902,Centropyge bicolor,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,168374,Chaetodontoplus poliourus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,169679,Centropyge abei,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,169676,Chaetodontoplus vanderloosi,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,EN,t,f,f
ANGELFISH.dbf,4131,Centropyge resplendens,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
BONEFISH_TARPONS.dbf,178043,Albula esuncula,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,LC,t,f,f
BONEFISH_TARPONS.dbf,194303,Albula vulpes,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,NT,t,f,f
BONEFISH_TARPONS.dbf,194305,Pterothrissus belloci,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,DD,t,f,f
BONEFISH_TARPONS.dbf,191822,Elops saurus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,LC,t,f,f
BONEFISH_TARPONS.dbf,194298,Albula argentea,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,DD,t,f,f
BONEFISH_TARPONS.dbf,166868,Megalops cyprinoides,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,MEGALOPIDAE,DD,t,f,t
BONEFISH_TARPONS.dbf,194301,Albula oligolepis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,DD,t,f,f
BONEFISH_TARPONS.dbf,194302,Albula virgata,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,DD,t,f,f
BONEFISH_TARPONS.dbf,172363,Elops machnata,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,LC,t,f,t
BONEFISH_TARPONS.dbf,190357,Albula nemoptera,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,DD,t,f,f
BONEFISH_TARPONS.dbf,182549,Elops lacerta,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,LC,t,f,t
BONEFISH_TARPONS.dbf,184047,Elops affinis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,DD,t,f,f
BONEFISH_TARPONS.dbf,194299,Albula glossodonta,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,VU,t,f,f
BONEFISH_TARPONS.dbf,194306,Pterothrissus gissu,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,DD,t,f,f
BONEFISH_TARPONS.dbf,194307,Elops hawaiensis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,DD,t,f,f
BONEFISH_TARPONS.dbf,194308,Elops senegalensis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,DD,t,f,f
BONEFISH_TARPONS.dbf,194309,Elops smithi,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,DD,t,f,f
BONEFISH_TARPONS.dbf,191823,Megalops atlanticus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,MEGALOPIDAE,VU,t,f,f
BONEFISH_TARPONS.dbf,199659,Albula koreana,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,DD,t,f,f
