iucn_sid,sciname,category,subpop_match,dbf_file
178914,Acanthanectes rufus,LC,FALSE,MARINEFISH_PART_2.dbf
178915,Enneapterygius similis,LC,FALSE,COMBTOOTHBLENNIES.dbf
178915,Enneapterygius similis,LC,FALSE,MARINEFISH_PART_3.dbf
178916,Helcogramma alkamr,LC,FALSE,COMBTOOTHBLENNIES.dbf
178916,Helcogramma alkamr,LC,FALSE,MARINEFISH_PART_1.dbf
178917,Gibbonsia metzi,LC,FALSE,COMBTOOTHBLENNIES.dbf
178917,Gibbonsia metzi,LC,FALSE,MARINEFISH_PART_2.dbf
178918,Clinus agilis,LC,FALSE,COMBTOOTHBLENNIES.dbf
178918,Clinus agilis,LC,FALSE,MARINEFISH_PART_3.dbf
178919,Enneanectes atrorus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178919,Enneanectes atrorus,LC,FALSE,MARINEFISH_PART_1.dbf
178920,Enneapterygius atriceps,LC,FALSE,COMBTOOTHBLENNIES.dbf
178920,Enneapterygius atriceps,LC,FALSE,MARINEFISH_PART_2.dbf
178921,Helcogramma randalli,LC,FALSE,COMBTOOTHBLENNIES.dbf
178921,Helcogramma randalli,LC,FALSE,MARINEFISH_PART_1.dbf
178922,Pavoclinus litorafontis,LC,FALSE,COMBTOOTHBLENNIES.dbf
178922,Pavoclinus litorafontis,LC,FALSE,MARINEFISH_PART_1.dbf
178923,Ophiclinops pardalis,DD,FALSE,COMBTOOTHBLENNIES.dbf
178923,Ophiclinops pardalis,DD,FALSE,MARINEFISH_PART_3.dbf
178924,Springerichthys bapturus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178924,Springerichthys bapturus,LC,FALSE,MARINEFISH_PART_3.dbf
178925,Gibbonsia elegans,LC,FALSE,COMBTOOTHBLENNIES.dbf
178925,Gibbonsia elegans,LC,FALSE,MARINEFISH_PART_2.dbf
178926,Helcogramma kranos,LC,FALSE,COMBTOOTHBLENNIES.dbf
178926,Helcogramma kranos,LC,FALSE,MARINEFISH_PART_2.dbf
178927,Pavoclinus mentalis,LC,FALSE,COMBTOOTHBLENNIES.dbf
178927,Pavoclinus mentalis,LC,FALSE,MARINEFISH_PART_1.dbf
178928,Enneapterygius signicauda,LC,FALSE,COMBTOOTHBLENNIES.dbf
178928,Enneapterygius signicauda,LC,FALSE,MARINEFISH_PART_1.dbf
178929,Ophiclinus ningulus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178929,Ophiclinus ningulus,LC,FALSE,MARINEFISH_PART_3.dbf
178930,Heteroclinus macrophthalmus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178930,Heteroclinus macrophthalmus,LC,FALSE,MARINEFISH_PART_3.dbf
178931,Clinus helenae,LC,FALSE,COMBTOOTHBLENNIES.dbf
178931,Clinus helenae,LC,FALSE,MARINEFISH_PART_1.dbf
178932,Enneapterygius tutuilae,LC,FALSE,COMBTOOTHBLENNIES.dbf
178932,Enneapterygius tutuilae,LC,FALSE,MARINEFISH_PART_1.dbf
178933,Blennophis striatus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178933,Blennophis striatus,LC,FALSE,MARINEFISH_PART_2.dbf
178934,Enneapterygius kermadecensis,LC,FALSE,COMBTOOTHBLENNIES.dbf
178934,Enneapterygius kermadecensis,LC,FALSE,MARINEFISH_PART_1.dbf
178935,Heteroclinus eckloniae,LC,FALSE,COMBTOOTHBLENNIES.dbf
178935,Heteroclinus eckloniae,LC,FALSE,MARINEFISH_PART_2.dbf
178936,Heteroclinus puellarum,LC,FALSE,COMBTOOTHBLENNIES.dbf
178936,Heteroclinus puellarum,LC,FALSE,MARINEFISH_PART_2.dbf
178937,Enneapterygius niger,LC,FALSE,COMBTOOTHBLENNIES.dbf
178937,Enneapterygius niger,LC,FALSE,MARINEFISH_PART_3.dbf
178938,Enneanectes smithi,VU,FALSE,COMBTOOTHBLENNIES.dbf
178938,Enneanectes smithi,VU,FALSE,MARINEFISH_PART_3.dbf
178939,Trinorfolkia cristata,LC,FALSE,COMBTOOTHBLENNIES.dbf
178939,Trinorfolkia cristata,LC,FALSE,MARINEFISH_PART_1.dbf
