iucn_sid,sciname_api,category
44071,Carcharias taurus,NT
44166,Aonyx cinereus,VU
44168,Squalus acanthias,CR
44169,Squalus acanthias,EN
44173,Amblyrhynchus cristatus ssp. albemarlensis,VU
44174,Amblyrhynchus cristatus ssp. cristatus,VU
44175,Amblyrhynchus cristatus ssp. hassi,VU
44176,Amblyrhynchus cristatus ssp. mertensi,EN
44177,Amblyrhynchus cristatus ssp. nanus,EN
44178,Amblyrhynchus cristatus ssp. sielmanni,VU
44179,Amblyrhynchus cristatus ssp. venustissimus,VU
44181,Ctenosaura bakeri,CR
44187,Orcaella brevirostris,CR
44189,Ctenosaura melanosterna,EN
44191,Ctenosaura oedirhina,EN
44275,Cyclura lewisi,EN
44478,Awaous macrorhynchus,LC
44479,Eleotris pellegrini,LC
44502,Ptychochromis grandidieri,LC
44668,Choerodon cauteroma,LC
44669,Choerodon schoenleinii,NT
44670,Choerodon cyanodus,LC
44680,Epinephelus cifuentesi,VU
44685,Semicossyphus reticulatus,DD
44994,Discopyge tschudii,VU
44995,Discopyge tschudii,DD
54734,Ingerophrynus philippinicus,LC
58269,Fejervarya cancrivora,LC
58360,Limnonectes modestus,LC
58542,Rana amurensis,LC
58705,Pelophylax ridibundus,LC
58742,Hylarana tytleri,LC
60216,Centrophorus granulosus,DD
60221,Carcharhinus signatus,DD
60224,Ginglymostoma cirratum,NT
60302,Orthetrum poecilops,VU
60324,Chanos chanos,LC
60344,Anguilla anguilla,CR
60708,Xenochromis hecqui,DD
61207,Pellona ditchela,LC
61213,Oligolepis acutipennis,DD
61235,Aphanius baeticus,EN
61250,Lutjanus argentimaculatus,LC
61314,Acentronura australe,DD
61333,Hucho perryi,CR
61334,Bahaba taipingensis,CR
61335,Choerodon azurio,DD
61340,Semicossyphus pulcher,VU
61395,Petroleuciscus borysthenicus,LC
61409,Squalus acanthias,LC
61410,Squalus acanthias,VU
61411,Squalus acanthias,EN
61414,Squalus acanthias,VU
61415,Squalus acanthias,LC
61420,Lamna nasus,CR
61422,Xyrichtys trivittatus,DD
61460,Acanthodactylus pardalis,VU
61478,Chalcides manueli,VU
61538,Natrix maura,LC
61584,Timon pater,LC
61617,Anthemis glaberrima,CR
61618,Calendula maritima,CR
61654,Anchusa crispa,EN
61743,Haliotis kamtschatkana,EN
62222,Plecoglossus altivelis,DD
62223,Coregonus sardinella,LC
62237,Nerodia fasciata,LC
62239,Nerodia sipedon,LC
62466,Abarema curvicarpa,LC
62543,Vallesia glabra,LC
63163,Carcharias taurus,CR
63338,Oreochromis mossambicus,NT
63353,Thoracochromis buysi,LC
63356,Glossogobius callidus,LC
63359,Chrysichthys ansorgii,LC
63360,Chrysichthys bocagii,LC
63361,Chrysichthys furcatus,DD
63378,Parailia occidentalis,LC
63442,Eussoia leptodonta,DD
63449,Tomichia ventricosa,EN
63570,Argyrosomus hololepidotus,EN
63572,Pterapogon kauderni,EN
63576,Polycyathus isabela,VU
63579,Rhizopsammia wellingtoni,CR
63580,Tubastraea floreana,CR
63581,Flabellum daphnense,DD
63582,Pseudocyathoceras avis,DD
63584,Rhizoclonium robustum,DD
63585,Desmarestia tropica,CR
63586,Dictyopteris diaphana,DD
63587,Dictyota galapagensis,CR
63588,Dictyota major,DD
63589,Padina concrescens,DD
63590,Spatoglossum ecuadoreanum,DD
63591,Spatoglossum schmittii,CR
63593,Bifurcaria galapagensis,CR
63594,Sargassum albemarlense,DD
63595,Sargassum galapagense,DD
63598,Eisenia galapagensis,VU
63599,Sporochnus rostratus,DD
63601,Antithamnion veleroae,DD
63602,Callithamnion ecuadoreanum,DD
63604,Ceramium hoodii,DD
63606,Ceramium prostratum,DD
63607,Ceramium templetonii,DD
63608,Pleonosporium complanatum,LC
63611,Austrofolium howellii,DD
63612,Myriogramme kylinii,CR
63614,Phycodrina elegans,CR
63615,Pseudolaingia hancockii,VU
63616,Alsidium pusillum,DD
63617,Chondria flexicaulis,DD
63618,Laurencia congesta,DD
63619,Laurencia densissima,DD
63620,Laurencia ligulata,DD
63621,Laurencia mediocris,DD
63622,Laurencia oppositocladia,CR
63624,Amphiroa compressa,DD
63625,Amphiroa crustiformis,DD
63626,Amphiroa galapagensis,DD
63629,Lithophyllum amplostratum,DD
63638,Chondrus albemarlensis,DD
63639,Chondrus hancockii,DD
63640,Kallymenia multiloba,DD
63641,Kallymenia setchellii,DD
63643,Ahnfeltiopsis smithii,DD
63644,Ochtodes crokeri,LC
63645,Gracilaria ecuadoreanus,DD
63647,Halymenia santamariae,DD
63648,Pachymenia saxicola,LC
63649,Prionitis galapagensis,DD
63650,Prionitis hancockii,DD
63651,Galaxaura barbata,CR
63652,Galaxaura intermedia,DD
63653,Schizymenia ecuadoreana,CR
63654,Sebdenia rubra,DD
63655,Botryocladia darwinii,DD
63656,Rhodymenia decumbens,DD
63758,Conophis lineatus,LC
63779,Farancia abacura,LC
63780,Farancia erytrogramma,LC
63853,Nerodia cyclopion,LC
63855,Nerodia floridana,LC
63857,Nerodia taxispilota,LC
64097,Sceloporus cozumelae,LC
64175,Uta encantadae,VU
64176,Uta lowei,VU
64178,Uta palmeri,VU
64181,Uta tumidarostra,VU
64253,Aspidoscelis canus,LC
64255,Aspidoscelis catalinensis,VU
64260,Aspidoscelis cozumela,LC
64261,Aspidoscelis danheimae,LC
64284,Aspidoscelis rodecki,NT
64298,Agkistrodon piscivorus,LC
64309,Crotalus angelensis,LC
64325,Crotalus muertensis,LC
132832,Megaptera novaeangliae,EN
132835,Megaptera novaeangliae,EN
133065,Tubipora musica,NT
133465,Plerogyra multilobata,DD
133704,Eubalaena australis,CR
133706,Eubalaena japonica,CR
133710,Sousa chinensis ssp. taiwanensis,CR
133712,Stenella longirostris ssp. orientalis,VU
133714,Tursiops truncatus ssp. ponticus,EN
135164,Peromyscus keeni,LC
135301,Oncorhynchus nerka,LC
135302,Oncorhynchus nerka,DD
135303,Oncorhynchus nerka,LC
135306,Oncorhynchus nerka,DD
135308,Oncorhynchus nerka,DD
135309,Oncorhynchus nerka,CR
135310,Oncorhynchus nerka,LC
135311,Oncorhynchus nerka,LC
135312,Oncorhynchus nerka,LC
135313,Oncorhynchus nerka,DD
135315,Oncorhynchus nerka,EN
135316,Oncorhynchus nerka,EX
135317,Oncorhynchus nerka,NT
135318,Oncorhynchus nerka,DD
135319,Oncorhynchus nerka,LC
135320,Oncorhynchus nerka,LC
135321,Oncorhynchus nerka,EN
135322,Oncorhynchus nerka,VU
135323,Oncorhynchus nerka,DD
135324,Oncorhynchus nerka,DD
135325,Oncorhynchus nerka,LC
135326,Oncorhynchus nerka,EX
135327,Oncorhynchus nerka,DD
135328,Oncorhynchus nerka,EN
135329,Oncorhynchus nerka,LC
135330,Oncorhynchus nerka,CR
135331,Oncorhynchus nerka,DD
135332,Oncorhynchus nerka,LC
135333,Oncorhynchus nerka,LC
135334,Oncorhynchus nerka,LC
135335,Oncorhynchus nerka,DD
135336,Oncorhynchus nerka,EN
135337,Oncorhynchus nerka,LC
135338,Oncorhynchus nerka,LC
135339,Oncorhynchus nerka,EX
135340,Oncorhynchus nerka,LC
135341,Oncorhynchus nerka,EX
135342,Oncorhynchus nerka,DD
135343,Oncorhynchus nerka,LC
135344,Oncorhynchus nerka,DD
135345,Oncorhynchus nerka,DD
135346,Oncorhynchus nerka,DD
135347,Oncorhynchus nerka,LC
135348,Oncorhynchus nerka,LC
135351,Oncorhynchus nerka,EN
135352,Oncorhynchus nerka,VU
135353,Oncorhynchus nerka,DD
135354,Oncorhynchus nerka,LC
135355,Oncorhynchus nerka,DD
135356,Oncorhynchus nerka,DD
135357,Oncorhynchus nerka,DD
135358,Oncorhynchus nerka,DD
135359,Oncorhynchus nerka,DD
135360,Oncorhynchus nerka,DD
135361,Oncorhynchus nerka,LC
135362,Oncorhynchus nerka,DD
135363,Oncorhynchus nerka,NT
135365,Oncorhynchus nerka,LC
135366,Oncorhynchus nerka,DD
135368,Oncorhynchus nerka,EX
